,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.5888354325731517,RESP2,hf/6-31g*,1.0,0.0,C,hf,1,[H:4][C:1]#[C:2][C:3]([H:5])([H:6])[H:7],,
1,0.1814742531394769,RESP2,hf/6-31g*,1.0,0.0,C,hf,2,[H:4][C:1]#[C:2][C:3]([H:5])([H:6])[H:7],,
2,-0.3256342665310352,RESP2,hf/6-31g*,1.0,0.0,C,hf,3,[H:4][C:1]#[C:2][C:3]([H:5])([H:6])[H:7],,
3,0.3521980640375235,RESP2,hf/6-31g*,1.0,0.0,H,hf,4,[H:4][C:1]#[C:2][C:3]([H:5])([H:6])[H:7],,
4,0.1269587249549295,RESP2,hf/6-31g*,1.0,0.0,H,hf,5,[H:4][C:1]#[C:2][C:3]([H:5])([H:6])[H:7],,
5,0.1269206274267991,RESP2,hf/6-31g*,1.0,0.0,H,hf,6,[H:4][C:1]#[C:2][C:3]([H:5])([H:6])[H:7],,
6,0.1269180295454578,RESP2,hf/6-31g*,1.0,0.0,H,hf,7,[H:4][C:1]#[C:2][C:3]([H:5])([H:6])[H:7],,
0,-0.5896013131474442,RESP2,hf/6-31g*,1.0,0.05,C,hf,1,[H:4][C:1]#[C:2][C:3]([H:5])([H:6])[H:7],,
1,0.180939871872842,RESP2,hf/6-31g*,1.0,0.05,C,hf,2,[H:4][C:1]#[C:2][C:3]([H:5])([H:6])[H:7],,
2,-0.3256738781868606,RESP2,hf/6-31g*,1.0,0.05,C,hf,3,[H:4][C:1]#[C:2][C:3]([H:5])([H:6])[H:7],,
3,0.3528410566940146,RESP2,hf/6-31g*,1.0,0.05,H,hf,4,[H:4][C:1]#[C:2][C:3]([H:5])([H:6])[H:7],,
4,0.1272031885649092,RESP2,hf/6-31g*,1.0,0.05,H,hf,5,[H:4][C:1]#[C:2][C:3]([H:5])([H:6])[H:7],,
