,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.5254248347759899,RESP2,hf/6-31g*,1.0,0.0,C,hf,1,[H:5][C:1]#[C:2][C:3](=[C:4]([H:7])[H:8])[H:6],,
1,0.15784317424643013,RESP2,hf/6-31g*,1.0,0.0,C,hf,2,[H:5][C:1]#[C:2][C:3](=[C:4]([H:7])[H:8])[H:6],,
2,-0.13302026588395371,RESP2,hf/6-31g*,1.0,0.0,C,hf,3,[H:5][C:1]#[C:2][C:3](=[C:4]([H:7])[H:8])[H:6],,
3,-0.36597389598214025,RESP2,hf/6-31g*,1.0,0.0,C,hf,4,[H:5][C:1]#[C:2][C:3](=[C:4]([H:7])[H:8])[H:6],,
4,0.33904650294087463,RESP2,hf/6-31g*,1.0,0.0,H,hf,5,[H:5][C:1]#[C:2][C:3](=[C:4]([H:7])[H:8])[H:6],,
5,0.15551304257989157,RESP2,hf/6-31g*,1.0,0.0,H,hf,6,[H:5][C:1]#[C:2][C:3](=[C:4]([H:7])[H:8])[H:6],,
6,0.18742374988695587,RESP2,hf/6-31g*,1.0,0.0,H,hf,7,[H:5][C:1]#[C:2][C:3](=[C:4]([H:7])[H:8])[H:6],,
7,0.18459252698793155,RESP2,hf/6-31g*,1.0,0.0,H,hf,8,[H:5][C:1]#[C:2][C:3](=[C:4]([H:7])[H:8])[H:6],,
0,-0.5261906366708408,RESP2,hf/6-31g*,1.0,0.05,C,hf,1,[H:5][C:1]#[C:2][C:3](=[C:4]([H:7])[H:8])[H:6],,
1,0.15651687364069627,RESP2,hf/6-31g*,1.0,0.05,C,hf,2,[H:5][C:1]#[C:2][C:3](=[C:4]([H:7])[H:8])[H:6],,
2,-0.13409653163082783,RESP2,hf/6-31g*,1.0,0.05,C,hf,3,[H:5][C:1]#[C:2][C:3](=[C:4]([H:7])[H:8])[H:6],,
3,-0.3659950029031461,RESP2,hf/6-31g*,1.0,0.05,C,hf,4,[H:5][C:1]#[C:2][C:3](=[C:4]([H:7])[H:8])[H:6],,
4,0.3400763709969938,RESP2,hf/6-31g*,1.0,0.05,H,hf,5,[H:5][C:1]#[C:2][C:3](=[C:4]([H:7])[H:8])[H:6],,
5,0.156475065929839,RESP2,hf/6-31g*,1.0,0.05,H,hf,6,[H:5][C:1]#[C:2][C:3](=[C:4]([H:7])[H:8])[H:6],,
6,0.18799968737082987,RESP2,hf/6-31g*,1.0,0.05,H,hf,7,[H:5][C:1]#[C:2][C:3](=[C:4]([H:7])[H:8])[H:6],,
7,0.18521417326645587,RESP2,hf/6-31g*,1.0,0.05,H,hf,8,[H:5][C:1]#[C:2][C:3](=[C:4]([H:7])[H:8])[H:6],,
0,-0.526956438565692,RESP2,hf/6-31g*,1.0,0.1,C,hf,1,[H:5][C:1]#[C:2][C:3](=[C:4]([H:7])[H:8])[H:6],,
1,0.15519057303496242,RESP2,hf/6-31g*,1.0,0.1,C,hf,2,[H:5][C:1]#[C:2][C:3](=[C:4]([H:7])[H:8])[H:6],,
2,-0.13517279737770194,RESP2,hf/6-31g*,1.0,0.1,C,hf,3,[H:5][C:1]#[C:2][C:3](=[C:4]([H:7])[H:8])[H:6],,
3,-0.366016109824152,RESP2,hf/6-31g*,1.0,0.1,C,hf,4,[H:5][C:1]#[C:2][C:3](=[C:4]([H:7])[H:8])[H:6],,
4,0.34110623905311294,RESP2,hf/6-31g*,1.0,0.1,H,hf,5,[H:5][C:1]#[C:2][C:3](=[C:4]([H:7])[H:8])[H:6],,
5,0.15743708927978645,RESP2,hf/6-31g*,1.0,0.1,H,hf,6,[H:5][C:1]#[C:2][C:3](=[C:4]([H:7])[H:8])[H:6],,
