,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.5254248347759899,RESP2,hf/6-31g*,1.0,0.0,C,hf,1,[H:5][C:1]#[C:2][C:3](=[C:4]([H:7])[H:8])[H:6],,
1,0.1578431742464301,RESP2,hf/6-31g*,1.0,0.0,C,hf,2,[H:5][C:1]#[C:2][C:3](=[C:4]([H:7])[H:8])[H:6],,
2,-0.1330202658839537,RESP2,hf/6-31g*,1.0,0.0,C,hf,3,[H:5][C:1]#[C:2][C:3](=[C:4]([H:7])[H:8])[H:6],,
3,-0.3659738959821402,RESP2,hf/6-31g*,1.0,0.0,C,hf,4,[H:5][C:1]#[C:2][C:3](=[C:4]([H:7])[H:8])[H:6],,
4,0.3390465029408746,RESP2,hf/6-31g*,1.0,0.0,H,hf,5,[H:5][C:1]#[C:2][C:3](=[C:4]([H:7])[H:8])[H:6],,
5,0.1555130425798915,RESP2,hf/6-31g*,1.0,0.0,H,hf,6,[H:5][C:1]#[C:2][C:3](=[C:4]([H:7])[H:8])[H:6],,
6,0.1874237498869558,RESP2,hf/6-31g*,1.0,0.0,H,hf,7,[H:5][C:1]#[C:2][C:3](=[C:4]([H:7])[H:8])[H:6],,
7,0.1845925269879315,RESP2,hf/6-31g*,1.0,0.0,H,hf,8,[H:5][C:1]#[C:2][C:3](=[C:4]([H:7])[H:8])[H:6],,
0,-0.5261906366708408,RESP2,hf/6-31g*,1.0,0.05,C,hf,1,[H:5][C:1]#[C:2][C:3](=[C:4]([H:7])[H:8])[H:6],,
1,0.1565168736406962,RESP2,hf/6-31g*,1.0,0.05,C,hf,2,[H:5][C:1]#[C:2][C:3](=[C:4]([H:7])[H:8])[H:6],,
2,-0.1340965316308278,RESP2,hf/6-31g*,1.0,0.05,C,hf,3,[H:5][C:1]#[C:2][C:3](=[C:4]([H:7])[H:8])[H:6],,
3,-0.3659950029031461,RESP2,hf/6-31g*,1.0,0.05,C,hf,4,[H:5][C:1]#[C:2][C:3](=[C:4]([H:7])[H:8])[H:6],,
4,0.3400763709969938,RESP2,hf/6-31g*,1.0,0.05,H,hf,5,[H:5][C:1]#[C:2][C:3](=[C:4]([H:7])[H:8])[H:6],,
5,0.156475065929839,RESP2,hf/6-31g*,1.0,0.05,H,hf,6,[H:5][C:1]#[C:2][C:3](=[C:4]([H:7])[H:8])[H:6],,
6,0.1879996873708298,RESP2,hf/6-31g*,1.0,0.05,H,hf,7,[H:5][C:1]#[C:2][C:3](=[C:4]([H:7])[H:8])[H:6],,
7,0.1852141732664558,RESP2,hf/6-31g*,1.0,0.05,H,hf,8,[H:5][C:1]#[C:2][C:3](=[C:4]([H:7])[H:8])[H:6],,
