,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.3314770118460205,-0.3314770118460205,hf,1,gas,hf/6-31g*,1,C#Cc1ccccc1,[H:9][C:1]#[C:2][c:3]1[c:4]([c:5]([c:6]([c:7]([c:8]1[H:14])[H:13])[H:12])[H:11])[H:10]
1,-0.18388496295590165,-0.18388496295590165,hf,1,gas,hf/6-31g*,2,C#Cc1ccccc1,[H:9][C:1]#[C:2][c:3]1[c:4]([c:5]([c:6]([c:7]([c:8]1[H:14])[H:13])[H:12])[H:11])[H:10]
2,0.36214905153498717,0.36214905153498717,hf,1,gas,hf/6-31g*,3,C#Cc1ccccc1,[H:9][C:1]#[C:2][c:3]1[c:4]([c:5]([c:6]([c:7]([c:8]1[H:14])[H:13])[H:12])[H:11])[H:10]
3,-0.259304601635864,-0.259304601635864,hf,1,gas,hf/6-31g*,4,C#Cc1ccccc1,[H:9][C:1]#[C:2][c:3]1[c:4]([c:5]([c:6]([c:7]([c:8]1[H:14])[H:13])[H:12])[H:11])[H:10]
4,-0.12377304692137808,-0.12377304692137808,hf,1,gas,hf/6-31g*,5,C#Cc1ccccc1,[H:9][C:1]#[C:2][c:3]1[c:4]([c:5]([c:6]([c:7]([c:8]1[H:14])[H:13])[H:12])[H:11])[H:10]
5,-0.14737726326246092,-0.14737726326246092,hf,1,gas,hf/6-31g*,6,C#Cc1ccccc1,[H:9][C:1]#[C:2][c:3]1[c:4]([c:5]([c:6]([c:7]([c:8]1[H:14])[H:13])[H:12])[H:11])[H:10]
6,-0.12370255972829935,-0.12370255972829935,hf,1,gas,hf/6-31g*,7,C#Cc1ccccc1,[H:9][C:1]#[C:2][c:3]1[c:4]([c:5]([c:6]([c:7]([c:8]1[H:14])[H:13])[H:12])[H:11])[H:10]
7,-0.25934368658488893,-0.25934368658488893,hf,1,gas,hf/6-31g*,8,C#Cc1ccccc1,[H:9][C:1]#[C:2][c:3]1[c:4]([c:5]([c:6]([c:7]([c:8]1[H:14])[H:13])[H:12])[H:11])[H:10]
8,0.28680927385807153,0.28680927385807153,hf,1,gas,hf/6-31g*,9,C#Cc1ccccc1,[H:9][C:1]#[C:2][c:3]1[c:4]([c:5]([c:6]([c:7]([c:8]1[H:14])[H:13])[H:12])[H:11])[H:10]
9,0.17685784285844422,0.17685784285844422,hf,1,gas,hf/6-31g*,10,C#Cc1ccccc1,[H:9][C:1]#[C:2][c:3]1[c:4]([c:5]([c:6]([c:7]([c:8]1[H:14])[H:13])[H:12])[H:11])[H:10]
