,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,0.1321620406420015,RESP2,hf/6-31g*,1.0,0.0,C,hf,1,[H:3][C:1]#[N:2],,
1,-0.36544436583286993,RESP2,hf/6-31g*,1.0,0.0,N,hf,2,[H:3][C:1]#[N:2],,
2,0.23328232519086847,RESP2,hf/6-31g*,1.0,0.0,H,hf,3,[H:3][C:1]#[N:2],,
0,0.13671154966476196,RESP2,hf/6-31g*,1.0,0.05,C,hf,1,[H:3][C:1]#[N:2],,
1,-0.37123265692521756,RESP2,hf/6-31g*,1.0,0.05,N,hf,2,[H:3][C:1]#[N:2],,
2,0.2345211072604556,RESP2,hf/6-31g*,1.0,0.05,H,hf,3,[H:3][C:1]#[N:2],,
0,0.14126105868752242,RESP2,hf/6-31g*,1.0,0.1,C,hf,1,[H:3][C:1]#[N:2],,
1,-0.37702094801756525,RESP2,hf/6-31g*,1.0,0.1,N,hf,2,[H:3][C:1]#[N:2],,
2,0.23575988933004283,RESP2,hf/6-31g*,1.0,0.1,H,hf,3,[H:3][C:1]#[N:2],,
0,0.1458105677102829,RESP2,hf/6-31g*,1.0,0.15000000000000002,C,hf,1,[H:3][C:1]#[N:2],,
1,-0.3828092391099128,RESP2,hf/6-31g*,1.0,0.15000000000000002,N,hf,2,[H:3][C:1]#[N:2],,
2,0.23699867139962996,RESP2,hf/6-31g*,1.0,0.15000000000000002,H,hf,3,[H:3][C:1]#[N:2],,
0,0.15036007673304336,RESP2,hf/6-31g*,1.0,0.2,C,hf,1,[H:3][C:1]#[N:2],,
1,-0.3885975302022605,RESP2,hf/6-31g*,1.0,0.2,N,hf,2,[H:3][C:1]#[N:2],,
2,0.23823745346921715,RESP2,hf/6-31g*,1.0,0.2,H,hf,3,[H:3][C:1]#[N:2],,
0,0.15490958575580385,RESP2,hf/6-31g*,1.0,0.25,C,hf,1,[H:3][C:1]#[N:2],,
1,-0.39438582129460814,RESP2,hf/6-31g*,1.0,0.25,N,hf,2,[H:3][C:1]#[N:2],,
2,0.23947623553880432,RESP2,hf/6-31g*,1.0,0.25,H,hf,3,[H:3][C:1]#[N:2],,
0,0.1594590947785643,RESP2,hf/6-31g*,1.0,0.30000000000000004,C,hf,1,[H:3][C:1]#[N:2],,
1,-0.40017411238695577,RESP2,hf/6-31g*,1.0,0.30000000000000004,N,hf,2,[H:3][C:1]#[N:2],,
2,0.24071501760839148,RESP2,hf/6-31g*,1.0,0.30000000000000004,H,hf,3,[H:3][C:1]#[N:2],,
0,0.16400860380132476,RESP2,hf/6-31g*,1.0,0.35000000000000003,C,hf,1,[H:3][C:1]#[N:2],,
1,-0.40596240347930335,RESP2,hf/6-31g*,1.0,0.35000000000000003,N,hf,2,[H:3][C:1]#[N:2],,
2,0.24195379967797861,RESP2,hf/6-31g*,1.0,0.35000000000000003,H,hf,3,[H:3][C:1]#[N:2],,
0,0.16855811282408525,RESP2,hf/6-31g*,1.0,0.4,C,hf,1,[H:3][C:1]#[N:2],,
1,-0.4117506945716511,RESP2,hf/6-31g*,1.0,0.4,N,hf,2,[H:3][C:1]#[N:2],,
2,0.24319258174756583,RESP2,hf/6-31g*,1.0,0.4,H,hf,3,[H:3][C:1]#[N:2],,
0,0.17310762184684575,RESP2,hf/6-31g*,1.0,0.45,C,hf,1,[H:3][C:1]#[N:2],,
1,-0.4175389856639987,RESP2,hf/6-31g*,1.0,0.45,N,hf,2,[H:3][C:1]#[N:2],,
2,0.244431363817153,RESP2,hf/6-31g*,1.0,0.45,H,hf,3,[H:3][C:1]#[N:2],,
0,0.1776571308696062,RESP2,hf/6-31g*,1.0,0.5,C,hf,1,[H:3][C:1]#[N:2],,
1,-0.42332727675634635,RESP2,hf/6-31g*,1.0,0.5,N,hf,2,[H:3][C:1]#[N:2],,
2,0.24567014588674016,RESP2,hf/6-31g*,1.0,0.5,H,hf,3,[H:3][C:1]#[N:2],,
0,0.18220663989236668,RESP2,hf/6-31g*,1.0,0.55,C,hf,1,[H:3][C:1]#[N:2],,
1,-0.429115567848694,RESP2,hf/6-31g*,1.0,0.55,N,hf,2,[H:3][C:1]#[N:2],,
2,0.24690892795632732,RESP2,hf/6-31g*,1.0,0.55,H,hf,3,[H:3][C:1]#[N:2],,
0,0.18675614891512712,RESP2,hf/6-31g*,1.0,0.6000000000000001,C,hf,1,[H:3][C:1]#[N:2],,
1,-0.4349038589410416,RESP2,hf/6-31g*,1.0,0.6000000000000001,N,hf,2,[H:3][C:1]#[N:2],,
2,0.24814771002591446,RESP2,hf/6-31g*,1.0,0.6000000000000001,H,hf,3,[H:3][C:1]#[N:2],,
0,0.19130565793788762,RESP2,hf/6-31g*,1.0,0.65,C,hf,1,[H:3][C:1]#[N:2],,
1,-0.44069215003338924,RESP2,hf/6-31g*,1.0,0.65,N,hf,2,[H:3][C:1]#[N:2],,
2,0.24938649209550165,RESP2,hf/6-31g*,1.0,0.65,H,hf,3,[H:3][C:1]#[N:2],,
0,0.19585516696064806,RESP2,hf/6-31g*,1.0,0.7000000000000001,C,hf,1,[H:3][C:1]#[N:2],,
1,-0.44648044112573687,RESP2,hf/6-31g*,1.0,0.7000000000000001,N,hf,2,[H:3][C:1]#[N:2],,
2,0.25062527416508884,RESP2,hf/6-31g*,1.0,0.7000000000000001,H,hf,3,[H:3][C:1]#[N:2],,
0,0.20040467598340855,RESP2,hf/6-31g*,1.0,0.75,C,hf,1,[H:3][C:1]#[N:2],,
1,-0.4522687322180845,RESP2,hf/6-31g*,1.0,0.75,N,hf,2,[H:3][C:1]#[N:2],,
2,0.25186405623467595,RESP2,hf/6-31g*,1.0,0.75,H,hf,3,[H:3][C:1]#[N:2],,
0,0.20495418500616902,RESP2,hf/6-31g*,1.0,0.8,C,hf,1,[H:3][C:1]#[N:2],,
1,-0.4580570233104322,RESP2,hf/6-31g*,1.0,0.8,N,hf,2,[H:3][C:1]#[N:2],,
