,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.2393987146071391,-0.2393987146071391,hf,1,gas,hf/6-31g*,1,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
1,-0.24570796231698666,-0.24570796231698666,hf,1,gas,hf/6-31g*,2,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
2,0.20642872755542996,0.20642872755542996,hf,1,gas,hf/6-31g*,3,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
3,-0.17623672059073278,-0.17623672059073278,hf,1,gas,hf/6-31g*,4,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
4,0.20151205419046653,0.20151205419046653,hf,1,gas,hf/6-31g*,5,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
5,0.1288005277028149,0.1288005277028149,hf,1,gas,hf/6-31g*,6,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
6,0.12992020404316038,0.12992020404316038,hf,1,gas,hf/6-31g*,7,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
7,-0.021442353707149295,-0.021442353707149295,hf,1,gas,hf/6-31g*,8,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
8,-0.01965497040560919,-0.01965497040560919,hf,1,gas,hf/6-31g*,9,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
9,0.04454753127611885,0.04454753127611885,hf,1,gas,hf/6-31g*,10,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
10,0.031122001875037875,0.031122001875037875,hf,1,gas,hf/6-31g*,11,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
11,-0.02418527869122515,-0.02418527869122515,hf,1,gas,hf/6-31g*,12,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
12,-0.014979878424262537,-0.014979878424262537,hf,1,gas,hf/6-31g*,13,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
0,-0.23939873125992625,-0.23939873125992625,hf,,gas,hf/6-31g*,1,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
1,-0.2457079648049018,-0.2457079648049018,hf,,gas,hf/6-31g*,2,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
2,0.20642866362510284,0.20642866362510284,hf,,gas,hf/6-31g*,3,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
3,-0.1762367000850089,-0.1762367000850089,hf,,gas,hf/6-31g*,4,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
4,0.2015120501690653,0.2015120501690653,hf,,gas,hf/6-31g*,5,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
5,0.12880053777473052,0.12880053777473052,hf,,gas,hf/6-31g*,6,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
6,0.12992021402635515,0.12992021402635515,hf,,gas,hf/6-31g*,7,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
7,-0.021442330908921614,-0.021442330908921614,hf,,gas,hf/6-31g*,8,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
8,-0.01965495098856114,-0.01965495098856114,hf,,gas,hf/6-31g*,9,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
9,0.04454754061108243,0.04454754061108243,hf,,gas,hf/6-31g*,10,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
10,0.031121987830444273,0.031121987830444273,hf,,gas,hf/6-31g*,11,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
11,-0.024185282611035627,-0.024185282611035627,hf,,gas,hf/6-31g*,12,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
12,-0.014979865230701215,-0.014979865230701215,hf,,gas,hf/6-31g*,13,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
0,-0.22677029989468664,-0.22677029989468664,resp2,1,gas,hf/6-31g*,1,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
1,-0.2274944944404282,-0.2274944944404282,resp2,1,gas,hf/6-31g*,2,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
2,0.1521830269577459,0.1521830269577459,resp2,1,gas,hf/6-31g*,3,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
3,-0.19237467524241567,-0.19237467524241567,resp2,1,gas,hf/6-31g*,4,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
4,0.1641058447084376,0.1641058447084376,resp2,1,gas,hf/6-31g*,5,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
5,0.125194135633757,0.125194135633757,resp2,1,gas,hf/6-31g*,6,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
6,0.12623693501878197,0.12623693501878197,resp2,1,gas,hf/6-31g*,7,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
7,-0.0034114779885693128,-0.0034114779885693128,resp2,1,gas,hf/6-31g*,8,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
8,-0.0015782807873877397,-0.0015782807873877397,resp2,1,gas,hf/6-31g*,9,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
9,0.05522836018452021,0.05522836018452021,resp2,1,gas,hf/6-31g*,10,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
10,0.042049935530737284,0.042049935530737284,resp2,1,gas,hf/6-31g*,11,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
11,-0.010059567566322529,-0.010059567566322529,resp2,1,gas,hf/6-31g*,12,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
12,-0.002054528679197499,-0.002054528679197499,resp2,1,gas,hf/6-31g*,13,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
0,-0.22677030115598762,-0.22677030115598762,resp2,,gas,hf/6-31g*,1,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
1,-0.2274944945524423,-0.2274944945524423,resp2,,gas,hf/6-31g*,2,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
2,0.1521829598728906,0.1521829598728906,resp2,,gas,hf/6-31g*,3,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
3,-0.19237461733419886,-0.19237461733419886,resp2,,gas,hf/6-31g*,4,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
4,0.164105812706913,0.164105812706913,resp2,,gas,hf/6-31g*,5,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
5,0.1251941408675328,0.1251941408675328,resp2,,gas,hf/6-31g*,6,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
6,0.12623694212650433,0.12623694212650433,resp2,,gas,hf/6-31g*,7,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
7,-0.0034114575864509222,-0.0034114575864509222,resp2,,gas,hf/6-31g*,8,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
8,-0.0015782640199491198,-0.0015782640199491198,resp2,,gas,hf/6-31g*,9,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
9,0.05522835900780369,0.05522835900780369,resp2,,gas,hf/6-31g*,10,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
10,0.04204991315573682,0.04204991315573682,resp2,,gas,hf/6-31g*,11,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
11,-0.01005956601688503,-0.01005956601688503,resp2,,gas,hf/6-31g*,12,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
12,-0.0020545135046713117,-0.0020545135046713117,resp2,,gas,hf/6-31g*,13,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
0,-0.25064182216930864,-0.25064182216930864,hf,1,water,hf/6-31g*,1,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
1,-0.2556395867731598,-0.2556395867731598,hf,1,water,hf/6-31g*,2,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
2,0.21401016401262646,0.21401016401262646,hf,1,water,hf/6-31g*,3,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
3,-0.18769302734328375,-0.18769302734328375,hf,1,water,hf/6-31g*,4,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
4,0.20912015597117917,0.20912015597117917,hf,1,water,hf/6-31g*,5,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
5,0.1347566710980856,0.1347566710980856,hf,1,water,hf/6-31g*,6,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
6,0.13409969615427061,0.13409969615427061,hf,1,water,hf/6-31g*,7,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
7,-0.021013113847366302,-0.021013113847366302,hf,1,water,hf/6-31g*,8,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
8,-0.019653769253325702,-0.019653769253325702,hf,1,water,hf/6-31g*,9,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
9,0.04692982714804578,0.04692982714804578,hf,1,water,hf/6-31g*,10,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
10,0.03447600214583174,0.03447600214583174,hf,1,water,hf/6-31g*,11,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
11,-0.023496779028216282,-0.023496779028216282,hf,1,water,hf/6-31g*,12,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
12,-0.01454362007683559,-0.01454362007683559,hf,1,water,hf/6-31g*,13,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
0,-0.25064183976120535,-0.25064183976120535,hf,,water,hf/6-31g*,1,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
1,-0.2556395894795282,-0.2556395894795282,hf,,water,hf/6-31g*,2,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
2,0.21401009781116354,0.21401009781116354,hf,,water,hf/6-31g*,3,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
3,-0.1876930097367751,-0.1876930097367751,hf,,water,hf/6-31g*,4,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
4,0.20912015362577288,0.20912015362577288,hf,,water,hf/6-31g*,5,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
5,0.1347566816441835,0.1347566816441835,hf,,water,hf/6-31g*,6,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
6,0.1340997067524147,0.1340997067524147,hf,,water,hf/6-31g*,7,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
7,-0.021013089145208247,-0.021013089145208247,hf,,water,hf/6-31g*,8,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
8,-0.019653749483361488,-0.019653749483361488,hf,,water,hf/6-31g*,9,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
9,0.04692983648393541,0.04692983648393541,hf,,water,hf/6-31g*,10,C1=CCCC1,[H:6][C:1]1=[C:2]([C:3]([C:4]([C:5]1([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])[H:7]
