,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.26858600243965725,RESP2,hf/6-31g*,1.0,0.0,C,hf,1,[H:6][C:1]1([C:2]([C:3]([N:4]([C:5]1([H:13])[H:14])[H:12])([H:10])[H:11])([H:8])[H:9])[H:7],,
1,0.14802698896905353,RESP2,hf/6-31g*,1.0,0.0,C,hf,2,[H:6][C:1]1([C:2]([C:3]([N:4]([C:5]1([H:13])[H:14])[H:12])([H:10])[H:11])([H:8])[H:9])[H:7],,
2,0.14476718645577735,RESP2,hf/6-31g*,1.0,0.0,C,hf,3,[H:6][C:1]1([C:2]([C:3]([N:4]([C:5]1([H:13])[H:14])[H:12])([H:10])[H:11])([H:8])[H:9])[H:7],,
3,-0.6301872895588261,RESP2,hf/6-31g*,1.0,0.0,N,hf,4,[H:6][C:1]1([C:2]([C:3]([N:4]([C:5]1([H:13])[H:14])[H:12])([H:10])[H:11])([H:8])[H:9])[H:7],,
4,-0.0544633899108191,RESP2,hf/6-31g*,1.0,0.0,C,hf,5,[H:6][C:1]1([C:2]([C:3]([N:4]([C:5]1([H:13])[H:14])[H:12])([H:10])[H:11])([H:8])[H:9])[H:7],,
5,0.09743412041304912,RESP2,hf/6-31g*,1.0,0.0,H,hf,6,[H:6][C:1]1([C:2]([C:3]([N:4]([C:5]1([H:13])[H:14])[H:12])([H:10])[H:11])([H:8])[H:9])[H:7],,
6,0.09538334356611394,RESP2,hf/6-31g*,1.0,0.0,H,hf,7,[H:6][C:1]1([C:2]([C:3]([N:4]([C:5]1([H:13])[H:14])[H:12])([H:10])[H:11])([H:8])[H:9])[H:7],,
7,-0.02051608134730241,RESP2,hf/6-31g*,1.0,0.0,H,hf,8,[H:6][C:1]1([C:2]([C:3]([N:4]([C:5]1([H:13])[H:14])[H:12])([H:10])[H:11])([H:8])[H:9])[H:7],,
8,-0.024151682634939494,RESP2,hf/6-31g*,1.0,0.0,H,hf,9,[H:6][C:1]1([C:2]([C:3]([N:4]([C:5]1([H:13])[H:14])[H:12])([H:10])[H:11])([H:8])[H:9])[H:7],,
9,0.006169895622301662,RESP2,hf/6-31g*,1.0,0.0,H,hf,10,[H:6][C:1]1([C:2]([C:3]([N:4]([C:5]1([H:13])[H:14])[H:12])([H:10])[H:11])([H:8])[H:9])[H:7],,
10,0.008037529566705916,RESP2,hf/6-31g*,1.0,0.0,H,hf,11,[H:6][C:1]1([C:2]([C:3]([N:4]([C:5]1([H:13])[H:14])[H:12])([H:10])[H:11])([H:8])[H:9])[H:7],,
11,0.32115626204437697,RESP2,hf/6-31g*,1.0,0.0,H,hf,12,[H:6][C:1]1([C:2]([C:3]([N:4]([C:5]1([H:13])[H:14])[H:12])([H:10])[H:11])([H:8])[H:9])[H:7],,
12,0.08106166978305841,RESP2,hf/6-31g*,1.0,0.0,H,hf,13,[H:6][C:1]1([C:2]([C:3]([N:4]([C:5]1([H:13])[H:14])[H:12])([H:10])[H:11])([H:8])[H:9])[H:7],,
13,0.09586744947110751,RESP2,hf/6-31g*,1.0,0.0,H,hf,14,[H:6][C:1]1([C:2]([C:3]([N:4]([C:5]1([H:13])[H:14])[H:12])([H:10])[H:11])([H:8])[H:9])[H:7],,
0,-0.27197976599971296,RESP2,hf/6-31g*,1.0,0.05,C,hf,1,[H:6][C:1]1([C:2]([C:3]([N:4]([C:5]1([H:13])[H:14])[H:12])([H:10])[H:11])([H:8])[H:9])[H:7],,
1,0.14957231706099006,RESP2,hf/6-31g*,1.0,0.05,C,hf,2,[H:6][C:1]1([C:2]([C:3]([N:4]([C:5]1([H:13])[H:14])[H:12])([H:10])[H:11])([H:8])[H:9])[H:7],,
2,0.1467851948970587,RESP2,hf/6-31g*,1.0,0.05,C,hf,3,[H:6][C:1]1([C:2]([C:3]([N:4]([C:5]1([H:13])[H:14])[H:12])([H:10])[H:11])([H:8])[H:9])[H:7],,
3,-0.633805083395814,RESP2,hf/6-31g*,1.0,0.05,N,hf,4,[H:6][C:1]1([C:2]([C:3]([N:4]([C:5]1([H:13])[H:14])[H:12])([H:10])[H:11])([H:8])[H:9])[H:7],,
4,-0.0520823033309692,RESP2,hf/6-31g*,1.0,0.05,C,hf,5,[H:6][C:1]1([C:2]([C:3]([N:4]([C:5]1([H:13])[H:14])[H:12])([H:10])[H:11])([H:8])[H:9])[H:7],,
5,0.0983484311942054,RESP2,hf/6-31g*,1.0,0.05,H,hf,6,[H:6][C:1]1([C:2]([C:3]([N:4]([C:5]1([H:13])[H:14])[H:12])([H:10])[H:11])([H:8])[H:9])[H:7],,
