,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,0.5464169081941695,0.5464169081941695,hf,1,gas,hf/6-31g*,1,C1CNC1,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6]
1,0.07229011943011454,0.07229011943011454,hf,1,gas,hf/6-31g*,2,C1CNC1,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6]
2,-0.4947942581695955,-0.4947942581695955,hf,1,gas,hf/6-31g*,3,C1CNC1,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6]
3,-1.01496826021604,-1.01496826021604,hf,1,gas,hf/6-31g*,4,C1CNC1,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6]
4,-0.10706135134989334,-0.10706135134989334,hf,1,gas,hf/6-31g*,5,C1CNC1,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6]
5,-0.0570658935592883,-0.0570658935592883,hf,1,gas,hf/6-31g*,6,C1CNC1,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6]
6,0.024074133214425336,0.024074133214425336,hf,1,gas,hf/6-31g*,7,C1CNC1,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6]
7,-0.004677967715996045,-0.004677967715996045,hf,1,gas,hf/6-31g*,8,C1CNC1,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6]
8,0.3924699579132751,0.3924699579132751,hf,1,gas,hf/6-31g*,9,C1CNC1,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6]
9,0.35566377461876864,0.35566377461876864,hf,1,gas,hf/6-31g*,10,C1CNC1,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6]
10,0.293932609045485,0.293932609045485,hf,1,gas,hf/6-31g*,11,C1CNC1,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6]
0,0.5616110923864048,0.5616110923864048,resp2,1,gas,hf/6-31g*,1,C1CNC1,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6]
1,0.07280395132849504,0.07280395132849504,resp2,1,gas,hf/6-31g*,2,C1CNC1,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6]
2,-0.5095764999399609,-0.5095764999399609,resp2,1,gas,hf/6-31g*,3,C1CNC1,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6]
3,-1.033512800149157,-1.033512800149157,resp2,1,gas,hf/6-31g*,4,C1CNC1,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6]
4,-0.10732383200285951,-0.10732383200285951,resp2,1,gas,hf/6-31g*,5,C1CNC1,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6]
5,-0.058398321088360655,-0.058398321088360655,resp2,1,gas,hf/6-31g*,6,C1CNC1,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6]
6,0.023089907194274117,0.023089907194274117,resp2,1,gas,hf/6-31g*,7,C1CNC1,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6]
7,-0.002301461469552235,-0.002301461469552235,resp2,1,gas,hf/6-31g*,8,C1CNC1,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6]
8,0.4001118511976202,0.4001118511976202,resp2,1,gas,hf/6-31g*,9,C1CNC1,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6]
9,0.358605204064266,0.358605204064266,resp2,1,gas,hf/6-31g*,10,C1CNC1,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6]
10,0.29972453970927737,0.29972453970927737,resp2,1,gas,hf/6-31g*,11,C1CNC1,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6]
0,0.5462869999254996,0.5462869999254996,hf,,gas,hf/6-31g*,1,C1CNC1,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6]
1,0.0723789082488765,0.0723789082488765,hf,,gas,hf/6-31g*,2,C1CNC1,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6]
2,-0.4948078629632242,-0.4948078629632242,hf,,gas,hf/6-31g*,3,C1CNC1,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6]
3,-1.0148137891423152,-1.0148137891423152,hf,,gas,hf/6-31g*,4,C1CNC1,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6]
4,-0.10703066532089185,-0.10703066532089185,hf,,gas,hf/6-31g*,5,C1CNC1,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6]
5,-0.05704796592543778,-0.05704796592543778,hf,,gas,hf/6-31g*,6,C1CNC1,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6]
6,0.024037299756091923,0.024037299756091923,hf,,gas,hf/6-31g*,7,C1CNC1,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6]
7,-0.004699454254192603,-0.004699454254192603,hf,,gas,hf/6-31g*,8,C1CNC1,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6]
8,0.3924318022718901,0.3924318022718901,hf,,gas,hf/6-31g*,9,C1CNC1,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6]
9,0.35563135851599753,0.35563135851599753,hf,,gas,hf/6-31g*,10,C1CNC1,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6]
10,0.2939128030363529,0.2939128030363529,hf,,gas,hf/6-31g*,11,C1CNC1,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6]
0,0.5614698527951539,0.5614698527951539,resp2,,gas,hf/6-31g*,1,C1CNC1,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6]
