,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,0.5458460198845855,RESP2,hf/6-31g*,1.0,0.0,C,hf,1,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6],,
1,0.07171923112053044,RESP2,hf/6-31g*,1.0,0.0,C,hf,2,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6],,
2,-0.4953651464791796,RESP2,hf/6-31g*,1.0,0.0,N,hf,3,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6],,
3,-1.015539148525624,RESP2,hf/6-31g*,1.0,0.0,C,hf,4,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6],,
4,-0.10763223965947744,RESP2,hf/6-31g*,1.0,0.0,H,hf,5,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6],,
5,-0.0576367818688724,RESP2,hf/6-31g*,1.0,0.0,H,hf,6,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6],,
6,0.023503244904841233,RESP2,hf/6-31g*,1.0,0.0,H,hf,7,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6],,
7,-0.005248856025580148,RESP2,hf/6-31g*,1.0,0.0,H,hf,8,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6],,
8,0.391899069603691,RESP2,hf/6-31g*,1.0,0.0,H,hf,9,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6],,
9,0.3550928863091845,RESP2,hf/6-31g*,1.0,0.0,H,hf,10,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6],,
10,0.2933617207359009,RESP2,hf/6-31g*,1.0,0.0,H,hf,11,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6],,
0,0.5544549911161604,RESP2,hf/6-31g*,1.0,0.05,C,hf,1,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6],,
1,0.07193440871374082,RESP2,hf/6-31g*,1.0,0.05,C,hf,2,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6],,
2,-0.4991386303785852,RESP2,hf/6-31g*,1.0,0.05,N,hf,3,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6],,
3,-1.0249361908420407,RESP2,hf/6-31g*,1.0,0.05,C,hf,4,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6],,
4,-0.10983808766431662,RESP2,hf/6-31g*,1.0,0.05,H,hf,5,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6],,
5,-0.05962312652994745,RESP2,hf/6-31g*,1.0,0.05,H,hf,6,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6],,
6,0.024313695648706616,RESP2,hf/6-31g*,1.0,0.05,H,hf,7,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6],,
7,-0.0057884321210379674,RESP2,hf/6-31g*,1.0,0.05,H,hf,8,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6],,
8,0.39474727576185936,RESP2,hf/6-31g*,1.0,0.05,H,hf,9,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6],,
9,0.3578328124169379,RESP2,hf/6-31g*,1.0,0.05,H,hf,10,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6],,
10,0.2960412838785228,RESP2,hf/6-31g*,1.0,0.05,H,hf,11,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6],,
0,0.5630639623477353,RESP2,hf/6-31g*,1.0,0.1,C,hf,1,[H:5][C:1]1([C:2]([N:3]([C:4]1([H:10])[H:11])[H:9])([H:7])[H:8])[H:6],,
