,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.26849215984945124,-0.26849215984945124,hf,1,gas,hf/6-31g*,1,C=CC(=O)O,[H:6][C:1](=[C:2]([H:8])[C:3](=[O:4])[O:5][H:9])[H:7]
1,-0.3102699171231615,-0.3102699171231615,hf,1,gas,hf/6-31g*,2,C=CC(=O)O,[H:6][C:1](=[C:2]([H:8])[C:3](=[O:4])[O:5][H:9])[H:7]
2,0.8692871264039459,0.8692871264039459,hf,1,gas,hf/6-31g*,3,C=CC(=O)O,[H:6][C:1](=[C:2]([H:8])[C:3](=[O:4])[O:5][H:9])[H:7]
3,-0.619249674579444,-0.619249674579444,hf,1,gas,hf/6-31g*,4,C=CC(=O)O,[H:6][C:1](=[C:2]([H:8])[C:3](=[O:4])[O:5][H:9])[H:7]
4,-0.6605314069754701,-0.6605314069754701,hf,1,gas,hf/6-31g*,5,C=CC(=O)O,[H:6][C:1](=[C:2]([H:8])[C:3](=[O:4])[O:5][H:9])[H:7]
5,0.1880055745016769,0.1880055745016769,hf,1,gas,hf/6-31g*,6,C=CC(=O)O,[H:6][C:1](=[C:2]([H:8])[C:3](=[O:4])[O:5][H:9])[H:7]
6,0.17426104623339436,0.17426104623339436,hf,1,gas,hf/6-31g*,7,C=CC(=O)O,[H:6][C:1](=[C:2]([H:8])[C:3](=[O:4])[O:5][H:9])[H:7]
7,0.17506189639602812,0.17506189639602812,hf,1,gas,hf/6-31g*,8,C=CC(=O)O,[H:6][C:1](=[C:2]([H:8])[C:3](=[O:4])[O:5][H:9])[H:7]
8,0.452741531268946,0.452741531268946,hf,1,gas,hf/6-31g*,9,C=CC(=O)O,[H:6][C:1](=[C:2]([H:8])[C:3](=[O:4])[O:5][H:9])[H:7]
0,-0.26849218416047116,-0.26849218416047116,hf,,gas,hf/6-31g*,1,C=CC(=O)O,[H:6][C:1](=[C:2]([H:8])[C:3](=[O:4])[O:5][H:9])[H:7]
1,-0.31026992133380743,-0.31026992133380743,hf,,gas,hf/6-31g*,2,C=CC(=O)O,[H:6][C:1](=[C:2]([H:8])[C:3](=[O:4])[O:5][H:9])[H:7]
2,0.8692871364740885,0.8692871364740885,hf,,gas,hf/6-31g*,3,C=CC(=O)O,[H:6][C:1](=[C:2]([H:8])[C:3](=[O:4])[O:5][H:9])[H:7]
3,-0.6192496774174115,-0.6192496774174115,hf,,gas,hf/6-31g*,4,C=CC(=O)O,[H:6][C:1](=[C:2]([H:8])[C:3](=[O:4])[O:5][H:9])[H:7]
4,-0.6605314245132792,-0.6605314245132792,hf,,gas,hf/6-31g*,5,C=CC(=O)O,[H:6][C:1](=[C:2]([H:8])[C:3](=[O:4])[O:5][H:9])[H:7]
5,0.18800558701087788,0.18800558701087788,hf,,gas,hf/6-31g*,6,C=CC(=O)O,[H:6][C:1](=[C:2]([H:8])[C:3](=[O:4])[O:5][H:9])[H:7]
6,0.1742610534208705,0.1742610534208705,hf,,gas,hf/6-31g*,7,C=CC(=O)O,[H:6][C:1](=[C:2]([H:8])[C:3](=[O:4])[O:5][H:9])[H:7]
7,0.175061912628706,0.175061912628706,hf,,gas,hf/6-31g*,8,C=CC(=O)O,[H:6][C:1](=[C:2]([H:8])[C:3](=[O:4])[O:5][H:9])[H:7]
