,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.2685826061023917,RESP2,hf/6-31g*,1.0,0.0,C,hf,1,[H:6][C:1](=[C:2]([H:8])[C:3](=[O:4])[O:5][H:9])[H:7],,
1,-0.31036036337610196,RESP2,hf/6-31g*,1.0,0.0,C,hf,2,[H:6][C:1](=[C:2]([H:8])[C:3](=[O:4])[O:5][H:9])[H:7],,
2,0.8691966801510054,RESP2,hf/6-31g*,1.0,0.0,C,hf,3,[H:6][C:1](=[C:2]([H:8])[C:3](=[O:4])[O:5][H:9])[H:7],,
3,-0.6193401208323845,RESP2,hf/6-31g*,1.0,0.0,O,hf,4,[H:6][C:1](=[C:2]([H:8])[C:3](=[O:4])[O:5][H:9])[H:7],,
4,-0.6606218532284106,RESP2,hf/6-31g*,1.0,0.0,O,hf,5,[H:6][C:1](=[C:2]([H:8])[C:3](=[O:4])[O:5][H:9])[H:7],,
5,0.1879151282487364,RESP2,hf/6-31g*,1.0,0.0,H,hf,6,[H:6][C:1](=[C:2]([H:8])[C:3](=[O:4])[O:5][H:9])[H:7],,
6,0.17417059998045387,RESP2,hf/6-31g*,1.0,0.0,H,hf,7,[H:6][C:1](=[C:2]([H:8])[C:3](=[O:4])[O:5][H:9])[H:7],,
7,0.17497145014308763,RESP2,hf/6-31g*,1.0,0.0,H,hf,8,[H:6][C:1](=[C:2]([H:8])[C:3](=[O:4])[O:5][H:9])[H:7],,
8,0.45265108501600554,RESP2,hf/6-31g*,1.0,0.0,H,hf,9,[H:6][C:1](=[C:2]([H:8])[C:3](=[O:4])[O:5][H:9])[H:7],,
0,-0.26674453166360673,RESP2,hf/6-31g*,1.0,0.05,C,hf,1,[H:6][C:1](=[C:2]([H:8])[C:3](=[O:4])[O:5][H:9])[H:7],,
1,-0.3129420356987089,RESP2,hf/6-31g*,1.0,0.05,C,hf,2,[H:6][C:1](=[C:2]([H:8])[C:3](=[O:4])[O:5][H:9])[H:7],,
2,0.8716303132104658,RESP2,hf/6-31g*,1.0,0.05,C,hf,3,[H:6][C:1](=[C:2]([H:8])[C:3](=[O:4])[O:5][H:9])[H:7],,
3,-0.6223805705950832,RESP2,hf/6-31g*,1.0,0.05,O,hf,4,[H:6][C:1](=[C:2]([H:8])[C:3](=[O:4])[O:5][H:9])[H:7],,
4,-0.6610263320355111,RESP2,hf/6-31g*,1.0,0.05,O,hf,5,[H:6][C:1](=[C:2]([H:8])[C:3](=[O:4])[O:5][H:9])[H:7],,
5,0.1875672938078388,RESP2,hf/6-31g*,1.0,0.05,H,hf,6,[H:6][C:1](=[C:2]([H:8])[C:3](=[O:4])[O:5][H:9])[H:7],,
6,0.17479265591557583,RESP2,hf/6-31g*,1.0,0.05,H,hf,7,[H:6][C:1](=[C:2]([H:8])[C:3](=[O:4])[O:5][H:9])[H:7],,
7,0.17560885022151332,RESP2,hf/6-31g*,1.0,0.05,H,hf,8,[H:6][C:1](=[C:2]([H:8])[C:3](=[O:4])[O:5][H:9])[H:7],,
