,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.5776271807921104,-0.5776271807921104,hf,1,gas,hf/6-31g*,1,C=CC,[H:4][C:1](=[C:2]([H:6])[C:3]([H:7])([H:8])[H:9])[H:5]
1,0.04901528463590509,0.04901528463590509,hf,1,gas,hf/6-31g*,2,C=CC,[H:4][C:1](=[C:2]([H:6])[C:3]([H:7])([H:8])[H:9])[H:5]
2,-0.20264069521699532,-0.20264069521699532,hf,1,gas,hf/6-31g*,3,C=CC,[H:4][C:1](=[C:2]([H:6])[C:3]([H:7])([H:8])[H:9])[H:5]
3,0.2253044363282225,0.2253044363282225,hf,1,gas,hf/6-31g*,4,C=CC,[H:4][C:1](=[C:2]([H:6])[C:3]([H:7])([H:8])[H:9])[H:5]
4,0.19951042961333182,0.19951042961333182,hf,1,gas,hf/6-31g*,5,C=CC,[H:4][C:1](=[C:2]([H:6])[C:3]([H:7])([H:8])[H:9])[H:5]
5,0.09455117340059838,0.09455117340059838,hf,1,gas,hf/6-31g*,6,C=CC,[H:4][C:1](=[C:2]([H:6])[C:3]([H:7])([H:8])[H:9])[H:5]
6,0.06736098614731781,0.06736098614731781,hf,1,gas,hf/6-31g*,7,C=CC,[H:4][C:1](=[C:2]([H:6])[C:3]([H:7])([H:8])[H:9])[H:5]
7,0.0790910699910654,0.0790910699910654,hf,1,gas,hf/6-31g*,8,C=CC,[H:4][C:1](=[C:2]([H:6])[C:3]([H:7])([H:8])[H:9])[H:5]
8,0.067189128830945,0.067189128830945,hf,1,gas,hf/6-31g*,9,C=CC,[H:4][C:1](=[C:2]([H:6])[C:3]([H:7])([H:8])[H:9])[H:5]
0,-0.6096249797612088,-0.6096249797612088,resp2,1,gas,hf/6-31g*,1,C=CC,[H:4][C:1](=[C:2]([H:6])[C:3]([H:7])([H:8])[H:9])[H:5]
1,0.09703615837952652,0.09703615837952652,resp2,1,gas,hf/6-31g*,2,C=CC,[H:4][C:1](=[C:2]([H:6])[C:3]([H:7])([H:8])[H:9])[H:5]
2,-0.2904319007638721,-0.2904319007638721,resp2,1,gas,hf/6-31g*,3,C=CC,[H:4][C:1](=[C:2]([H:6])[C:3]([H:7])([H:8])[H:9])[H:5]
3,0.23274274414375884,0.23274274414375884,resp2,1,gas,hf/6-31g*,4,C=CC,[H:4][C:1](=[C:2]([H:6])[C:3]([H:7])([H:8])[H:9])[H:5]
4,0.20665529503652189,0.20665529503652189,resp2,1,gas,hf/6-31g*,5,C=CC,[H:4][C:1](=[C:2]([H:6])[C:3]([H:7])([H:8])[H:9])[H:5]
5,0.08669566124492306,0.08669566124492306,resp2,1,gas,hf/6-31g*,6,C=CC,[H:4][C:1](=[C:2]([H:6])[C:3]([H:7])([H:8])[H:9])[H:5]
6,0.08828262784320468,0.08828262784320468,resp2,1,gas,hf/6-31g*,7,C=CC,[H:4][C:1](=[C:2]([H:6])[C:3]([H:7])([H:8])[H:9])[H:5]
7,0.10149388589065703,0.10149388589065703,resp2,1,gas,hf/6-31g*,8,C=CC,[H:4][C:1](=[C:2]([H:6])[C:3]([H:7])([H:8])[H:9])[H:5]
8,0.08832692993683064,0.08832692993683064,resp2,1,gas,hf/6-31g*,9,C=CC,[H:4][C:1](=[C:2]([H:6])[C:3]([H:7])([H:8])[H:9])[H:5]
0,-0.5776271807920859,-0.5776271807920859,hf,,gas,hf/6-31g*,1,C=CC,[H:4][C:1](=[C:2]([H:6])[C:3]([H:7])([H:8])[H:9])[H:5]
1,0.04901528463572461,0.04901528463572461,hf,,gas,hf/6-31g*,2,C=CC,[H:4][C:1](=[C:2]([H:6])[C:3]([H:7])([H:8])[H:9])[H:5]
2,-0.20264069521639896,-0.20264069521639896,hf,,gas,hf/6-31g*,3,C=CC,[H:4][C:1](=[C:2]([H:6])[C:3]([H:7])([H:8])[H:9])[H:5]
3,0.22530443632820968,0.22530443632820968,hf,,gas,hf/6-31g*,4,C=CC,[H:4][C:1](=[C:2]([H:6])[C:3]([H:7])([H:8])[H:9])[H:5]
