,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.49773526631371984,-0.49773526631371984,hf,1,gas,hf/6-31g*,1,C=CCC,[H:5][C:1](=[C:2]([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[H:12])[H:6]
1,-0.13857751570330665,-0.13857751570330665,hf,1,gas,hf/6-31g*,2,C=CCC,[H:5][C:1](=[C:2]([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[H:12])[H:6]
2,0.2523842457555996,0.2523842457555996,hf,1,gas,hf/6-31g*,3,C=CCC,[H:5][C:1](=[C:2]([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[H:12])[H:6]
3,-0.21518049800946187,-0.21518049800946187,hf,1,gas,hf/6-31g*,4,C=CCC,[H:5][C:1](=[C:2]([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[H:12])[H:6]
4,0.19906644860444833,0.19906644860444833,hf,1,gas,hf/6-31g*,5,C=CCC,[H:5][C:1](=[C:2]([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[H:12])[H:6]
5,0.1933773164279993,0.1933773164279993,hf,1,gas,hf/6-31g*,6,C=CCC,[H:5][C:1](=[C:2]([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[H:12])[H:6]
6,0.11726102951211954,0.11726102951211954,hf,1,gas,hf/6-31g*,7,C=CCC,[H:5][C:1](=[C:2]([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[H:12])[H:6]
7,-0.03450267773147436,-0.03450267773147436,hf,1,gas,hf/6-31g*,8,C=CCC,[H:5][C:1](=[C:2]([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[H:12])[H:6]
8,-0.023892795509544006,-0.023892795509544006,hf,1,gas,hf/6-31g*,9,C=CCC,[H:5][C:1](=[C:2]([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[H:12])[H:6]
9,0.04974088900886908,0.04974088900886908,hf,1,gas,hf/6-31g*,10,C=CCC,[H:5][C:1](=[C:2]([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[H:12])[H:6]
10,0.046294604019336286,0.046294604019336286,hf,1,gas,hf/6-31g*,11,C=CCC,[H:5][C:1](=[C:2]([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[H:12])[H:6]
11,0.053319105161990926,0.053319105161990926,hf,1,gas,hf/6-31g*,12,C=CCC,[H:5][C:1](=[C:2]([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[H:12])[H:6]
0,-0.5201052434786687,-0.5201052434786687,resp2,1,gas,hf/6-31g*,1,C=CCC,[H:5][C:1](=[C:2]([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[H:12])[H:6]
1,-0.12487306102094599,-0.12487306102094599,resp2,1,gas,hf/6-31g*,2,C=CCC,[H:5][C:1](=[C:2]([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[H:12])[H:6]
2,0.24695448522610736,0.24695448522610736,resp2,1,gas,hf/6-31g*,3,C=CCC,[H:5][C:1](=[C:2]([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[H:12])[H:6]
3,-0.23152084530021197,-0.23152084530021197,resp2,1,gas,hf/6-31g*,4,C=CCC,[H:5][C:1](=[C:2]([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[H:12])[H:6]
4,0.20514708001480922,0.20514708001480922,resp2,1,gas,hf/6-31g*,5,C=CCC,[H:5][C:1](=[C:2]([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[H:12])[H:6]
5,0.19950743260499287,0.19950743260499287,resp2,1,gas,hf/6-31g*,6,C=CCC,[H:5][C:1](=[C:2]([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[H:12])[H:6]
6,0.1147443490441038,0.1147443490441038,resp2,1,gas,hf/6-31g*,7,C=CCC,[H:5][C:1](=[C:2]([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[H:12])[H:6]
7,-0.03145470014409124,-0.03145470014409124,resp2,1,gas,hf/6-31g*,8,C=CCC,[H:5][C:1](=[C:2]([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[H:12])[H:6]
8,-0.020610741833579,-0.020610741833579,resp2,1,gas,hf/6-31g*,9,C=CCC,[H:5][C:1](=[C:2]([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[H:12])[H:6]
9,0.05441407911607845,0.05441407911607845,resp2,1,gas,hf/6-31g*,10,C=CCC,[H:5][C:1](=[C:2]([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[H:12])[H:6]
10,0.05096159019662001,0.05096159019662001,resp2,1,gas,hf/6-31g*,11,C=CCC,[H:5][C:1](=[C:2]([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[H:12])[H:6]
11,0.058284272483065946,0.058284272483065946,resp2,1,gas,hf/6-31g*,12,C=CCC,[H:5][C:1](=[C:2]([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[H:12])[H:6]
0,-0.4977352554473104,-0.4977352554473104,hf,,gas,hf/6-31g*,1,C=CCC,[H:5][C:1](=[C:2]([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[H:12])[H:6]
1,-0.1385776724698055,-0.1385776724698055,hf,,gas,hf/6-31g*,2,C=CCC,[H:5][C:1](=[C:2]([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[H:12])[H:6]
2,0.2523842893307308,0.2523842893307308,hf,,gas,hf/6-31g*,3,C=CCC,[H:5][C:1](=[C:2]([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[H:12])[H:6]
3,-0.21518061392774462,-0.21518061392774462,hf,,gas,hf/6-31g*,4,C=CCC,[H:5][C:1](=[C:2]([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[H:12])[H:6]
4,0.19906643973855673,0.19906643973855673,hf,,gas,hf/6-31g*,5,C=CCC,[H:5][C:1](=[C:2]([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[H:12])[H:6]
5,0.19337733574986804,0.19337733574986804,hf,,gas,hf/6-31g*,6,C=CCC,[H:5][C:1](=[C:2]([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[H:12])[H:6]
6,0.11726111955154638,0.11726111955154638,hf,,gas,hf/6-31g*,7,C=CCC,[H:5][C:1](=[C:2]([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[H:12])[H:6]
7,-0.03450269293953151,-0.03450269293953151,hf,,gas,hf/6-31g*,8,C=CCC,[H:5][C:1](=[C:2]([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[H:12])[H:6]
8,-0.023892733244276383,-0.023892733244276383,hf,,gas,hf/6-31g*,9,C=CCC,[H:5][C:1](=[C:2]([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[H:12])[H:6]
9,0.049740933232452954,0.049740933232452954,hf,,gas,hf/6-31g*,10,C=CCC,[H:5][C:1](=[C:2]([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[H:12])[H:6]
10,0.04629459411881199,0.04629459411881199,hf,,gas,hf/6-31g*,11,C=CCC,[H:5][C:1](=[C:2]([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[H:12])[H:6]
11,0.05331914272128055,0.05331914272128055,hf,,gas,hf/6-31g*,12,C=CCC,[H:5][C:1](=[C:2]([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[H:12])[H:6]
0,-0.5201052551863163,-0.5201052551863163,resp2,,gas,hf/6-31g*,1,C=CCC,[H:5][C:1](=[C:2]([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[H:12])[H:6]
1,-0.12487320112598913,-0.12487320112598913,resp2,,gas,hf/6-31g*,2,C=CCC,[H:5][C:1](=[C:2]([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[H:12])[H:6]
2,0.24695445932163307,0.24695445932163307,resp2,,gas,hf/6-31g*,3,C=CCC,[H:5][C:1](=[C:2]([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[H:12])[H:6]
3,-0.23152091260753263,-0.23152091260753263,resp2,,gas,hf/6-31g*,4,C=CCC,[H:5][C:1](=[C:2]([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[H:12])[H:6]
4,0.20514707826515696,0.20514707826515696,resp2,,gas,hf/6-31g*,5,C=CCC,[H:5][C:1](=[C:2]([H:7])[C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[H:12])[H:6]
