,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.43701855973672876,RESP2,hf/6-31g*,1.0,0.0,C,hf,1,[H:8][C:1](=[C:2]([H:10])[C:3]([H:11])([H:12])[N:4]([H:13])[C:5]([H:14])([H:15])[C:6](=[C:7]([H:17])[H:18])[H:16])[H:9],,
1,-0.15327888345688787,RESP2,hf/6-31g*,1.0,0.0,C,hf,2,[H:8][C:1](=[C:2]([H:10])[C:3]([H:11])([H:12])[N:4]([H:13])[C:5]([H:14])([H:15])[C:6](=[C:7]([H:17])[H:18])[H:16])[H:9],,
2,0.22857508422217457,RESP2,hf/6-31g*,1.0,0.0,C,hf,3,[H:8][C:1](=[C:2]([H:10])[C:3]([H:11])([H:12])[N:4]([H:13])[C:5]([H:14])([H:15])[C:6](=[C:7]([H:17])[H:18])[H:16])[H:9],,
3,-0.6406286204762133,RESP2,hf/6-31g*,1.0,0.0,N,hf,4,[H:8][C:1](=[C:2]([H:10])[C:3]([H:11])([H:12])[N:4]([H:13])[C:5]([H:14])([H:15])[C:6](=[C:7]([H:17])[H:18])[H:16])[H:9],,
4,0.17556573267429015,RESP2,hf/6-31g*,1.0,0.0,C,hf,5,[H:8][C:1](=[C:2]([H:10])[C:3]([H:11])([H:12])[N:4]([H:13])[C:5]([H:14])([H:15])[C:6](=[C:7]([H:17])[H:18])[H:16])[H:9],,
5,-0.06193329040210908,RESP2,hf/6-31g*,1.0,0.0,C,hf,6,[H:8][C:1](=[C:2]([H:10])[C:3]([H:11])([H:12])[N:4]([H:13])[C:5]([H:14])([H:15])[C:6](=[C:7]([H:17])[H:18])[H:16])[H:9],,
6,-0.47615697761799947,RESP2,hf/6-31g*,1.0,0.0,C,hf,7,[H:8][C:1](=[C:2]([H:10])[C:3]([H:11])([H:12])[N:4]([H:13])[C:5]([H:14])([H:15])[C:6](=[C:7]([H:17])[H:18])[H:16])[H:9],,
7,0.1839751225560041,RESP2,hf/6-31g*,1.0,0.0,H,hf,8,[H:8][C:1](=[C:2]([H:10])[C:3]([H:11])([H:12])[N:4]([H:13])[C:5]([H:14])([H:15])[C:6](=[C:7]([H:17])[H:18])[H:16])[H:9],,
8,0.17916123645711046,RESP2,hf/6-31g*,1.0,0.0,H,hf,9,[H:8][C:1](=[C:2]([H:10])[C:3]([H:11])([H:12])[N:4]([H:13])[C:5]([H:14])([H:15])[C:6](=[C:7]([H:17])[H:18])[H:16])[H:9],,
9,0.13348404523302454,RESP2,hf/6-31g*,1.0,0.0,H,hf,10,[H:8][C:1](=[C:2]([H:10])[C:3]([H:11])([H:12])[N:4]([H:13])[C:5]([H:14])([H:15])[C:6](=[C:7]([H:17])[H:18])[H:16])[H:9],,
10,0.016277076043787937,RESP2,hf/6-31g*,1.0,0.0,H,hf,11,[H:8][C:1](=[C:2]([H:10])[C:3]([H:11])([H:12])[N:4]([H:13])[C:5]([H:14])([H:15])[C:6](=[C:7]([H:17])[H:18])[H:16])[H:9],,
