,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,0.4497749942822046,0.4497749942822046,hf,1,gas,hf/6-31g*,1,C=O,[H:3][C:1](=[O:2])[H:4]
1,-0.46243131925926945,-0.46243131925926945,hf,1,gas,hf/6-31g*,2,C=O,[H:3][C:1](=[O:2])[H:4]
2,0.006493729438374117,0.006493729438374117,hf,1,gas,hf/6-31g*,3,C=O,[H:3][C:1](=[O:2])[H:4]
3,0.006687037947901985,0.006687037947901985,hf,1,gas,hf/6-31g*,4,C=O,[H:3][C:1](=[O:2])[H:4]
0,0.428804912211854,0.428804912211854,resp2,1,gas,hf/6-31g*,1,C=O,[H:3][C:1](=[O:2])[H:4]
1,-0.4570222046925497,-0.4570222046925497,resp2,1,gas,hf/6-31g*,2,C=O,[H:3][C:1](=[O:2])[H:4]
2,0.014274552932996593,0.014274552932996593,resp2,1,gas,hf/6-31g*,3,C=O,[H:3][C:1](=[O:2])[H:4]
3,0.014266263058499274,0.014266263058499274,resp2,1,gas,hf/6-31g*,4,C=O,[H:3][C:1](=[O:2])[H:4]
0,0.4497749942822365,0.4497749942822365,hf,,gas,hf/6-31g*,1,C=O,[H:3][C:1](=[O:2])[H:4]
1,-0.46243131925927955,-0.46243131925927955,hf,,gas,hf/6-31g*,2,C=O,[H:3][C:1](=[O:2])[H:4]
2,0.006493729438362939,0.006493729438362939,hf,,gas,hf/6-31g*,3,C=O,[H:3][C:1](=[O:2])[H:4]
3,0.006687037947891013,0.006687037947891013,hf,,gas,hf/6-31g*,4,C=O,[H:3][C:1](=[O:2])[H:4]
0,0.4288049122119768,0.4288049122119768,resp2,,gas,hf/6-31g*,1,C=O,[H:3][C:1](=[O:2])[H:4]
1,-0.4570222046925928,-0.4570222046925928,resp2,,gas,hf/6-31g*,2,C=O,[H:3][C:1](=[O:2])[H:4]
2,0.01427455293295408,0.01427455293295408,resp2,,gas,hf/6-31g*,3,C=O,[H:3][C:1](=[O:2])[H:4]
3,0.014266263058461773,0.014266263058461773,resp2,,gas,hf/6-31g*,4,C=O,[H:3][C:1](=[O:2])[H:4]
0,0.5053972609775613,0.5053972609775613,hf,1,water,hf/6-31g*,1,C=O,[H:3][C:1](=[O:2])[H:4]
1,-0.5510520724500857,-0.5510520724500857,hf,1,water,hf/6-31g*,2,C=O,[H:3][C:1](=[O:2])[H:4]
2,0.02293365315487864,0.02293365315487864,hf,1,water,hf/6-31g*,3,C=O,[H:3][C:1](=[O:2])[H:4]
3,0.02311134055892477,0.02311134055892477,hf,1,water,hf/6-31g*,4,C=O,[H:3][C:1](=[O:2])[H:4]
0,0.4836563499472327,0.4836563499472327,resp2,1,water,hf/6-31g*,1,C=O,[H:3][C:1](=[O:2])[H:4]
1,-0.5456242177019637,-0.5456242177019637,resp2,1,water,hf/6-31g*,2,C=O,[H:3][C:1](=[O:2])[H:4]
2,0.031113668379842235,0.031113668379842235,resp2,1,water,hf/6-31g*,3,C=O,[H:3][C:1](=[O:2])[H:4]
3,0.03109919379326428,0.03109919379326428,resp2,1,water,hf/6-31g*,4,C=O,[H:3][C:1](=[O:2])[H:4]
0,0.5053972609774068,0.5053972609774068,hf,,water,hf/6-31g*,1,C=O,[H:3][C:1](=[O:2])[H:4]
1,-0.5510520724500308,-0.5510520724500308,hf,,water,hf/6-31g*,2,C=O,[H:3][C:1](=[O:2])[H:4]
2,0.02293365315492853,0.02293365315492853,hf,,water,hf/6-31g*,3,C=O,[H:3][C:1](=[O:2])[H:4]
3,0.02311134055897586,0.02311134055897586,hf,,water,hf/6-31g*,4,C=O,[H:3][C:1](=[O:2])[H:4]
0,0.4836563499473436,0.4836563499473436,resp2,,water,hf/6-31g*,1,C=O,[H:3][C:1](=[O:2])[H:4]
1,-0.5456242177020022,-0.5456242177020022,resp2,,water,hf/6-31g*,2,C=O,[H:3][C:1](=[O:2])[H:4]
2,0.03111366837980478,0.03111366837980478,resp2,,water,hf/6-31g*,3,C=O,[H:3][C:1](=[O:2])[H:4]
3,0.031099193793229153,0.031099193793229153,resp2,,water,hf/6-31g*,4,C=O,[H:3][C:1](=[O:2])[H:4]
0,0.36236897635877985,0.36236897635877985,hf,1,gas,b3lyp-d3bj/dzvp,1,C=O,[H:3][C:1](=[O:2])[H:4]
1,-0.40188039769611966,-0.40188039769611966,hf,1,gas,b3lyp-d3bj/dzvp,2,C=O,[H:3][C:1](=[O:2])[H:4]
2,0.02026870168834529,0.02026870168834529,hf,1,gas,b3lyp-d3bj/dzvp,3,C=O,[H:3][C:1](=[O:2])[H:4]
3,0.02054440585111314,0.02054440585111314,hf,1,gas,b3lyp-d3bj/dzvp,4,C=O,[H:3][C:1](=[O:2])[H:4]
0,0.3371039044981919,0.3371039044981919,resp2,1,gas,b3lyp-d3bj/dzvp,1,C=O,[H:3][C:1](=[O:2])[H:4]
1,-0.3961592489656257,-0.3961592489656257,resp2,1,gas,b3lyp-d3bj/dzvp,2,C=O,[H:3][C:1](=[O:2])[H:4]
2,0.029871257651913,0.029871257651913,resp2,1,gas,b3lyp-d3bj/dzvp,3,C=O,[H:3][C:1](=[O:2])[H:4]
3,0.029922749567971616,0.029922749567971616,resp2,1,gas,b3lyp-d3bj/dzvp,4,C=O,[H:3][C:1](=[O:2])[H:4]
0,0.3623689763588013,0.3623689763588013,hf,,gas,b3lyp-d3bj/dzvp,1,C=O,[H:3][C:1](=[O:2])[H:4]
1,-0.4018803976961272,-0.4018803976961272,hf,,gas,b3lyp-d3bj/dzvp,2,C=O,[H:3][C:1](=[O:2])[H:4]
2,0.02026870168833875,0.02026870168833875,hf,,gas,b3lyp-d3bj/dzvp,3,C=O,[H:3][C:1](=[O:2])[H:4]
3,0.02054440585110565,0.02054440585110565,hf,,gas,b3lyp-d3bj/dzvp,4,C=O,[H:3][C:1](=[O:2])[H:4]
0,0.33710390449829497,0.33710390449829497,resp2,,gas,b3lyp-d3bj/dzvp,1,C=O,[H:3][C:1](=[O:2])[H:4]
1,-0.39615924896566057,-0.39615924896566057,resp2,,gas,b3lyp-d3bj/dzvp,2,C=O,[H:3][C:1](=[O:2])[H:4]
2,0.029871257651879167,0.029871257651879167,resp2,,gas,b3lyp-d3bj/dzvp,3,C=O,[H:3][C:1](=[O:2])[H:4]
3,0.029922749567936918,0.029922749567936918,resp2,,gas,b3lyp-d3bj/dzvp,4,C=O,[H:3][C:1](=[O:2])[H:4]
0,0.41615819693900186,0.41615819693900186,hf,1,water,b3lyp-d3bj/dzvp,1,C=O,[H:3][C:1](=[O:2])[H:4]
1,-0.4853255360114361,-0.4853255360114361,hf,1,water,b3lyp-d3bj/dzvp,2,C=O,[H:3][C:1](=[O:2])[H:4]
2,0.03506131817259586,0.03506131817259586,hf,1,water,b3lyp-d3bj/dzvp,3,C=O,[H:3][C:1](=[O:2])[H:4]
3,0.035295065736973635,0.035295065736973635,hf,1,water,b3lyp-d3bj/dzvp,4,C=O,[H:3][C:1](=[O:2])[H:4]
0,0.39108812571869134,0.39108812571869134,resp2,1,water,b3lyp-d3bj/dzvp,1,C=O,[H:3][C:1](=[O:2])[H:4]
1,-0.47997079506249946,-0.47997079506249946,resp2,1,water,b3lyp-d3bj/dzvp,2,C=O,[H:3][C:1](=[O:2])[H:4]
2,0.04475493713962029,0.04475493713962029,resp2,1,water,b3lyp-d3bj/dzvp,3,C=O,[H:3][C:1](=[O:2])[H:4]
3,0.04479786893340922,0.04479786893340922,resp2,1,water,b3lyp-d3bj/dzvp,4,C=O,[H:3][C:1](=[O:2])[H:4]
0,0.4161581969390392,0.4161581969390392,hf,,water,b3lyp-d3bj/dzvp,1,C=O,[H:3][C:1](=[O:2])[H:4]
1,-0.48532553601144823,-0.48532553601144823,hf,,water,b3lyp-d3bj/dzvp,2,C=O,[H:3][C:1](=[O:2])[H:4]
2,0.035061318172583116,0.035061318172583116,hf,,water,b3lyp-d3bj/dzvp,3,C=O,[H:3][C:1](=[O:2])[H:4]
3,0.035295065736960896,0.035295065736960896,hf,,water,b3lyp-d3bj/dzvp,4,C=O,[H:3][C:1](=[O:2])[H:4]
0,0.39108812571878615,0.39108812571878615,resp2,,water,b3lyp-d3bj/dzvp,1,C=O,[H:3][C:1](=[O:2])[H:4]
1,-0.47997079506253204,-0.47997079506253204,resp2,,water,b3lyp-d3bj/dzvp,2,C=O,[H:3][C:1](=[O:2])[H:4]
2,0.04475493713959033,0.04475493713959033,resp2,,water,b3lyp-d3bj/dzvp,3,C=O,[H:3][C:1](=[O:2])[H:4]
3,0.04479786893337666,0.04479786893337666,resp2,,water,b3lyp-d3bj/dzvp,4,C=O,[H:3][C:1](=[O:2])[H:4]
