,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,0.44964388367990177,RESP2,hf/6-31g*,1.0,0.0,C,hf,1,[H:3][C:1](=[O:2])[H:4],,
1,-0.46256242986157226,RESP2,hf/6-31g*,1.0,0.0,O,hf,2,[H:3][C:1](=[O:2])[H:4],,
2,0.006362618836071309,RESP2,hf/6-31g*,1.0,0.0,H,hf,3,[H:3][C:1](=[O:2])[H:4],,
3,0.006555927345599177,RESP2,hf/6-31g*,1.0,0.0,H,hf,4,[H:3][C:1](=[O:2])[H:4],,
0,0.4524266752667687,RESP2,hf/6-31g*,1.0,0.05,C,hf,1,[H:3][C:1](=[O:2])[H:4],,
1,-0.4669917892690139,RESP2,hf/6-31g*,1.0,0.05,O,hf,2,[H:3][C:1](=[O:2])[H:4],,
2,0.007186293273995682,RESP2,hf/6-31g*,1.0,0.05,H,hf,3,[H:3][C:1](=[O:2])[H:4],,
3,0.007378820728249464,RESP2,hf/6-31g*,1.0,0.05,H,hf,4,[H:3][C:1](=[O:2])[H:4],,
0,0.4552094668536358,RESP2,hf/6-31g*,1.0,0.1,C,hf,1,[H:3][C:1](=[O:2])[H:4],,
1,-0.47142114867645557,RESP2,hf/6-31g*,1.0,0.1,O,hf,2,[H:3][C:1](=[O:2])[H:4],,
2,0.008009967711920056,RESP2,hf/6-31g*,1.0,0.1,H,hf,3,[H:3][C:1](=[O:2])[H:4],,
3,0.00820171411089975,RESP2,hf/6-31g*,1.0,0.1,H,hf,4,[H:3][C:1](=[O:2])[H:4],,
0,0.45799225844050273,RESP2,hf/6-31g*,1.0,0.15000000000000002,C,hf,1,[H:3][C:1](=[O:2])[H:4],,
1,-0.47585050808389723,RESP2,hf/6-31g*,1.0,0.15000000000000002,O,hf,2,[H:3][C:1](=[O:2])[H:4],,
2,0.008833642149844431,RESP2,hf/6-31g*,1.0,0.15000000000000002,H,hf,3,[H:3][C:1](=[O:2])[H:4],,
3,0.009024607493550038,RESP2,hf/6-31g*,1.0,0.15000000000000002,H,hf,4,[H:3][C:1](=[O:2])[H:4],,
0,0.4607750500273698,RESP2,hf/6-31g*,1.0,0.2,C,hf,1,[H:3][C:1](=[O:2])[H:4],,
1,-0.48027986749133894,RESP2,hf/6-31g*,1.0,0.2,O,hf,2,[H:3][C:1](=[O:2])[H:4],,
2,0.009657316587768819,RESP2,hf/6-31g*,1.0,0.2,H,hf,3,[H:3][C:1](=[O:2])[H:4],,
3,0.00984750087620034,RESP2,hf/6-31g*,1.0,0.2,H,hf,4,[H:3][C:1](=[O:2])[H:4],,
0,0.4635578416142367,RESP2,hf/6-31g*,1.0,0.25,C,hf,1,[H:3][C:1](=[O:2])[H:4],,
1,-0.48470922689878054,RESP2,hf/6-31g*,1.0,0.25,O,hf,2,[H:3][C:1](=[O:2])[H:4],,
2,0.01048099102569322,RESP2,hf/6-31g*,1.0,0.25,H,hf,3,[H:3][C:1](=[O:2])[H:4],,
3,0.010670394258850652,RESP2,hf/6-31g*,1.0,0.25,H,hf,4,[H:3][C:1](=[O:2])[H:4],,
0,0.4663406332011037,RESP2,hf/6-31g*,1.0,0.30000000000000004,C,hf,1,[H:3][C:1](=[O:2])[H:4],,
1,-0.4891385863062222,RESP2,hf/6-31g*,1.0,0.30000000000000004,O,hf,2,[H:3][C:1](=[O:2])[H:4],,
2,0.011304665463617579,RESP2,hf/6-31g*,1.0,0.30000000000000004,H,hf,3,[H:3][C:1](=[O:2])[H:4],,
3,0.011493287641500927,RESP2,hf/6-31g*,1.0,0.30000000000000004,H,hf,4,[H:3][C:1](=[O:2])[H:4],,
0,0.46912342478797064,RESP2,hf/6-31g*,1.0,0.35000000000000003,C,hf,1,[H:3][C:1](=[O:2])[H:4],,
1,-0.4935679457136638,RESP2,hf/6-31g*,1.0,0.35000000000000003,O,hf,2,[H:3][C:1](=[O:2])[H:4],,
2,0.012128339901541966,RESP2,hf/6-31g*,1.0,0.35000000000000003,H,hf,3,[H:3][C:1](=[O:2])[H:4],,
3,0.012316181024151225,RESP2,hf/6-31g*,1.0,0.35000000000000003,H,hf,4,[H:3][C:1](=[O:2])[H:4],,
0,0.4719062163748377,RESP2,hf/6-31g*,1.0,0.4,C,hf,1,[H:3][C:1](=[O:2])[H:4],,
1,-0.4979973051211055,RESP2,hf/6-31g*,1.0,0.4,O,hf,2,[H:3][C:1](=[O:2])[H:4],,
2,0.012952014339466328,RESP2,hf/6-31g*,1.0,0.4,H,hf,3,[H:3][C:1](=[O:2])[H:4],,
3,0.0131390744068015,RESP2,hf/6-31g*,1.0,0.4,H,hf,4,[H:3][C:1](=[O:2])[H:4],,
0,0.4746890079617047,RESP2,hf/6-31g*,1.0,0.45,C,hf,1,[H:3][C:1](=[O:2])[H:4],,
1,-0.5024266645285472,RESP2,hf/6-31g*,1.0,0.45,O,hf,2,[H:3][C:1](=[O:2])[H:4],,
2,0.013775688777390714,RESP2,hf/6-31g*,1.0,0.45,H,hf,3,[H:3][C:1](=[O:2])[H:4],,
3,0.0139619677894518,RESP2,hf/6-31g*,1.0,0.45,H,hf,4,[H:3][C:1](=[O:2])[H:4],,
0,0.47747179954857166,RESP2,hf/6-31g*,1.0,0.5,C,hf,1,[H:3][C:1](=[O:2])[H:4],,
1,-0.5068560239359888,RESP2,hf/6-31g*,1.0,0.5,O,hf,2,[H:3][C:1](=[O:2])[H:4],,
2,0.014599363215315086,RESP2,hf/6-31g*,1.0,0.5,H,hf,3,[H:3][C:1](=[O:2])[H:4],,
3,0.014784861172102086,RESP2,hf/6-31g*,1.0,0.5,H,hf,4,[H:3][C:1](=[O:2])[H:4],,
0,0.48025459113543867,RESP2,hf/6-31g*,1.0,0.55,C,hf,1,[H:3][C:1](=[O:2])[H:4],,
