,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.5009002553544607,-0.5009002553544607,hf,1,gas,hf/6-31g*,1,CC(=O)C(=O)O,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[C:4](=[O:5])[O:6][H:10]
1,0.6094733544560087,0.6094733544560087,hf,1,gas,hf/6-31g*,2,CC(=O)C(=O)O,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[C:4](=[O:5])[O:6][H:10]
2,-0.48083701045650673,-0.48083701045650673,hf,1,gas,hf/6-31g*,3,CC(=O)C(=O)O,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[C:4](=[O:5])[O:6][H:10]
3,0.7054488885602657,0.7054488885602657,hf,1,gas,hf/6-31g*,4,CC(=O)C(=O)O,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[C:4](=[O:5])[O:6][H:10]
4,-0.5839277870320113,-0.5839277870320113,hf,1,gas,hf/6-31g*,5,CC(=O)C(=O)O,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[C:4](=[O:5])[O:6][H:10]
5,-0.6731838618496505,-0.6731838618496505,hf,1,gas,hf/6-31g*,6,CC(=O)C(=O)O,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[C:4](=[O:5])[O:6][H:10]
6,0.14246799891679773,0.14246799891679773,hf,1,gas,hf/6-31g*,7,CC(=O)C(=O)O,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[C:4](=[O:5])[O:6][H:10]
7,0.14942664471000922,0.14942664471000922,hf,1,gas,hf/6-31g*,8,CC(=O)C(=O)O,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[C:4](=[O:5])[O:6][H:10]
8,0.14262369808596703,0.14262369808596703,hf,1,gas,hf/6-31g*,9,CC(=O)C(=O)O,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[C:4](=[O:5])[O:6][H:10]
9,0.48920975717208476,0.48920975717208476,hf,1,gas,hf/6-31g*,10,CC(=O)C(=O)O,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[C:4](=[O:5])[O:6][H:10]
0,-0.5009002553544227,-0.5009002553544227,hf,,gas,hf/6-31g*,1,CC(=O)C(=O)O,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[C:4](=[O:5])[O:6][H:10]
1,0.6094733544561874,0.6094733544561874,hf,,gas,hf/6-31g*,2,CC(=O)C(=O)O,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[C:4](=[O:5])[O:6][H:10]
2,-0.4808370104565565,-0.4808370104565565,hf,,gas,hf/6-31g*,3,CC(=O)C(=O)O,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[C:4](=[O:5])[O:6][H:10]
3,0.7054488885600876,0.7054488885600876,hf,,gas,hf/6-31g*,4,CC(=O)C(=O)O,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[C:4](=[O:5])[O:6][H:10]
4,-0.5839277870319606,-0.5839277870319606,hf,,gas,hf/6-31g*,5,CC(=O)C(=O)O,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[C:4](=[O:5])[O:6][H:10]
5,-0.6731838618496538,-0.6731838618496538,hf,,gas,hf/6-31g*,6,CC(=O)C(=O)O,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[C:4](=[O:5])[O:6][H:10]
6,0.14246799891678313,0.14246799891678313,hf,,gas,hf/6-31g*,7,CC(=O)C(=O)O,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[C:4](=[O:5])[O:6][H:10]
7,0.1494266447099764,0.1494266447099764,hf,,gas,hf/6-31g*,8,CC(=O)C(=O)O,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[C:4](=[O:5])[O:6][H:10]
8,0.14262369808594033,0.14262369808594033,hf,,gas,hf/6-31g*,9,CC(=O)C(=O)O,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[C:4](=[O:5])[O:6][H:10]
