,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.500167531427804,RESP2,hf/6-31g*,1.0,0.0,C,hf,1,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
1,0.7532556264159467,RESP2,hf/6-31g*,1.0,0.0,C,hf,2,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
2,-0.6229164947953003,RESP2,hf/6-31g*,1.0,0.0,O,hf,3,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
3,-0.1896568377407033,RESP2,hf/6-31g*,1.0,0.0,N,hf,4,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
4,-0.3101968897191812,RESP2,hf/6-31g*,1.0,0.0,C,hf,5,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
5,-0.3014849342066483,RESP2,hf/6-31g*,1.0,0.0,C,hf,6,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
6,0.1443650901672515,RESP2,hf/6-31g*,1.0,0.0,H,hf,7,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
7,0.1300239357672691,RESP2,hf/6-31g*,1.0,0.0,H,hf,8,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
8,0.1424087974817296,RESP2,hf/6-31g*,1.0,0.0,H,hf,9,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
9,0.1471956043872216,RESP2,hf/6-31g*,1.0,0.0,H,hf,10,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
10,0.124341943828872,RESP2,hf/6-31g*,1.0,0.0,H,hf,11,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
11,0.1165371180033583,RESP2,hf/6-31g*,1.0,0.0,H,hf,12,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
12,0.1193630733779888,RESP2,hf/6-31g*,1.0,0.0,H,hf,13,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
13,0.1345059725661876,RESP2,hf/6-31g*,1.0,0.0,H,hf,14,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
14,0.1124255258938116,RESP2,hf/6-31g*,1.0,0.0,H,hf,15,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
0,-0.5006763520010826,RESP2,hf/6-31g*,1.0,0.05,C,hf,1,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
1,0.7549263319819839,RESP2,hf/6-31g*,1.0,0.05,C,hf,2,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
2,-0.6269520810696918,RESP2,hf/6-31g*,1.0,0.05,O,hf,3,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
3,-0.1899500785882084,RESP2,hf/6-31g*,1.0,0.05,N,hf,4,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
4,-0.3094733232888569,RESP2,hf/6-31g*,1.0,0.05,C,hf,5,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
5,-0.3027855401592698,RESP2,hf/6-31g*,1.0,0.05,C,hf,6,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
6,0.1439211227630239,RESP2,hf/6-31g*,1.0,0.05,H,hf,7,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
7,0.1309137850952506,RESP2,hf/6-31g*,1.0,0.05,H,hf,8,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
8,0.1434659603930394,RESP2,hf/6-31g*,1.0,0.05,H,hf,9,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
9,0.1462205806639237,RESP2,hf/6-31g*,1.0,0.05,H,hf,10,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
10,0.1247001036434867,RESP2,hf/6-31g*,1.0,0.05,H,hf,11,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
11,0.1170893225087431,RESP2,hf/6-31g*,1.0,0.05,H,hf,12,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
12,0.1202750915141404,RESP2,hf/6-31g*,1.0,0.05,H,hf,13,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
13,0.1351260300415879,RESP2,hf/6-31g*,1.0,0.05,H,hf,14,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
14,0.1131990465019298,RESP2,hf/6-31g*,1.0,0.05,H,hf,15,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
0,-0.5011851725743613,RESP2,hf/6-31g*,1.0,0.1,C,hf,1,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
1,0.7565970375480212,RESP2,hf/6-31g*,1.0,0.1,C,hf,2,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
2,-0.6309876673440834,RESP2,hf/6-31g*,1.0,0.1,O,hf,3,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
3,-0.1902433194357136,RESP2,hf/6-31g*,1.0,0.1,N,hf,4,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
4,-0.3087497568585325,RESP2,hf/6-31g*,1.0,0.1,C,hf,5,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
5,-0.3040861461118912,RESP2,hf/6-31g*,1.0,0.1,C,hf,6,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
6,0.1434771553587963,RESP2,hf/6-31g*,1.0,0.1,H,hf,7,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
7,0.1318036344232322,RESP2,hf/6-31g*,1.0,0.1,H,hf,8,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
8,0.1445231233043492,RESP2,hf/6-31g*,1.0,0.1,H,hf,9,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
9,0.1452455569406258,RESP2,hf/6-31g*,1.0,0.1,H,hf,10,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
10,0.1250582634581014,RESP2,hf/6-31g*,1.0,0.1,H,hf,11,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
11,0.117641527014128,RESP2,hf/6-31g*,1.0,0.1,H,hf,12,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
12,0.121187109650292,RESP2,hf/6-31g*,1.0,0.1,H,hf,13,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
13,0.1357460875169881,RESP2,hf/6-31g*,1.0,0.1,H,hf,14,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
14,0.1139725671100479,RESP2,hf/6-31g*,1.0,0.1,H,hf,15,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
0,-0.5016939931476402,RESP2,hf/6-31g*,1.0,0.15,C,hf,1,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
1,0.7582677431140583,RESP2,hf/6-31g*,1.0,0.15,C,hf,2,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
2,-0.6350232536184749,RESP2,hf/6-31g*,1.0,0.15,O,hf,3,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
3,-0.1905365602832187,RESP2,hf/6-31g*,1.0,0.15,N,hf,4,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
4,-0.308026190428208,RESP2,hf/6-31g*,1.0,0.15,C,hf,5,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
5,-0.3053867520645126,RESP2,hf/6-31g*,1.0,0.15,C,hf,6,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
6,0.1430331879545687,RESP2,hf/6-31g*,1.0,0.15,H,hf,7,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
7,0.1326934837512136,RESP2,hf/6-31g*,1.0,0.15,H,hf,8,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
8,0.145580286215659,RESP2,hf/6-31g*,1.0,0.15,H,hf,9,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
9,0.1442705332173278,RESP2,hf/6-31g*,1.0,0.15,H,hf,10,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
10,0.1254164232727161,RESP2,hf/6-31g*,1.0,0.15,H,hf,11,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
11,0.1181937315195128,RESP2,hf/6-31g*,1.0,0.15,H,hf,12,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
12,0.1220991277864436,RESP2,hf/6-31g*,1.0,0.15,H,hf,13,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
13,0.1363661449923883,RESP2,hf/6-31g*,1.0,0.15,H,hf,14,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
14,0.1147460877181659,RESP2,hf/6-31g*,1.0,0.15,H,hf,15,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
0,-0.5022028137209188,RESP2,hf/6-31g*,1.0,0.2,C,hf,1,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
1,0.7599384486800957,RESP2,hf/6-31g*,1.0,0.2,C,hf,2,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
2,-0.6390588398928665,RESP2,hf/6-31g*,1.0,0.2,O,hf,3,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
3,-0.1908298011307239,RESP2,hf/6-31g*,1.0,0.2,N,hf,4,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
4,-0.3073026239978838,RESP2,hf/6-31g*,1.0,0.2,C,hf,5,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
5,-0.3066873580171341,RESP2,hf/6-31g*,1.0,0.2,C,hf,6,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
6,0.1425892205503411,RESP2,hf/6-31g*,1.0,0.2,H,hf,7,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
7,0.1335833330791952,RESP2,hf/6-31g*,1.0,0.2,H,hf,8,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
8,0.1466374491269688,RESP2,hf/6-31g*,1.0,0.2,H,hf,9,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
9,0.1432955094940299,RESP2,hf/6-31g*,1.0,0.2,H,hf,10,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
10,0.1257745830873308,RESP2,hf/6-31g*,1.0,0.2,H,hf,11,[H:7][C:1]([H:8])([H:9])[C:2](=[O:3])[N:4]([C:5]([H:10])([H:11])[H:12])[C:6]([H:13])([H:14])[H:15],,
