,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.6793803847132149,RESP2,hf/6-31g*,1.0,0.0,C,hf,1,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
1,0.926027160889018,RESP2,hf/6-31g*,1.0,0.0,C,hf,2,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
2,-0.6144773611451038,RESP2,hf/6-31g*,1.0,0.0,O,hf,3,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
3,-0.6995098041540255,RESP2,hf/6-31g*,1.0,0.0,N,hf,4,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
4,0.3431269700107672,RESP2,hf/6-31g*,1.0,0.0,C,hf,5,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
5,-0.2274119027150103,RESP2,hf/6-31g*,1.0,0.0,C,hf,6,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
6,-0.3183866073166426,RESP2,hf/6-31g*,1.0,0.0,C,hf,7,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
7,0.4059813202443814,RESP2,hf/6-31g*,1.0,0.0,C,hf,8,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
8,-0.5650308145794671,RESP2,hf/6-31g*,1.0,0.0,O,hf,9,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
9,-0.32938394972877844,RESP2,hf/6-31g*,1.0,0.0,C,hf,10,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
10,-0.26696781590792623,RESP2,hf/6-31g*,1.0,0.0,C,hf,11,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
11,0.18353059378649256,RESP2,hf/6-31g*,1.0,0.0,H,hf,12,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
12,0.18010756461052357,RESP2,hf/6-31g*,1.0,0.0,H,hf,13,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
13,0.18024402811448176,RESP2,hf/6-31g*,1.0,0.0,H,hf,14,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
14,0.31611724590624,RESP2,hf/6-31g*,1.0,0.0,H,hf,15,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
15,0.19199974501317937,RESP2,hf/6-31g*,1.0,0.0,H,hf,16,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
16,0.19655647248980154,RESP2,hf/6-31g*,1.0,0.0,H,hf,17,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
17,0.3857155467222173,RESP2,hf/6-31g*,1.0,0.0,H,hf,18,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
18,0.196900888581589,RESP2,hf/6-31g*,1.0,0.0,H,hf,19,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
19,0.19424110389147717,RESP2,hf/6-31g*,1.0,0.0,H,hf,20,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
0,-0.6787185183370221,RESP2,hf/6-31g*,1.0,0.05,C,hf,1,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
1,0.9281540307134821,RESP2,hf/6-31g*,1.0,0.05,C,hf,2,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
2,-0.6195677844172915,RESP2,hf/6-31g*,1.0,0.05,O,hf,3,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
3,-0.7016330617538546,RESP2,hf/6-31g*,1.0,0.05,N,hf,4,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
4,0.34469380020663043,RESP2,hf/6-31g*,1.0,0.05,C,hf,5,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
5,-0.22975502525063668,RESP2,hf/6-31g*,1.0,0.05,C,hf,6,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
6,-0.3198615303030268,RESP2,hf/6-31g*,1.0,0.05,C,hf,7,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
7,0.407562719507168,RESP2,hf/6-31g*,1.0,0.05,C,hf,8,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
8,-0.5692618257776901,RESP2,hf/6-31g*,1.0,0.05,O,hf,9,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
9,-0.32950871823670586,RESP2,hf/6-31g*,1.0,0.05,C,hf,10,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
10,-0.26885093328358295,RESP2,hf/6-31g*,1.0,0.05,C,hf,11,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
11,0.18370062681279478,RESP2,hf/6-31g*,1.0,0.05,H,hf,12,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
12,0.18027229385013696,RESP2,hf/6-31g*,1.0,0.05,H,hf,13,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
13,0.18042336379111726,RESP2,hf/6-31g*,1.0,0.05,H,hf,14,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
14,0.3195059271034854,RESP2,hf/6-31g*,1.0,0.05,H,hf,15,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
15,0.19332869806169287,RESP2,hf/6-31g*,1.0,0.05,H,hf,16,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
16,0.19736323045042897,RESP2,hf/6-31g*,1.0,0.05,H,hf,17,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
17,0.38895424140212975,RESP2,hf/6-31g*,1.0,0.05,H,hf,18,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
18,0.19766613462134855,RESP2,hf/6-31g*,1.0,0.05,H,hf,19,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
19,0.19553233083939583,RESP2,hf/6-31g*,1.0,0.05,H,hf,20,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
0,-0.6780566519608293,RESP2,hf/6-31g*,1.0,0.1,C,hf,1,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
1,0.9302809005379461,RESP2,hf/6-31g*,1.0,0.1,C,hf,2,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
2,-0.6246582076894795,RESP2,hf/6-31g*,1.0,0.1,O,hf,3,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
3,-0.7037563193536839,RESP2,hf/6-31g*,1.0,0.1,N,hf,4,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
4,0.34626063040249366,RESP2,hf/6-31g*,1.0,0.1,C,hf,5,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
5,-0.23209814778626314,RESP2,hf/6-31g*,1.0,0.1,C,hf,6,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
6,-0.32133645328941096,RESP2,hf/6-31g*,1.0,0.1,C,hf,7,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
7,0.4091441187699546,RESP2,hf/6-31g*,1.0,0.1,C,hf,8,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
8,-0.5734928369759134,RESP2,hf/6-31g*,1.0,0.1,O,hf,9,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
9,-0.3296334867446333,RESP2,hf/6-31g*,1.0,0.1,C,hf,10,[H:16][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[H:20])[H:19])[O:9][H:18])[H:17],,
