,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.5730897548096185,-0.5730897548096185,hf,1,gas,hf/6-31g*,1,CC(=O)Nc1ccccc1O,[H:17][c:7]1[c:8]([c:9]([c:10]([c:5]([c:6]1[H:16])[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[O:11][H:20])[H:19])[H:18]
1,0.8965534624042802,0.8965534624042802,hf,1,gas,hf/6-31g*,2,CC(=O)Nc1ccccc1O,[H:17][c:7]1[c:8]([c:9]([c:10]([c:5]([c:6]1[H:16])[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[O:11][H:20])[H:19])[H:18]
2,-0.6409342410369603,-0.6409342410369603,hf,1,gas,hf/6-31g*,3,CC(=O)Nc1ccccc1O,[H:17][c:7]1[c:8]([c:9]([c:10]([c:5]([c:6]1[H:16])[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[O:11][H:20])[H:19])[H:18]
3,-0.696980779192698,-0.696980779192698,hf,1,gas,hf/6-31g*,4,CC(=O)Nc1ccccc1O,[H:17][c:7]1[c:8]([c:9]([c:10]([c:5]([c:6]1[H:16])[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[O:11][H:20])[H:19])[H:18]
4,0.28339668329703077,0.28339668329703077,hf,1,gas,hf/6-31g*,5,CC(=O)Nc1ccccc1O,[H:17][c:7]1[c:8]([c:9]([c:10]([c:5]([c:6]1[H:16])[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[O:11][H:20])[H:19])[H:18]
5,-0.2564825809322445,-0.2564825809322445,hf,1,gas,hf/6-31g*,6,CC(=O)Nc1ccccc1O,[H:17][c:7]1[c:8]([c:9]([c:10]([c:5]([c:6]1[H:16])[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[O:11][H:20])[H:19])[H:18]
6,-0.2298959384741379,-0.2298959384741379,hf,1,gas,hf/6-31g*,7,CC(=O)Nc1ccccc1O,[H:17][c:7]1[c:8]([c:9]([c:10]([c:5]([c:6]1[H:16])[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[O:11][H:20])[H:19])[H:18]
7,-0.10042370494544983,-0.10042370494544983,hf,1,gas,hf/6-31g*,8,CC(=O)Nc1ccccc1O,[H:17][c:7]1[c:8]([c:9]([c:10]([c:5]([c:6]1[H:16])[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[O:11][H:20])[H:19])[H:18]
8,-0.36590056271615723,-0.36590056271615723,hf,1,gas,hf/6-31g*,9,CC(=O)Nc1ccccc1O,[H:17][c:7]1[c:8]([c:9]([c:10]([c:5]([c:6]1[H:16])[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[O:11][H:20])[H:19])[H:18]
9,0.30751834052396815,0.30751834052396815,hf,1,gas,hf/6-31g*,10,CC(=O)Nc1ccccc1O,[H:17][c:7]1[c:8]([c:9]([c:10]([c:5]([c:6]1[H:16])[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[O:11][H:20])[H:19])[H:18]
10,-0.6596281600526421,-0.6596281600526421,hf,1,gas,hf/6-31g*,11,CC(=O)Nc1ccccc1O,[H:17][c:7]1[c:8]([c:9]([c:10]([c:5]([c:6]1[H:16])[N:4]([H:15])[C:2](=[O:3])[C:1]([H:12])([H:13])[H:14])[O:11][H:20])[H:19])[H:18]
