,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.46037203414015593,RESP2,hf/6-31g*,1.0,0.0,C,hf,1,[H:5][C:1]([H:6])([H:7])[C:2](=[O:3])[O:4][H:8],,
1,0.883529838610714,RESP2,hf/6-31g*,1.0,0.0,C,hf,2,[H:5][C:1]([H:6])([H:7])[C:2](=[O:3])[O:4][H:8],,
2,-0.6207109746544903,RESP2,hf/6-31g*,1.0,0.0,O,hf,3,[H:5][C:1]([H:6])([H:7])[C:2](=[O:3])[O:4][H:8],,
3,-0.6753097486167441,RESP2,hf/6-31g*,1.0,0.0,O,hf,4,[H:5][C:1]([H:6])([H:7])[C:2](=[O:3])[O:4][H:8],,
4,0.14696855331566483,RESP2,hf/6-31g*,1.0,0.0,H,hf,5,[H:5][C:1]([H:6])([H:7])[C:2](=[O:3])[O:4][H:8],,
5,0.12701920792928,RESP2,hf/6-31g*,1.0,0.0,H,hf,6,[H:5][C:1]([H:6])([H:7])[C:2](=[O:3])[O:4][H:8],,
6,0.14697275397037846,RESP2,hf/6-31g*,1.0,0.0,H,hf,7,[H:5][C:1]([H:6])([H:7])[C:2](=[O:3])[O:4][H:8],,
7,0.45190240358535283,RESP2,hf/6-31g*,1.0,0.0,H,hf,8,[H:5][C:1]([H:6])([H:7])[C:2](=[O:3])[O:4][H:8],,
0,-0.46175577124914025,RESP2,hf/6-31g*,1.0,0.05,C,hf,1,[H:5][C:1]([H:6])([H:7])[C:2](=[O:3])[O:4][H:8],,
1,0.8860991942425825,RESP2,hf/6-31g*,1.0,0.05,C,hf,2,[H:5][C:1]([H:6])([H:7])[C:2](=[O:3])[O:4][H:8],,
2,-0.6238919722413493,RESP2,hf/6-31g*,1.0,0.05,O,hf,3,[H:5][C:1]([H:6])([H:7])[C:2](=[O:3])[O:4][H:8],,
3,-0.6767100919491872,RESP2,hf/6-31g*,1.0,0.05,O,hf,4,[H:5][C:1]([H:6])([H:7])[C:2](=[O:3])[O:4][H:8],,
4,0.14776322708606032,RESP2,hf/6-31g*,1.0,0.05,H,hf,5,[H:5][C:1]([H:6])([H:7])[C:2](=[O:3])[O:4][H:8],,
5,0.12728520262384488,RESP2,hf/6-31g*,1.0,0.05,H,hf,6,[H:5][C:1]([H:6])([H:7])[C:2](=[O:3])[O:4][H:8],,
6,0.14776788110019384,RESP2,hf/6-31g*,1.0,0.05,H,hf,7,[H:5][C:1]([H:6])([H:7])[C:2](=[O:3])[O:4][H:8],,
7,0.4534423303869951,RESP2,hf/6-31g*,1.0,0.05,H,hf,8,[H:5][C:1]([H:6])([H:7])[C:2](=[O:3])[O:4][H:8],,
0,-0.4631395083581247,RESP2,hf/6-31g*,1.0,0.1,C,hf,1,[H:5][C:1]([H:6])([H:7])[C:2](=[O:3])[O:4][H:8],,
1,0.8886685498744511,RESP2,hf/6-31g*,1.0,0.1,C,hf,2,[H:5][C:1]([H:6])([H:7])[C:2](=[O:3])[O:4][H:8],,
2,-0.6270729698282083,RESP2,hf/6-31g*,1.0,0.1,O,hf,3,[H:5][C:1]([H:6])([H:7])[C:2](=[O:3])[O:4][H:8],,
