,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.32184408629031136,-0.32184408629031136,hf,1,gas,hf/6-31g*,1,CC(C)CN,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16]
1,0.36878314032382786,0.36878314032382786,hf,1,gas,hf/6-31g*,2,CC(C)CN,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16]
2,-0.34243429512982304,-0.34243429512982304,hf,1,gas,hf/6-31g*,3,CC(C)CN,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16]
3,0.24181075701458238,0.24181075701458238,hf,1,gas,hf/6-31g*,4,CC(C)CN,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16]
4,-0.915867132946012,-0.915867132946012,hf,1,gas,hf/6-31g*,5,CC(C)CN,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16]
5,0.06271216873748622,0.06271216873748622,hf,1,gas,hf/6-31g*,6,CC(C)CN,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16]
6,0.0693931688990409,0.0693931688990409,hf,1,gas,hf/6-31g*,7,CC(C)CN,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16]
7,0.06787044169390131,0.06787044169390131,hf,1,gas,hf/6-31g*,8,CC(C)CN,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16]
8,-0.07302546774200427,-0.07302546774200427,hf,1,gas,hf/6-31g*,9,CC(C)CN,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16]
9,0.06950955742326237,0.06950955742326237,hf,1,gas,hf/6-31g*,10,CC(C)CN,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16]
10,0.0814958106541831,0.0814958106541831,hf,1,gas,hf/6-31g*,11,CC(C)CN,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16]
11,0.0641222684775709,0.0641222684775709,hf,1,gas,hf/6-31g*,12,CC(C)CN,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16]
12,-0.026839732330355623,-0.026839732330355623,hf,1,gas,hf/6-31g*,13,CC(C)CN,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16]
13,-0.016773456728364257,-0.016773456728364257,hf,1,gas,hf/6-31g*,14,CC(C)CN,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16]
14,0.3423554042637552,0.3423554042637552,hf,1,gas,hf/6-31g*,15,CC(C)CN,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16]
15,0.33053071058532,0.33053071058532,hf,1,gas,hf/6-31g*,16,CC(C)CN,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16]
0,-0.3218442781013597,-0.3218442781013597,hf,,gas,hf/6-31g*,1,CC(C)CN,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16]
1,0.36878311153721066,0.36878311153721066,hf,,gas,hf/6-31g*,2,CC(C)CN,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16]
2,-0.34243418015667415,-0.34243418015667415,hf,,gas,hf/6-31g*,3,CC(C)CN,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16]
3,0.24181090931225213,0.24181090931225213,hf,,gas,hf/6-31g*,4,CC(C)CN,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16]
4,-0.9158671671933803,-0.9158671671933803,hf,,gas,hf/6-31g*,5,CC(C)CN,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16]
5,0.06271219220333123,0.06271219220333123,hf,,gas,hf/6-31g*,6,CC(C)CN,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16]
6,0.0693932095157368,0.0693932095157368,hf,,gas,hf/6-31g*,7,CC(C)CN,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16]
7,0.06787050743936893,0.06787050743936893,hf,,gas,hf/6-31g*,8,CC(C)CN,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16]
8,-0.07302542320263035,-0.07302542320263035,hf,,gas,hf/6-31g*,9,CC(C)CN,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16]
9,0.06950953919680716,0.06950953919680716,hf,,gas,hf/6-31g*,10,CC(C)CN,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16]
10,0.08149575841104016,0.08149575841104016,hf,,gas,hf/6-31g*,11,CC(C)CN,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16]
11,0.06412223439084944,0.06412223439084944,hf,,gas,hf/6-31g*,12,CC(C)CN,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16]
12,-0.026839820352503208,-0.026839820352503208,hf,,gas,hf/6-31g*,13,CC(C)CN,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16]
13,-0.016773444169373927,-0.016773444169373927,hf,,gas,hf/6-31g*,14,CC(C)CN,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16]
14,0.34235540183241936,0.34235540183241936,hf,,gas,hf/6-31g*,15,CC(C)CN,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16]
15,0.33053070546045754,0.33053070546045754,hf,,gas,hf/6-31g*,16,CC(C)CN,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16]
0,-0.3195418555462092,-0.3195418555462092,resp2,1,gas,hf/6-31g*,1,CC(C)CN,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16]
1,0.3969471857606132,0.3969471857606132,resp2,1,gas,hf/6-31g*,2,CC(C)CN,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16]
2,-0.3796207595982082,-0.3796207595982082,resp2,1,gas,hf/6-31g*,3,CC(C)CN,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16]
3,0.21976769706809574,0.21976769706809574,resp2,1,gas,hf/6-31g*,4,CC(C)CN,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16]
