,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.3035320518407213,-0.3035320518407213,hf,1,gas,hf/6-31g*,1,CC(C)CO,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[O:5][H:15]
1,0.3196746556913601,0.3196746556913601,hf,1,gas,hf/6-31g*,2,CC(C)CO,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[O:5][H:15]
2,-0.3517743150207304,-0.3517743150207304,hf,1,gas,hf/6-31g*,3,CC(C)CO,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[O:5][H:15]
3,0.16746630699822798,0.16746630699822798,hf,1,gas,hf/6-31g*,4,CC(C)CO,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[O:5][H:15]
4,-0.6217537289863415,-0.6217537289863415,hf,1,gas,hf/6-31g*,5,CC(C)CO,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[O:5][H:15]
5,0.06703996371101557,0.06703996371101557,hf,1,gas,hf/6-31g*,6,CC(C)CO,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[O:5][H:15]
6,0.07044115136601105,0.07044115136601105,hf,1,gas,hf/6-31g*,7,CC(C)CO,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[O:5][H:15]
7,0.06859513240263726,0.06859513240263726,hf,1,gas,hf/6-31g*,8,CC(C)CO,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[O:5][H:15]
8,-0.04038354290668322,-0.04038354290668322,hf,1,gas,hf/6-31g*,9,CC(C)CO,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[O:5][H:15]
9,0.08474832723739563,0.08474832723739563,hf,1,gas,hf/6-31g*,10,CC(C)CO,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[O:5][H:15]
10,0.08181827962275656,0.08181827962275656,hf,1,gas,hf/6-31g*,11,CC(C)CO,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[O:5][H:15]
11,0.07418342355894625,0.07418342355894625,hf,1,gas,hf/6-31g*,12,CC(C)CO,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[O:5][H:15]
12,0.000122158795365655,0.000122158795365655,hf,1,gas,hf/6-31g*,13,CC(C)CO,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[O:5][H:15]
13,-0.013101669848256031,-0.013101669848256031,hf,1,gas,hf/6-31g*,14,CC(C)CO,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[O:5][H:15]
14,0.3976867516571395,0.3976867516571395,hf,1,gas,hf/6-31g*,15,CC(C)CO,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[O:5][H:15]
0,-0.30353219609559845,-0.30353219609559845,hf,,gas,hf/6-31g*,1,CC(C)CO,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[O:5][H:15]
1,0.3196747509161933,0.3196747509161933,hf,,gas,hf/6-31g*,2,CC(C)CO,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[O:5][H:15]
2,-0.3517742359239128,-0.3517742359239128,hf,,gas,hf/6-31g*,3,CC(C)CO,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[O:5][H:15]
3,0.16746639655965775,0.16746639655965775,hf,,gas,hf/6-31g*,4,CC(C)CO,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[O:5][H:15]
4,-0.6217538201715198,-0.6217538201715198,hf,,gas,hf/6-31g*,5,CC(C)CO,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[O:5][H:15]
5,0.06703999732402019,0.06703999732402019,hf,,gas,hf/6-31g*,6,CC(C)CO,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[O:5][H:15]
6,0.07044117585214116,0.07044117585214116,hf,,gas,hf/6-31g*,7,CC(C)CO,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[O:5][H:15]
7,0.06859515452788445,0.06859515452788445,hf,,gas,hf/6-31g*,8,CC(C)CO,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[O:5][H:15]
8,-0.040383544890486636,-0.040383544890486636,hf,,gas,hf/6-31g*,9,CC(C)CO,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[O:5][H:15]
9,0.08474830235198443,0.08474830235198443,hf,,gas,hf/6-31g*,10,CC(C)CO,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[O:5][H:15]
10,0.08181826020042489,0.08181826020042489,hf,,gas,hf/6-31g*,11,CC(C)CO,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[O:5][H:15]
11,0.07418339386991368,0.07418339386991368,hf,,gas,hf/6-31g*,12,CC(C)CO,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[O:5][H:15]
12,0.00012209378026670944,0.00012209378026670944,hf,,gas,hf/6-31g*,13,CC(C)CO,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[O:5][H:15]
13,-0.013101691314241631,-0.013101691314241631,hf,,gas,hf/6-31g*,14,CC(C)CO,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[O:5][H:15]
14,0.3976868055250912,0.3976868055250912,hf,,gas,hf/6-31g*,15,CC(C)CO,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[O:5][H:15]
0,-0.31986567240065433,-0.31986567240065433,resp2,1,gas,hf/6-31g*,1,CC(C)CO,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[O:5][H:15]
1,0.3522644385295121,0.3522644385295121,resp2,1,gas,hf/6-31g*,2,CC(C)CO,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[O:5][H:15]
2,-0.3908875375863076,-0.3908875375863076,resp2,1,gas,hf/6-31g*,3,CC(C)CO,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[O:5][H:15]
3,0.12998748733138554,0.12998748733138554,resp2,1,gas,hf/6-31g*,4,CC(C)CO,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[O:5][H:15]
4,-0.6123166560270088,-0.6123166560270088,resp2,1,gas,hf/6-31g*,5,CC(C)CO,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[O:5][H:15]
5,0.07029893830383695,0.07029893830383695,resp2,1,gas,hf/6-31g*,6,CC(C)CO,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[O:5][H:15]
6,0.07368969193508408,0.07368969193508408,resp2,1,gas,hf/6-31g*,7,CC(C)CO,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[O:5][H:15]
7,0.07157305073324136,0.07157305073324136,resp2,1,gas,hf/6-31g*,8,CC(C)CO,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[O:5][H:15]
8,-0.043722083411767004,-0.043722083411767004,resp2,1,gas,hf/6-31g*,9,CC(C)CO,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[O:5][H:15]
9,0.09391692528183729,0.09391692528183729,resp2,1,gas,hf/6-31g*,10,CC(C)CO,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[O:5][H:15]
