,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.5630191048867648,-0.5630191048867648,hf,1,gas,hf/6-31g*,1,CC(N)=O,[H:5][C:1]([H:6])([H:7])[C:2](=[O:4])[N:3]([H:8])[H:9]
1,0.9768572765384134,0.9768572765384134,hf,1,gas,hf/6-31g*,2,CC(N)=O,[H:5][C:1]([H:6])([H:7])[C:2](=[O:4])[N:3]([H:8])[H:9]
2,-1.0998610797508477,-1.0998610797508477,hf,1,gas,hf/6-31g*,3,CC(N)=O,[H:5][C:1]([H:6])([H:7])[C:2](=[O:4])[N:3]([H:8])[H:9]
3,-0.6482998441702756,-0.6482998441702756,hf,1,gas,hf/6-31g*,4,CC(N)=O,[H:5][C:1]([H:6])([H:7])[C:2](=[O:4])[N:3]([H:8])[H:9]
4,0.14486010628975093,0.14486010628975093,hf,1,gas,hf/6-31g*,5,CC(N)=O,[H:5][C:1]([H:6])([H:7])[C:2](=[O:4])[N:3]([H:8])[H:9]
5,0.1532160786408774,0.1532160786408774,hf,1,gas,hf/6-31g*,6,CC(N)=O,[H:5][C:1]([H:6])([H:7])[C:2](=[O:4])[N:3]([H:8])[H:9]
6,0.15529934341778245,0.15529934341778245,hf,1,gas,hf/6-31g*,7,CC(N)=O,[H:5][C:1]([H:6])([H:7])[C:2](=[O:4])[N:3]([H:8])[H:9]
7,0.43504459483830193,0.43504459483830193,hf,1,gas,hf/6-31g*,8,CC(N)=O,[H:5][C:1]([H:6])([H:7])[C:2](=[O:4])[N:3]([H:8])[H:9]
8,0.446745304457834,0.446745304457834,hf,1,gas,hf/6-31g*,9,CC(N)=O,[H:5][C:1]([H:6])([H:7])[C:2](=[O:4])[N:3]([H:8])[H:9]
0,-0.5630191048837739,-0.5630191048837739,hf,,gas,hf/6-31g*,1,CC(N)=O,[H:5][C:1]([H:6])([H:7])[C:2](=[O:4])[N:3]([H:8])[H:9]
1,0.9768572765367611,0.9768572765367611,hf,,gas,hf/6-31g*,2,CC(N)=O,[H:5][C:1]([H:6])([H:7])[C:2](=[O:4])[N:3]([H:8])[H:9]
2,-1.099861079749785,-1.099861079749785,hf,,gas,hf/6-31g*,3,CC(N)=O,[H:5][C:1]([H:6])([H:7])[C:2](=[O:4])[N:3]([H:8])[H:9]
3,-0.6482998441699326,-0.6482998441699326,hf,,gas,hf/6-31g*,4,CC(N)=O,[H:5][C:1]([H:6])([H:7])[C:2](=[O:4])[N:3]([H:8])[H:9]
4,0.14486010628907667,0.14486010628907667,hf,,gas,hf/6-31g*,5,CC(N)=O,[H:5][C:1]([H:6])([H:7])[C:2](=[O:4])[N:3]([H:8])[H:9]
5,0.15321607864013126,0.15321607864013126,hf,,gas,hf/6-31g*,6,CC(N)=O,[H:5][C:1]([H:6])([H:7])[C:2](=[O:4])[N:3]([H:8])[H:9]
6,0.15529934341702703,0.15529934341702703,hf,,gas,hf/6-31g*,7,CC(N)=O,[H:5][C:1]([H:6])([H:7])[C:2](=[O:4])[N:3]([H:8])[H:9]
7,0.43504459483796215,0.43504459483796215,hf,,gas,hf/6-31g*,8,CC(N)=O,[H:5][C:1]([H:6])([H:7])[C:2](=[O:4])[N:3]([H:8])[H:9]
8,0.44674530445760224,0.44674530445760224,hf,,gas,hf/6-31g*,9,CC(N)=O,[H:5][C:1]([H:6])([H:7])[C:2](=[O:4])[N:3]([H:8])[H:9]
