,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.23847671829868522,-0.23847671829868522,hf,1,gas,hf/6-31g*,1,CC(N)=S,[H:5][C:1]([H:6])([H:7])[C:2](=[S:4])[N:3]([H:8])[H:9]
1,0.3735548138673194,0.3735548138673194,hf,1,gas,hf/6-31g*,2,CC(N)=S,[H:5][C:1]([H:6])([H:7])[C:2](=[S:4])[N:3]([H:8])[H:9]
2,-0.685914534065082,-0.685914534065082,hf,1,gas,hf/6-31g*,3,CC(N)=S,[H:5][C:1]([H:6])([H:7])[C:2](=[S:4])[N:3]([H:8])[H:9]
3,-0.46761712946871065,-0.46761712946871065,hf,1,gas,hf/6-31g*,4,CC(N)=S,[H:5][C:1]([H:6])([H:7])[C:2](=[S:4])[N:3]([H:8])[H:9]
4,0.09644558888818609,0.09644558888818609,hf,1,gas,hf/6-31g*,5,CC(N)=S,[H:5][C:1]([H:6])([H:7])[C:2](=[S:4])[N:3]([H:8])[H:9]
5,0.10590145073481927,0.10590145073481927,hf,1,gas,hf/6-31g*,6,CC(N)=S,[H:5][C:1]([H:6])([H:7])[C:2](=[S:4])[N:3]([H:8])[H:9]
6,0.0917024594348063,0.0917024594348063,hf,1,gas,hf/6-31g*,7,CC(N)=S,[H:5][C:1]([H:6])([H:7])[C:2](=[S:4])[N:3]([H:8])[H:9]
7,0.38114595763069503,0.38114595763069503,hf,1,gas,hf/6-31g*,8,CC(N)=S,[H:5][C:1]([H:6])([H:7])[C:2](=[S:4])[N:3]([H:8])[H:9]
8,0.3437455687808154,0.3437455687808154,hf,1,gas,hf/6-31g*,9,CC(N)=S,[H:5][C:1]([H:6])([H:7])[C:2](=[S:4])[N:3]([H:8])[H:9]
0,-0.23847671829838268,-0.23847671829838268,hf,,gas,hf/6-31g*,1,CC(N)=S,[H:5][C:1]([H:6])([H:7])[C:2](=[S:4])[N:3]([H:8])[H:9]
1,0.37355481386709916,0.37355481386709916,hf,,gas,hf/6-31g*,2,CC(N)=S,[H:5][C:1]([H:6])([H:7])[C:2](=[S:4])[N:3]([H:8])[H:9]
2,-0.6859145340648978,-0.6859145340648978,hf,,gas,hf/6-31g*,3,CC(N)=S,[H:5][C:1]([H:6])([H:7])[C:2](=[S:4])[N:3]([H:8])[H:9]
3,-0.46761712946866885,-0.46761712946866885,hf,,gas,hf/6-31g*,4,CC(N)=S,[H:5][C:1]([H:6])([H:7])[C:2](=[S:4])[N:3]([H:8])[H:9]
4,0.09644558888811498,0.09644558888811498,hf,,gas,hf/6-31g*,5,CC(N)=S,[H:5][C:1]([H:6])([H:7])[C:2](=[S:4])[N:3]([H:8])[H:9]
5,0.10590145073475049,0.10590145073475049,hf,,gas,hf/6-31g*,6,CC(N)=S,[H:5][C:1]([H:6])([H:7])[C:2](=[S:4])[N:3]([H:8])[H:9]
6,0.09170245943473794,0.09170245943473794,hf,,gas,hf/6-31g*,7,CC(N)=S,[H:5][C:1]([H:6])([H:7])[C:2](=[S:4])[N:3]([H:8])[H:9]
7,0.38114595763064024,0.38114595763064024,hf,,gas,hf/6-31g*,8,CC(N)=S,[H:5][C:1]([H:6])([H:7])[C:2](=[S:4])[N:3]([H:8])[H:9]
8,0.3437455687807704,0.3437455687807704,hf,,gas,hf/6-31g*,9,CC(N)=S,[H:5][C:1]([H:6])([H:7])[C:2](=[S:4])[N:3]([H:8])[H:9]
0,-0.2691428933338468,-0.2691428933338468,resp2,1,gas,hf/6-31g*,1,CC(N)=S,[H:5][C:1]([H:6])([H:7])[C:2](=[S:4])[N:3]([H:8])[H:9]
1,0.3357857467764438,0.3357857467764438,resp2,1,gas,hf/6-31g*,2,CC(N)=S,[H:5][C:1]([H:6])([H:7])[C:2](=[S:4])[N:3]([H:8])[H:9]
2,-0.6595269990497873,-0.6595269990497873,resp2,1,gas,hf/6-31g*,3,CC(N)=S,[H:5][C:1]([H:6])([H:7])[C:2](=[S:4])[N:3]([H:8])[H:9]
3,-0.4535992590801413,-0.4535992590801413,resp2,1,gas,hf/6-31g*,4,CC(N)=S,[H:5][C:1]([H:6])([H:7])[C:2](=[S:4])[N:3]([H:8])[H:9]
4,0.1078419763809655,0.1078419763809655,resp2,1,gas,hf/6-31g*,5,CC(N)=S,[H:5][C:1]([H:6])([H:7])[C:2](=[S:4])[N:3]([H:8])[H:9]
5,0.11828006522473652,0.11828006522473652,resp2,1,gas,hf/6-31g*,6,CC(N)=S,[H:5][C:1]([H:6])([H:7])[C:2](=[S:4])[N:3]([H:8])[H:9]
6,0.10371526858609174,0.10371526858609174,resp2,1,gas,hf/6-31g*,7,CC(N)=S,[H:5][C:1]([H:6])([H:7])[C:2](=[S:4])[N:3]([H:8])[H:9]
7,0.3773295851279951,0.3773295851279951,resp2,1,gas,hf/6-31g*,8,CC(N)=S,[H:5][C:1]([H:6])([H:7])[C:2](=[S:4])[N:3]([H:8])[H:9]
8,0.3396055746488684,0.3396055746488684,resp2,1,gas,hf/6-31g*,9,CC(N)=S,[H:5][C:1]([H:6])([H:7])[C:2](=[S:4])[N:3]([H:8])[H:9]
0,-0.2691428933324275,-0.2691428933324275,resp2,,gas,hf/6-31g*,1,CC(N)=S,[H:5][C:1]([H:6])([H:7])[C:2](=[S:4])[N:3]([H:8])[H:9]
1,0.3357857467758699,0.3357857467758699,resp2,,gas,hf/6-31g*,2,CC(N)=S,[H:5][C:1]([H:6])([H:7])[C:2](=[S:4])[N:3]([H:8])[H:9]
2,-0.659526999049458,-0.659526999049458,resp2,,gas,hf/6-31g*,3,CC(N)=S,[H:5][C:1]([H:6])([H:7])[C:2](=[S:4])[N:3]([H:8])[H:9]
3,-0.45359925908007903,-0.45359925908007903,resp2,,gas,hf/6-31g*,4,CC(N)=S,[H:5][C:1]([H:6])([H:7])[C:2](=[S:4])[N:3]([H:8])[H:9]
4,0.10784197638060959,0.10784197638060959,resp2,,gas,hf/6-31g*,5,CC(N)=S,[H:5][C:1]([H:6])([H:7])[C:2](=[S:4])[N:3]([H:8])[H:9]
5,0.11828006522439379,0.11828006522439379,resp2,,gas,hf/6-31g*,6,CC(N)=S,[H:5][C:1]([H:6])([H:7])[C:2](=[S:4])[N:3]([H:8])[H:9]
6,0.10371526858573364,0.10371526858573364,resp2,,gas,hf/6-31g*,7,CC(N)=S,[H:5][C:1]([H:6])([H:7])[C:2](=[S:4])[N:3]([H:8])[H:9]
7,0.3773295851278687,0.3773295851278687,resp2,,gas,hf/6-31g*,8,CC(N)=S,[H:5][C:1]([H:6])([H:7])[C:2](=[S:4])[N:3]([H:8])[H:9]
8,0.33960557464881386,0.33960557464881386,resp2,,gas,hf/6-31g*,9,CC(N)=S,[H:5][C:1]([H:6])([H:7])[C:2](=[S:4])[N:3]([H:8])[H:9]
0,-0.2817794586418828,-0.2817794586418828,hf,1,water,hf/6-31g*,1,CC(N)=S,[H:5][C:1]([H:6])([H:7])[C:2](=[S:4])[N:3]([H:8])[H:9]
1,0.45625118798300907,0.45625118798300907,hf,1,water,hf/6-31g*,2,CC(N)=S,[H:5][C:1]([H:6])([H:7])[C:2](=[S:4])[N:3]([H:8])[H:9]
2,-0.6713589482851624,-0.6713589482851624,hf,1,water,hf/6-31g*,3,CC(N)=S,[H:5][C:1]([H:6])([H:7])[C:2](=[S:4])[N:3]([H:8])[H:9]
