,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.40134900002208085,-0.40134900002208085,hf,1,gas,hf/6-31g*,1,CC(O)C(F)(F)F,[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([C:4]([F:5])([F:6])[F:7])[O:3][H:12]
1,0.31835753079321416,0.31835753079321416,hf,1,gas,hf/6-31g*,2,CC(O)C(F)(F)F,[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([C:4]([F:5])([F:6])[F:7])[O:3][H:12]
2,-0.5894755261554243,-0.5894755261554243,hf,1,gas,hf/6-31g*,3,CC(O)C(F)(F)F,[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([C:4]([F:5])([F:6])[F:7])[O:3][H:12]
3,0.4723487991899155,0.4723487991899155,hf,1,gas,hf/6-31g*,4,CC(O)C(F)(F)F,[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([C:4]([F:5])([F:6])[F:7])[O:3][H:12]
4,-0.1977409504163352,-0.1977409504163352,hf,1,gas,hf/6-31g*,5,CC(O)C(F)(F)F,[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([C:4]([F:5])([F:6])[F:7])[O:3][H:12]
5,-0.18117540120885875,-0.18117540120885875,hf,1,gas,hf/6-31g*,6,CC(O)C(F)(F)F,[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([C:4]([F:5])([F:6])[F:7])[O:3][H:12]
6,-0.19438416947763265,-0.19438416947763265,hf,1,gas,hf/6-31g*,7,CC(O)C(F)(F)F,[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([C:4]([F:5])([F:6])[F:7])[O:3][H:12]
7,0.11625630651088864,0.11625630651088864,hf,1,gas,hf/6-31g*,8,CC(O)C(F)(F)F,[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([C:4]([F:5])([F:6])[F:7])[O:3][H:12]
8,0.12108444343156614,0.12108444343156614,hf,1,gas,hf/6-31g*,9,CC(O)C(F)(F)F,[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([C:4]([F:5])([F:6])[F:7])[O:3][H:12]
9,0.12650322927343197,0.12650322927343197,hf,1,gas,hf/6-31g*,10,CC(O)C(F)(F)F,[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([C:4]([F:5])([F:6])[F:7])[O:3][H:12]
10,0.029320475015062273,0.029320475015062273,hf,1,gas,hf/6-31g*,11,CC(O)C(F)(F)F,[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([C:4]([F:5])([F:6])[F:7])[O:3][H:12]
11,0.3807288506951362,0.3807288506951362,hf,1,gas,hf/6-31g*,12,CC(O)C(F)(F)F,[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([C:4]([F:5])([F:6])[F:7])[O:3][H:12]
0,-0.4013492954196697,-0.4013492954196697,hf,,gas,hf/6-31g*,1,CC(O)C(F)(F)F,[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([C:4]([F:5])([F:6])[F:7])[O:3][H:12]
1,0.3183574969100886,0.3183574969100886,hf,,gas,hf/6-31g*,2,CC(O)C(F)(F)F,[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([C:4]([F:5])([F:6])[F:7])[O:3][H:12]
