,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.34289058742779555,-0.34289058742779555,hf,1,gas,hf/6-31g*,1,CC=O,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6]
1,0.6162438290135459,0.6162438290135459,hf,1,gas,hf/6-31g*,2,CC=O,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6]
2,-0.5300542476045773,-0.5300542476045773,hf,1,gas,hf/6-31g*,3,CC=O,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6]
3,0.09213582252616886,0.09213582252616886,hf,1,gas,hf/6-31g*,4,CC=O,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6]
4,0.09212456360784646,0.09212456360784646,hf,1,gas,hf/6-31g*,5,CC=O,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6]
5,0.11271649677722828,0.11271649677722828,hf,1,gas,hf/6-31g*,6,CC=O,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6]
6,-0.03985920855509292,-0.03985920855509292,hf,1,gas,hf/6-31g*,7,CC=O,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6]
0,-0.3668654064297316,-0.3668654064297316,resp2,1,gas,hf/6-31g*,1,CC=O,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6]
1,0.6152238711328133,0.6152238711328133,resp2,1,gas,hf/6-31g*,2,CC=O,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6]
2,-0.5291659829192332,-0.5291659829192332,resp2,1,gas,hf/6-31g*,3,CC=O,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6]
3,0.09872267725227073,0.09872267725227073,resp2,1,gas,hf/6-31g*,4,CC=O,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6]
4,0.09874891742805596,0.09874891742805596,resp2,1,gas,hf/6-31g*,5,CC=O,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6]
5,0.1200774087905554,0.1200774087905554,resp2,1,gas,hf/6-31g*,6,CC=O,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6]
6,-0.03627763554821356,-0.03627763554821356,resp2,1,gas,hf/6-31g*,7,CC=O,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6]
0,-0.3428905874289832,-0.3428905874289832,hf,,gas,hf/6-31g*,1,CC=O,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6]
1,0.6162438290140445,0.6162438290140445,hf,,gas,hf/6-31g*,2,CC=O,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6]
2,-0.5300542476046862,-0.5300542476046862,hf,,gas,hf/6-31g*,3,CC=O,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6]
3,0.09213582252646221,0.09213582252646221,hf,,gas,hf/6-31g*,4,CC=O,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6]
4,0.0921245636081427,0.0921245636081427,hf,,gas,hf/6-31g*,5,CC=O,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6]
5,0.1127164967775377,0.1127164967775377,hf,,gas,hf/6-31g*,6,CC=O,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6]
6,-0.039859208555191095,-0.039859208555191095,hf,,gas,hf/6-31g*,7,CC=O,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6]
0,-0.3668654064292223,-0.3668654064292223,resp2,,gas,hf/6-31g*,1,CC=O,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6]
1,0.615223871132496,0.615223871132496,resp2,,gas,hf/6-31g*,2,CC=O,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6]
2,-0.5291659829191429,-0.5291659829191429,resp2,,gas,hf/6-31g*,3,CC=O,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6]
3,0.09872267725215482,0.09872267725215482,resp2,,gas,hf/6-31g*,4,CC=O,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6]
4,0.0987489174279423,0.0987489174279423,resp2,,gas,hf/6-31g*,5,CC=O,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6]
5,0.12007740879042766,0.12007740879042766,resp2,,gas,hf/6-31g*,6,CC=O,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6]
6,-0.03627763554813834,-0.03627763554813834,resp2,,gas,hf/6-31g*,7,CC=O,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6]
0,-0.3513138855481597,-0.3513138855481597,hf,1,water,hf/6-31g*,1,CC=O,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6]
1,0.6644288985428627,0.6644288985428627,hf,1,water,hf/6-31g*,2,CC=O,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6]
2,-0.6144739888888169,-0.6144739888888169,hf,1,water,hf/6-31g*,3,CC=O,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6]
3,0.10820169268792161,0.10820169268792161,hf,1,water,hf/6-31g*,4,CC=O,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6]
4,0.1081719565805129,0.1081719565805129,hf,1,water,hf/6-31g*,5,CC=O,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6]
5,0.10580087072206108,0.10580087072206108,hf,1,water,hf/6-31g*,6,CC=O,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6]
6,-0.020500475135174917,-0.020500475135174917,hf,1,water,hf/6-31g*,7,CC=O,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6]
0,-0.3690785544713171,-0.3690785544713171,resp2,1,water,hf/6-31g*,1,CC=O,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6]
1,0.6603312136536604,0.6603312136536604,resp2,1,water,hf/6-31g*,2,CC=O,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6]
