,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.3429501114759846,RESP2,hf/6-31g*,1.0,0.0,C,hf,1,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6],,
1,0.6161843049653568,RESP2,hf/6-31g*,1.0,0.0,C,hf,2,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6],,
2,-0.5301137716527664,RESP2,hf/6-31g*,1.0,0.0,O,hf,3,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6],,
3,0.0920762984779797,RESP2,hf/6-31g*,1.0,0.0,H,hf,4,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6],,
4,0.0920650395596573,RESP2,hf/6-31g*,1.0,0.0,H,hf,5,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6],,
5,0.1126569727290391,RESP2,hf/6-31g*,1.0,0.0,H,hf,6,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6],,
6,-0.039918732603282,RESP2,hf/6-31g*,1.0,0.0,H,hf,7,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6],,
0,-0.3433705506721735,RESP2,hf/6-31g*,1.0,0.05,C,hf,1,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6],,
1,0.6185942841516521,RESP2,hf/6-31g*,1.0,0.05,C,hf,2,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6],,
2,-0.5343340330071489,RESP2,hf/6-31g*,1.0,0.05,O,hf,3,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6],,
3,0.0928803176958968,RESP2,hf/6-31g*,1.0,0.05,H,hf,4,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6],,
4,0.09286813491812,RESP2,hf/6-31g*,1.0,0.05,H,hf,5,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6],,
5,0.1123119171361102,RESP2,hf/6-31g*,1.0,0.05,H,hf,6,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6],,
6,-0.0389500702224567,RESP2,hf/6-31g*,1.0,0.05,H,hf,7,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6],,
0,-0.3437909898683622,RESP2,hf/6-31g*,1.0,0.1,C,hf,1,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6],,
1,0.6210042633379473,RESP2,hf/6-31g*,1.0,0.1,C,hf,2,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6],,
2,-0.5385542943615316,RESP2,hf/6-31g*,1.0,0.1,O,hf,3,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6],,
3,0.0936843369138138,RESP2,hf/6-31g*,1.0,0.1,H,hf,4,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6],,
4,0.0936712302765828,RESP2,hf/6-31g*,1.0,0.1,H,hf,5,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6],,
5,0.1119668615431812,RESP2,hf/6-31g*,1.0,0.1,H,hf,6,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6],,
6,-0.0379814078416314,RESP2,hf/6-31g*,1.0,0.1,H,hf,7,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6],,
0,-0.3442114290645511,RESP2,hf/6-31g*,1.0,0.15,C,hf,1,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6],,
1,0.6234142425242426,RESP2,hf/6-31g*,1.0,0.15,C,hf,2,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6],,
2,-0.542774555715914,RESP2,hf/6-31g*,1.0,0.15,O,hf,3,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6],,
3,0.0944883561317308,RESP2,hf/6-31g*,1.0,0.15,H,hf,4,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6],,
4,0.0944743256350455,RESP2,hf/6-31g*,1.0,0.15,H,hf,5,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6],,
5,0.1116218059502523,RESP2,hf/6-31g*,1.0,0.15,H,hf,6,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6],,
6,-0.0370127454608061,RESP2,hf/6-31g*,1.0,0.15,H,hf,7,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6],,
0,-0.3446318682607398,RESP2,hf/6-31g*,1.0,0.2,C,hf,1,[H:7][C:2](=[O:3])[C:1]([H:4])([H:5])[H:6],,
