,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.09330876237373034,-0.09330876237373034,hf,1,gas,hf/6-31g*,1,CCC(C)=O,[H:11][C:4]([H:12])([H:13])[C:3](=[O:5])[C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8]
1,-0.05623184805937885,-0.05623184805937885,hf,1,gas,hf/6-31g*,2,CCC(C)=O,[H:11][C:4]([H:12])([H:13])[C:3](=[O:5])[C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8]
2,0.6619911562953187,0.6619911562953187,hf,1,gas,hf/6-31g*,3,CCC(C)=O,[H:11][C:4]([H:12])([H:13])[C:3](=[O:5])[C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8]
3,-0.45947234621512895,-0.45947234621512895,hf,1,gas,hf/6-31g*,4,CCC(C)=O,[H:11][C:4]([H:12])([H:13])[C:3](=[O:5])[C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8]
4,-0.5504787845404711,-0.5504787845404711,hf,1,gas,hf/6-31g*,5,CCC(C)=O,[H:11][C:4]([H:12])([H:13])[C:3](=[O:5])[C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8]
5,0.030219966988489114,0.030219966988489114,hf,1,gas,hf/6-31g*,6,CCC(C)=O,[H:11][C:4]([H:12])([H:13])[C:3](=[O:5])[C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8]
6,0.037277918697307434,0.037277918697307434,hf,1,gas,hf/6-31g*,7,CCC(C)=O,[H:11][C:4]([H:12])([H:13])[C:3](=[O:5])[C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8]
7,0.030402587022596027,0.030402587022596027,hf,1,gas,hf/6-31g*,8,CCC(C)=O,[H:11][C:4]([H:12])([H:13])[C:3](=[O:5])[C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8]
8,0.01985445662601143,0.01985445662601143,hf,1,gas,hf/6-31g*,9,CCC(C)=O,[H:11][C:4]([H:12])([H:13])[C:3](=[O:5])[C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8]
9,0.0160293536562258,0.0160293536562258,hf,1,gas,hf/6-31g*,10,CCC(C)=O,[H:11][C:4]([H:12])([H:13])[C:3](=[O:5])[C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8]
10,0.12103922919049188,0.12103922919049188,hf,1,gas,hf/6-31g*,11,CCC(C)=O,[H:11][C:4]([H:12])([H:13])[C:3](=[O:5])[C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8]
11,0.12329645104384612,0.12329645104384612,hf,1,gas,hf/6-31g*,12,CCC(C)=O,[H:11][C:4]([H:12])([H:13])[C:3](=[O:5])[C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8]
12,0.11971898227523689,0.11971898227523689,hf,1,gas,hf/6-31g*,13,CCC(C)=O,[H:11][C:4]([H:12])([H:13])[C:3](=[O:5])[C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8]
0,-0.09330912752863109,-0.09330912752863109,hf,,gas,hf/6-31g*,1,CCC(C)=O,[H:11][C:4]([H:12])([H:13])[C:3](=[O:5])[C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8]
1,-0.05623193270056342,-0.05623193270056342,hf,,gas,hf/6-31g*,2,CCC(C)=O,[H:11][C:4]([H:12])([H:13])[C:3](=[O:5])[C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8]
2,0.661991713770773,0.661991713770773,hf,,gas,hf/6-31g*,3,CCC(C)=O,[H:11][C:4]([H:12])([H:13])[C:3](=[O:5])[C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8]
3,-0.459473083978025,-0.459473083978025,hf,,gas,hf/6-31g*,4,CCC(C)=O,[H:11][C:4]([H:12])([H:13])[C:3](=[O:5])[C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8]
4,-0.5504788973528658,-0.5504788973528658,hf,,gas,hf/6-31g*,5,CCC(C)=O,[H:11][C:4]([H:12])([H:13])[C:3](=[O:5])[C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8]
5,0.03022008685454174,0.03022008685454174,hf,,gas,hf/6-31g*,6,CCC(C)=O,[H:11][C:4]([H:12])([H:13])[C:3](=[O:5])[C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8]
6,0.03727797617346573,0.03727797617346573,hf,,gas,hf/6-31g*,7,CCC(C)=O,[H:11][C:4]([H:12])([H:13])[C:3](=[O:5])[C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8]
7,0.030402686850857126,0.030402686850857126,hf,,gas,hf/6-31g*,8,CCC(C)=O,[H:11][C:4]([H:12])([H:13])[C:3](=[O:5])[C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8]
8,0.019854432769838587,0.019854432769838587,hf,,gas,hf/6-31g*,9,CCC(C)=O,[H:11][C:4]([H:12])([H:13])[C:3](=[O:5])[C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8]
9,0.016029361702394284,0.016029361702394284,hf,,gas,hf/6-31g*,10,CCC(C)=O,[H:11][C:4]([H:12])([H:13])[C:3](=[O:5])[C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8]
10,0.1210393782237503,0.1210393782237503,hf,,gas,hf/6-31g*,11,CCC(C)=O,[H:11][C:4]([H:12])([H:13])[C:3](=[O:5])[C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8]
11,0.12329661505025885,0.12329661505025885,hf,,gas,hf/6-31g*,12,CCC(C)=O,[H:11][C:4]([H:12])([H:13])[C:3](=[O:5])[C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8]
