,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.20493689993636993,-0.20493689993636993,hf,1,gas,hf/6-31g*,1,CCC=O,[H:10][C:3](=[O:4])[C:2]([H:8])([H:9])[C:1]([H:5])([H:6])[H:7]
1,0.11123834268568969,0.11123834268568969,hf,1,gas,hf/6-31g*,2,CCC=O,[H:10][C:3](=[O:4])[C:2]([H:8])([H:9])[C:1]([H:5])([H:6])[H:7]
2,0.4739665664698215,0.4739665664698215,hf,1,gas,hf/6-31g*,3,CCC=O,[H:10][C:3](=[O:4])[C:2]([H:8])([H:9])[C:1]([H:5])([H:6])[H:7]
3,-0.4993584090415082,-0.4993584090415082,hf,1,gas,hf/6-31g*,4,CCC=O,[H:10][C:3](=[O:4])[C:2]([H:8])([H:9])[C:1]([H:5])([H:6])[H:7]
4,0.05825405889361138,0.05825405889361138,hf,1,gas,hf/6-31g*,5,CCC=O,[H:10][C:3](=[O:4])[C:2]([H:8])([H:9])[C:1]([H:5])([H:6])[H:7]
5,0.053553327930259846,0.053553327930259846,hf,1,gas,hf/6-31g*,6,CCC=O,[H:10][C:3](=[O:4])[C:2]([H:8])([H:9])[C:1]([H:5])([H:6])[H:7]
6,0.056925014333175816,0.056925014333175816,hf,1,gas,hf/6-31g*,7,CCC=O,[H:10][C:3](=[O:4])[C:2]([H:8])([H:9])[C:1]([H:5])([H:6])[H:7]
7,-0.010107088678397158,-0.010107088678397158,hf,1,gas,hf/6-31g*,8,CCC=O,[H:10][C:3](=[O:4])[C:2]([H:8])([H:9])[C:1]([H:5])([H:6])[H:7]
8,-0.00987915073255708,-0.00987915073255708,hf,1,gas,hf/6-31g*,9,CCC=O,[H:10][C:3](=[O:4])[C:2]([H:8])([H:9])[C:1]([H:5])([H:6])[H:7]
9,-0.02948296703402556,-0.02948296703402556,hf,1,gas,hf/6-31g*,10,CCC=O,[H:10][C:3](=[O:4])[C:2]([H:8])([H:9])[C:1]([H:5])([H:6])[H:7]
0,-0.20493696726551106,-0.20493696726551106,hf,,gas,hf/6-31g*,1,CCC=O,[H:10][C:3](=[O:4])[C:2]([H:8])([H:9])[C:1]([H:5])([H:6])[H:7]
1,0.111238301378013,0.111238301378013,hf,,gas,hf/6-31g*,2,CCC=O,[H:10][C:3](=[O:4])[C:2]([H:8])([H:9])[C:1]([H:5])([H:6])[H:7]
