,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.2637509185074334,-0.2637509185074334,hf,1,gas,hf/6-31g*,1,CCCC#N,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]#[N:5]
1,0.24023912175291512,0.24023912175291512,hf,1,gas,hf/6-31g*,2,CCCC#N,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]#[N:5]
2,-0.21105800020565316,-0.21105800020565316,hf,1,gas,hf/6-31g*,3,CCCC#N,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]#[N:5]
3,0.38537206833192256,0.38537206833192256,hf,1,gas,hf/6-31g*,4,CCCC#N,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]#[N:5]
4,-0.5009587812962959,-0.5009587812962959,hf,1,gas,hf/6-31g*,5,CCCC#N,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]#[N:5]
5,0.07060954838044448,0.07060954838044448,hf,1,gas,hf/6-31g*,6,CCCC#N,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]#[N:5]
6,0.06691966225664647,0.06691966225664647,hf,1,gas,hf/6-31g*,7,CCCC#N,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]#[N:5]
7,0.06669483193222439,0.06669483193222439,hf,1,gas,hf/6-31g*,8,CCCC#N,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]#[N:5]
8,-0.022043634678176077,-0.022043634678176077,hf,1,gas,hf/6-31g*,9,CCCC#N,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]#[N:5]
9,-0.023298521068715335,-0.023298521068715335,hf,1,gas,hf/6-31g*,10,CCCC#N,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]#[N:5]
10,0.09560463889380964,0.09560463889380964,hf,1,gas,hf/6-31g*,11,CCCC#N,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]#[N:5]
11,0.09656599670560242,0.09656599670560242,hf,1,gas,hf/6-31g*,12,CCCC#N,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]#[N:5]
0,-0.26375090909725785,-0.26375090909725785,hf,,gas,hf/6-31g*,1,CCCC#N,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]#[N:5]
1,0.24023912859645805,0.24023912859645805,hf,,gas,hf/6-31g*,2,CCCC#N,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]#[N:5]
