,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.2870579915259802,RESP2,hf/6-31g*,1.0,0.0,C,hf,1,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[C:3]([H:12])([H:13])[C:4](=[O:5])[O:6][H:14],,
1,0.26854062704168463,RESP2,hf/6-31g*,1.0,0.0,C,hf,2,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[C:3]([H:12])([H:13])[C:4](=[O:5])[O:6][H:14],,
2,-0.249964170985094,RESP2,hf/6-31g*,1.0,0.0,C,hf,3,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[C:3]([H:12])([H:13])[C:4](=[O:5])[O:6][H:14],,
3,0.8055534014906595,RESP2,hf/6-31g*,1.0,0.0,C,hf,4,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[C:3]([H:12])([H:13])[C:4](=[O:5])[O:6][H:14],,
4,-0.6141691232735584,RESP2,hf/6-31g*,1.0,0.0,O,hf,5,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[C:3]([H:12])([H:13])[C:4](=[O:5])[O:6][H:14],,
5,-0.6583933246042628,RESP2,hf/6-31g*,1.0,0.0,O,hf,6,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[C:3]([H:12])([H:13])[C:4](=[O:5])[O:6][H:14],,
6,0.07218297067242622,RESP2,hf/6-31g*,1.0,0.0,H,hf,7,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[C:3]([H:12])([H:13])[C:4](=[O:5])[O:6][H:14],,
7,0.06579947921062668,RESP2,hf/6-31g*,1.0,0.0,H,hf,8,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[C:3]([H:12])([H:13])[C:4](=[O:5])[O:6][H:14],,
8,0.06694151879075569,RESP2,hf/6-31g*,1.0,0.0,H,hf,9,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[C:3]([H:12])([H:13])[C:4](=[O:5])[O:6][H:14],,
9,-0.03659002877704057,RESP2,hf/6-31g*,1.0,0.0,H,hf,10,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[C:3]([H:12])([H:13])[C:4](=[O:5])[O:6][H:14],,
