,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.224465269786975,RESP2,hf/6-31g*,1.0,0.0,C,hf,1,[H:17][C:6]([H:18])([H:19])[C:5](=[O:7])[C:4]([H:15])([H:16])[C:3]([H:13])([H:14])[C:2]([H:11])([H:12])[C:1]([H:8])([H:9])[H:10],,
1,0.13533341548715389,RESP2,hf/6-31g*,1.0,0.0,C,hf,2,[H:17][C:6]([H:18])([H:19])[C:5](=[O:7])[C:4]([H:15])([H:16])[C:3]([H:13])([H:14])[C:2]([H:11])([H:12])[C:1]([H:8])([H:9])[H:10],,
2,0.02403270997323143,RESP2,hf/6-31g*,1.0,0.0,C,hf,3,[H:17][C:6]([H:18])([H:19])[C:5](=[O:7])[C:4]([H:15])([H:16])[C:3]([H:13])([H:14])[C:2]([H:11])([H:12])[C:1]([H:8])([H:9])[H:10],,
3,-0.25239926468759766,RESP2,hf/6-31g*,1.0,0.0,C,hf,4,[H:17][C:6]([H:18])([H:19])[C:5](=[O:7])[C:4]([H:15])([H:16])[C:3]([H:13])([H:14])[C:2]([H:11])([H:12])[C:1]([H:8])([H:9])[H:10],,
4,0.7212029547481482,RESP2,hf/6-31g*,1.0,0.0,C,hf,5,[H:17][C:6]([H:18])([H:19])[C:5](=[O:7])[C:4]([H:15])([H:16])[C:3]([H:13])([H:14])[C:2]([H:11])([H:12])[C:1]([H:8])([H:9])[H:10],,
5,-0.5075980913228679,RESP2,hf/6-31g*,1.0,0.0,C,hf,6,[H:17][C:6]([H:18])([H:19])[C:5](=[O:7])[C:4]([H:15])([H:16])[C:3]([H:13])([H:14])[C:2]([H:11])([H:12])[C:1]([H:8])([H:9])[H:10],,
6,-0.5468091752348858,RESP2,hf/6-31g*,1.0,0.0,O,hf,7,[H:17][C:6]([H:18])([H:19])[C:5](=[O:7])[C:4]([H:15])([H:16])[C:3]([H:13])([H:14])[C:2]([H:11])([H:12])[C:1]([H:8])([H:9])[H:10],,
7,0.055531866217353926,RESP2,hf/6-31g*,1.0,0.0,H,hf,8,[H:17][C:6]([H:18])([H:19])[C:5](=[O:7])[C:4]([H:15])([H:16])[C:3]([H:13])([H:14])[C:2]([H:11])([H:12])[C:1]([H:8])([H:9])[H:10],,
8,0.054855460221512414,RESP2,hf/6-31g*,1.0,0.0,H,hf,9,[H:17][C:6]([H:18])([H:19])[C:5](=[O:7])[C:4]([H:15])([H:16])[C:3]([H:13])([H:14])[C:2]([H:11])([H:12])[C:1]([H:8])([H:9])[H:10],,
9,0.04661756702385466,RESP2,hf/6-31g*,1.0,0.0,H,hf,10,[H:17][C:6]([H:18])([H:19])[C:5](=[O:7])[C:4]([H:15])([H:16])[C:3]([H:13])([H:14])[C:2]([H:11])([H:12])[C:1]([H:8])([H:9])[H:10],,
10,-0.02156544943369724,RESP2,hf/6-31g*,1.0,0.0,H,hf,11,[H:17][C:6]([H:18])([H:19])[C:5](=[O:7])[C:4]([H:15])([H:16])[C:3]([H:13])([H:14])[C:2]([H:11])([H:12])[C:1]([H:8])([H:9])[H:10],,
11,-0.01949477516186563,RESP2,hf/6-31g*,1.0,0.0,H,hf,12,[H:17][C:6]([H:18])([H:19])[C:5](=[O:7])[C:4]([H:15])([H:16])[C:3]([H:13])([H:14])[C:2]([H:11])([H:12])[C:1]([H:8])([H:9])[H:10],,
