,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.2932720388316839,RESP2,hf/6-31g*,1.0,0.0,C,hf,1,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16],,
1,0.2989252403180476,RESP2,hf/6-31g*,1.0,0.0,C,hf,2,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16],,
2,-0.14776394977870655,RESP2,hf/6-31g*,1.0,0.0,C,hf,3,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16],,
3,0.41700192778491035,RESP2,hf/6-31g*,1.0,0.0,C,hf,4,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16],,
4,-0.9200490356750276,RESP2,hf/6-31g*,1.0,0.0,N,hf,5,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16],,
5,0.05749895982263177,RESP2,hf/6-31g*,1.0,0.0,H,hf,6,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16],,
6,0.06053053598776123,RESP2,hf/6-31g*,1.0,0.0,H,hf,7,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16],,
7,0.06802416231291583,RESP2,hf/6-31g*,1.0,0.0,H,hf,8,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16],,
8,-0.06121453953677218,RESP2,hf/6-31g*,1.0,0.0,H,hf,9,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16],,
9,-0.06254258828211344,RESP2,hf/6-31g*,1.0,0.0,H,hf,10,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16],,
10,0.012251788145735559,RESP2,hf/6-31g*,1.0,0.0,H,hf,11,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16],,
11,0.014484039880845994,RESP2,hf/6-31g*,1.0,0.0,H,hf,12,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16],,
12,-0.052751276506116926,RESP2,hf/6-31g*,1.0,0.0,H,hf,13,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16],,
13,-0.05388495406401077,RESP2,hf/6-31g*,1.0,0.0,H,hf,14,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16],,
14,0.3310363415449127,RESP2,hf/6-31g*,1.0,0.0,H,hf,15,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16],,
15,0.33172538687667047,RESP2,hf/6-31g*,1.0,0.0,H,hf,16,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16],,
0,-0.29343131054526617,RESP2,hf/6-31g*,1.0,0.05,C,hf,1,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16],,
1,0.2996949581063132,RESP2,hf/6-31g*,1.0,0.05,C,hf,2,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16],,
2,-0.14830763235600353,RESP2,hf/6-31g*,1.0,0.05,C,hf,3,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16],,
3,0.41932456980038435,RESP2,hf/6-31g*,1.0,0.05,C,hf,4,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16],,
4,-0.927266433258939,RESP2,hf/6-31g*,1.0,0.05,N,hf,5,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16],,
5,0.057546511123865794,RESP2,hf/6-31g*,1.0,0.05,H,hf,6,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16],,
6,0.060617213770767904,RESP2,hf/6-31g*,1.0,0.05,H,hf,7,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16],,
7,0.0678833434979117,RESP2,hf/6-31g*,1.0,0.05,H,hf,8,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16],,
8,-0.06150785513284766,RESP2,hf/6-31g*,1.0,0.05,H,hf,9,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16],,
9,-0.062744611021088,RESP2,hf/6-31g*,1.0,0.05,H,hf,10,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16],,
10,0.012526715558822043,RESP2,hf/6-31g*,1.0,0.05,H,hf,11,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16],,
11,0.014587605590557584,RESP2,hf/6-31g*,1.0,0.05,H,hf,12,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16],,
12,-0.05273348284612142,RESP2,hf/6-31g*,1.0,0.05,H,hf,13,[H:6][C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[N:5]([H:15])[H:16],,
