,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.22049988806635307,-0.22049988806635307,hf,1,gas,hf/6-31g*,1,CCCC[N+](=O)[O-],[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([H:12])[C:3]([H:13])([H:14])[C:4]([H:15])([H:16])[N+:5](=[O:6])[O-:7]
1,0.12654739083987887,0.12654739083987887,hf,1,gas,hf/6-31g*,2,CCCC[N+](=O)[O-],[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([H:12])[C:3]([H:13])([H:14])[C:4]([H:15])([H:16])[N+:5](=[O:6])[O-:7]
2,-0.019386077892898493,-0.019386077892898493,hf,1,gas,hf/6-31g*,3,CCCC[N+](=O)[O-],[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([H:12])[C:3]([H:13])([H:14])[C:4]([H:15])([H:16])[N+:5](=[O:6])[O-:7]
3,-0.13498351757847582,-0.13498351757847582,hf,1,gas,hf/6-31g*,4,CCCC[N+](=O)[O-],[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([H:12])[C:3]([H:13])([H:14])[C:4]([H:15])([H:16])[N+:5](=[O:6])[O-:7]
4,0.7954076167168048,0.7954076167168048,hf,1,gas,hf/6-31g*,5,CCCC[N+](=O)[O-],[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([H:12])[C:3]([H:13])([H:14])[C:4]([H:15])([H:16])[N+:5](=[O:6])[O-:7]
5,-0.47562661678450946,-0.47562661678450946,hf,1,gas,hf/6-31g*,6,CCCC[N+](=O)[O-],[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([H:12])[C:3]([H:13])([H:14])[C:4]([H:15])([H:16])[N+:5](=[O:6])[O-:7]
6,-0.47563182798286974,-0.47563182798286974,hf,1,gas,hf/6-31g*,7,CCCC[N+](=O)[O-],[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([H:12])[C:3]([H:13])([H:14])[C:4]([H:15])([H:16])[N+:5](=[O:6])[O-:7]
7,0.054779264736323066,0.054779264736323066,hf,1,gas,hf/6-31g*,8,CCCC[N+](=O)[O-],[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([H:12])[C:3]([H:13])([H:14])[C:4]([H:15])([H:16])[N+:5](=[O:6])[O-:7]
8,0.060156164080838535,0.060156164080838535,hf,1,gas,hf/6-31g*,9,CCCC[N+](=O)[O-],[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([H:12])[C:3]([H:13])([H:14])[C:4]([H:15])([H:16])[N+:5](=[O:6])[O-:7]
9,0.057581450204049575,0.057581450204049575,hf,1,gas,hf/6-31g*,10,CCCC[N+](=O)[O-],[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([H:12])[C:3]([H:13])([H:14])[C:4]([H:15])([H:16])[N+:5](=[O:6])[O-:7]
10,-0.009032745699017816,-0.009032745699017816,hf,1,gas,hf/6-31g*,11,CCCC[N+](=O)[O-],[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([H:12])[C:3]([H:13])([H:14])[C:4]([H:15])([H:16])[N+:5](=[O:6])[O-:7]
11,-0.00818533734237647,-0.00818533734237647,hf,1,gas,hf/6-31g*,12,CCCC[N+](=O)[O-],[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([H:12])[C:3]([H:13])([H:14])[C:4]([H:15])([H:16])[N+:5](=[O:6])[O-:7]
12,0.03378862764294155,0.03378862764294155,hf,1,gas,hf/6-31g*,13,CCCC[N+](=O)[O-],[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([H:12])[C:3]([H:13])([H:14])[C:4]([H:15])([H:16])[N+:5](=[O:6])[O-:7]
13,0.03658179345601325,0.03658179345601325,hf,1,gas,hf/6-31g*,14,CCCC[N+](=O)[O-],[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([H:12])[C:3]([H:13])([H:14])[C:4]([H:15])([H:16])[N+:5](=[O:6])[O-:7]
14,0.09029484350829659,0.09029484350829659,hf,1,gas,hf/6-31g*,15,CCCC[N+](=O)[O-],[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([H:12])[C:3]([H:13])([H:14])[C:4]([H:15])([H:16])[N+:5](=[O:6])[O-:7]
15,0.08866113095882179,0.08866113095882179,hf,1,gas,hf/6-31g*,16,CCCC[N+](=O)[O-],[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([H:12])[C:3]([H:13])([H:14])[C:4]([H:15])([H:16])[N+:5](=[O:6])[O-:7]
0,-0.22050007677482086,-0.22050007677482086,hf,,gas,hf/6-31g*,1,CCCC[N+](=O)[O-],[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([H:12])[C:3]([H:13])([H:14])[C:4]([H:15])([H:16])[N+:5](=[O:6])[O-:7]
1,0.12654746305895828,0.12654746305895828,hf,,gas,hf/6-31g*,2,CCCC[N+](=O)[O-],[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([H:12])[C:3]([H:13])([H:14])[C:4]([H:15])([H:16])[N+:5](=[O:6])[O-:7]
2,-0.019386123285976123,-0.019386123285976123,hf,,gas,hf/6-31g*,3,CCCC[N+](=O)[O-],[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([H:12])[C:3]([H:13])([H:14])[C:4]([H:15])([H:16])[N+:5](=[O:6])[O-:7]
3,-0.13498368549584908,-0.13498368549584908,hf,,gas,hf/6-31g*,4,CCCC[N+](=O)[O-],[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([H:12])[C:3]([H:13])([H:14])[C:4]([H:15])([H:16])[N+:5](=[O:6])[O-:7]
4,0.7954076055405854,0.7954076055405854,hf,,gas,hf/6-31g*,5,CCCC[N+](=O)[O-],[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([H:12])[C:3]([H:13])([H:14])[C:4]([H:15])([H:16])[N+:5](=[O:6])[O-:7]
5,-0.4756266199999266,-0.4756266199999266,hf,,gas,hf/6-31g*,6,CCCC[N+](=O)[O-],[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([H:12])[C:3]([H:13])([H:14])[C:4]([H:15])([H:16])[N+:5](=[O:6])[O-:7]
