,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.15574854135802427,-0.15574854135802427,hf,1,gas,hf/6-31g*,1,CCCS,[H:5][C:1]([H:6])([H:7])[C:2]([H:8])([H:9])[C:3]([H:10])([H:11])[S:4][H:12]
1,0.2644268845378494,0.2644268845378494,hf,1,gas,hf/6-31g*,2,CCCS,[H:5][C:1]([H:6])([H:7])[C:2]([H:8])([H:9])[C:3]([H:10])([H:11])[S:4][H:12]
2,-0.10378083508510805,-0.10378083508510805,hf,1,gas,hf/6-31g*,3,CCCS,[H:5][C:1]([H:6])([H:7])[C:2]([H:8])([H:9])[C:3]([H:10])([H:11])[S:4][H:12]
3,-0.33378641132052517,-0.33378641132052517,hf,1,gas,hf/6-31g*,4,CCCS,[H:5][C:1]([H:6])([H:7])[C:2]([H:8])([H:9])[C:3]([H:10])([H:11])[S:4][H:12]
4,0.0289733206895772,0.0289733206895772,hf,1,gas,hf/6-31g*,5,CCCS,[H:5][C:1]([H:6])([H:7])[C:2]([H:8])([H:9])[C:3]([H:10])([H:11])[S:4][H:12]
5,0.03579046982099089,0.03579046982099089,hf,1,gas,hf/6-31g*,6,CCCS,[H:5][C:1]([H:6])([H:7])[C:2]([H:8])([H:9])[C:3]([H:10])([H:11])[S:4][H:12]
6,0.03178137949705763,0.03178137949705763,hf,1,gas,hf/6-31g*,7,CCCS,[H:5][C:1]([H:6])([H:7])[C:2]([H:8])([H:9])[C:3]([H:10])([H:11])[S:4][H:12]
7,-0.04773779432342173,-0.04773779432342173,hf,1,gas,hf/6-31g*,8,CCCS,[H:5][C:1]([H:6])([H:7])[C:2]([H:8])([H:9])[C:3]([H:10])([H:11])[S:4][H:12]
8,-0.05730425598323782,-0.05730425598323782,hf,1,gas,hf/6-31g*,9,CCCS,[H:5][C:1]([H:6])([H:7])[C:2]([H:8])([H:9])[C:3]([H:10])([H:11])[S:4][H:12]
9,0.07774385037626586,0.07774385037626586,hf,1,gas,hf/6-31g*,10,CCCS,[H:5][C:1]([H:6])([H:7])[C:2]([H:8])([H:9])[C:3]([H:10])([H:11])[S:4][H:12]
10,0.08766415475691998,0.08766415475691998,hf,1,gas,hf/6-31g*,11,CCCS,[H:5][C:1]([H:6])([H:7])[C:2]([H:8])([H:9])[C:3]([H:10])([H:11])[S:4][H:12]
11,0.17404395775571208,0.17404395775571208,hf,1,gas,hf/6-31g*,12,CCCS,[H:5][C:1]([H:6])([H:7])[C:2]([H:8])([H:9])[C:3]([H:10])([H:11])[S:4][H:12]
0,-0.15303227056391785,-0.15303227056391785,resp2,1,gas,hf/6-31g*,1,CCCS,[H:5][C:1]([H:6])([H:7])[C:2]([H:8])([H:9])[C:3]([H:10])([H:11])[S:4][H:12]
1,0.29549407131800404,0.29549407131800404,resp2,1,gas,hf/6-31g*,2,CCCS,[H:5][C:1]([H:6])([H:7])[C:2]([H:8])([H:9])[C:3]([H:10])([H:11])[S:4][H:12]
2,-0.1297726258613231,-0.1297726258613231,resp2,1,gas,hf/6-31g*,3,CCCS,[H:5][C:1]([H:6])([H:7])[C:2]([H:8])([H:9])[C:3]([H:10])([H:11])[S:4][H:12]
3,-0.3340772615660396,-0.3340772615660396,resp2,1,gas,hf/6-31g*,4,CCCS,[H:5][C:1]([H:6])([H:7])[C:2]([H:8])([H:9])[C:3]([H:10])([H:11])[S:4][H:12]
4,0.02658548698146018,0.02658548698146018,resp2,1,gas,hf/6-31g*,5,CCCS,[H:5][C:1]([H:6])([H:7])[C:2]([H:8])([H:9])[C:3]([H:10])([H:11])[S:4][H:12]
5,0.03354460097366773,0.03354460097366773,resp2,1,gas,hf/6-31g*,6,CCCS,[H:5][C:1]([H:6])([H:7])[C:2]([H:8])([H:9])[C:3]([H:10])([H:11])[S:4][H:12]
6,0.029350190973817192,0.029350190973817192,resp2,1,gas,hf/6-31g*,7,CCCS,[H:5][C:1]([H:6])([H:7])[C:2]([H:8])([H:9])[C:3]([H:10])([H:11])[S:4][H:12]
7,-0.05464051380931284,-0.05464051380931284,resp2,1,gas,hf/6-31g*,8,CCCS,[H:5][C:1]([H:6])([H:7])[C:2]([H:8])([H:9])[C:3]([H:10])([H:11])[S:4][H:12]
