,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.28402186307846805,-0.28402186307846805,hf,1,gas,hf/6-31g*,1,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
1,0.3798124732406742,0.3798124732406742,hf,1,gas,hf/6-31g*,2,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
2,-0.5260361562143467,-0.5260361562143467,hf,1,gas,hf/6-31g*,3,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
3,0.9419466343923744,0.9419466343923744,hf,1,gas,hf/6-31g*,4,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
4,-0.6206961466238349,-0.6206961466238349,hf,1,gas,hf/6-31g*,5,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
5,-0.6195192570293964,-0.6195192570293964,hf,1,gas,hf/6-31g*,6,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
6,0.07716596364624904,0.07716596364624904,hf,1,gas,hf/6-31g*,7,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
7,0.07507425936532269,0.07507425936532269,hf,1,gas,hf/6-31g*,8,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
8,0.08180529883718518,0.08180529883718518,hf,1,gas,hf/6-31g*,9,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
9,-0.0069511486589860436,-0.0069511486589860436,hf,1,gas,hf/6-31g*,10,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
10,-0.0063665827737482625,-0.0063665827737482625,hf,1,gas,hf/6-31g*,11,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
11,0.17369229023841093,0.17369229023841093,hf,1,gas,hf/6-31g*,12,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
12,0.1672558949989304,0.1672558949989304,hf,1,gas,hf/6-31g*,13,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
13,0.1678814340878473,0.1678814340878473,hf,1,gas,hf/6-31g*,14,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
0,-0.2840218975433859,-0.2840218975433859,hf,,gas,hf/6-31g*,1,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
1,0.37981254636774653,0.37981254636774653,hf,,gas,hf/6-31g*,2,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
2,-0.5260361677138142,-0.5260361677138142,hf,,gas,hf/6-31g*,3,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
3,0.9419467025105,0.9419467025105,hf,,gas,hf/6-31g*,4,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
4,-0.6206962191458978,-0.6206962191458978,hf,,gas,hf/6-31g*,5,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
5,-0.6195192943196106,-0.6195192943196106,hf,,gas,hf/6-31g*,6,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
6,0.0771659672194591,0.0771659672194591,hf,,gas,hf/6-31g*,7,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
7,0.0750742784922269,0.0750742784922269,hf,,gas,hf/6-31g*,8,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
8,0.08180529503902328,0.08180529503902328,hf,,gas,hf/6-31g*,9,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
9,-0.006951175075166669,-0.006951175075166669,hf,,gas,hf/6-31g*,10,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
10,-0.0063666064340194214,-0.0063666064340194214,hf,,gas,hf/6-31g*,11,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
11,0.1736922986934591,0.1736922986934591,hf,,gas,hf/6-31g*,12,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
12,0.16725591067364892,0.16725591067364892,hf,,gas,hf/6-31g*,13,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
13,0.16788145534779167,0.16788145534779167,hf,,gas,hf/6-31g*,14,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
0,-0.29621493259436493,-0.29621493259436493,resp2,1,gas,hf/6-31g*,1,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
1,0.34729749601259424,0.34729749601259424,resp2,1,gas,hf/6-31g*,2,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
2,-0.5167907257971488,-0.5167907257971488,resp2,1,gas,hf/6-31g*,3,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
3,0.9490342100091674,0.9490342100091674,resp2,1,gas,hf/6-31g*,4,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
4,-0.665447103682118,-0.665447103682118,resp2,1,gas,hf/6-31g*,5,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
5,-0.6182979434093201,-0.6182979434093201,resp2,1,gas,hf/6-31g*,6,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
6,0.08231365039756676,0.08231365039756676,resp2,1,gas,hf/6-31g*,7,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
7,0.08024556356577968,0.08024556356577968,resp2,1,gas,hf/6-31g*,8,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
8,0.0868913945044423,0.0868913945044423,resp2,1,gas,hf/6-31g*,9,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
9,0.0038770916177415515,0.0038770916177415515,resp2,1,gas,hf/6-31g*,10,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
10,0.004339319867466889,0.004339319867466889,resp2,1,gas,hf/6-31g*,11,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
11,0.18517234681652667,0.18517234681652667,resp2,1,gas,hf/6-31g*,12,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
12,0.17871979695744036,0.17871979695744036,resp2,1,gas,hf/6-31g*,13,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
13,0.17984458091637567,0.17984458091637567,resp2,1,gas,hf/6-31g*,14,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
0,-0.29621497106664985,-0.29621497106664985,resp2,,gas,hf/6-31g*,1,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
1,0.34729759119846004,0.34729759119846004,resp2,,gas,hf/6-31g*,2,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
2,-0.5167907473156363,-0.5167907473156363,resp2,,gas,hf/6-31g*,3,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
3,0.9490342914071267,0.9490342914071267,resp2,,gas,hf/6-31g*,4,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
4,-0.6654471626579513,-0.6654471626579513,resp2,,gas,hf/6-31g*,5,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
5,-0.6182979882329926,-0.6182979882329926,resp2,,gas,hf/6-31g*,6,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
6,0.08231365356573557,0.08231365356573557,resp2,,gas,hf/6-31g*,7,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
7,0.08024558197390746,0.08024558197390746,resp2,,gas,hf/6-31g*,8,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
8,0.08689139054988185,0.08689139054988185,resp2,,gas,hf/6-31g*,9,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
9,0.003877059445608828,0.003877059445608828,resp2,,gas,hf/6-31g*,10,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
10,0.004339290438792907,0.004339290438792907,resp2,,gas,hf/6-31g*,11,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
11,0.18517235020932934,0.18517235020932934,resp2,,gas,hf/6-31g*,12,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
12,0.17871980815523836,0.17871980815523836,resp2,,gas,hf/6-31g*,13,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
13,0.1798445970766019,0.1798445970766019,resp2,,gas,hf/6-31g*,14,CCOC(C)=O,[H:12][C:5]([H:13])([H:14])[C:4](=[O:6])[O:3][C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9]
