,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.32216962987194653,-0.32216962987194653,hf,1,gas,hf/6-31g*,1,CCOC=O,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8]
1,0.3973664201312366,0.3973664201312366,hf,1,gas,hf/6-31g*,2,CCOC=O,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8]
2,-0.5082753511915028,-0.5082753511915028,hf,1,gas,hf/6-31g*,3,CCOC=O,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8]
3,0.7491751391369779,0.7491751391369779,hf,1,gas,hf/6-31g*,4,CCOC=O,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8]
4,-0.5763958155016176,-0.5763958155016176,hf,1,gas,hf/6-31g*,5,CCOC=O,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8]
5,0.08793936620953897,0.08793936620953897,hf,1,gas,hf/6-31g*,6,CCOC=O,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8]
6,0.09131986432245483,0.09131986432245483,hf,1,gas,hf/6-31g*,7,CCOC=O,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8]
7,0.09049330666596814,0.09049330666596814,hf,1,gas,hf/6-31g*,8,CCOC=O,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8]
8,0.0002782046265269396,0.0002782046265269396,hf,1,gas,hf/6-31g*,9,CCOC=O,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8]
9,-0.0034136491614159548,-0.0034136491614159548,hf,1,gas,hf/6-31g*,10,CCOC=O,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8]
10,-0.004839504126797783,-0.004839504126797783,hf,1,gas,hf/6-31g*,11,CCOC=O,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8]
0,-0.3244504676027716,-0.3244504676027716,resp2,1,gas,hf/6-31g*,1,CCOC=O,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8]
