,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.2638167885628417,-0.2638167885628417,hf,1,gas,hf/6-31g*,1,CCOO,[H:5][C:1]([H:6])([H:7])[C:2]([H:8])([H:9])[O:3][O:4][H:10]
1,0.323122187672523,0.323122187672523,hf,1,gas,hf/6-31g*,2,CCOO,[H:5][C:1]([H:6])([H:7])[C:2]([H:8])([H:9])[O:3][O:4][H:10]
2,-0.2867403633615452,-0.2867403633615452,hf,1,gas,hf/6-31g*,3,CCOO,[H:5][C:1]([H:6])([H:7])[C:2]([H:8])([H:9])[O:3][O:4][H:10]
3,-0.4370040237910535,-0.4370040237910535,hf,1,gas,hf/6-31g*,4,CCOO,[H:5][C:1]([H:6])([H:7])[C:2]([H:8])([H:9])[O:3][O:4][H:10]
4,0.06941696229270229,0.06941696229270229,hf,1,gas,hf/6-31g*,5,CCOO,[H:5][C:1]([H:6])([H:7])[C:2]([H:8])([H:9])[O:3][O:4][H:10]
5,0.07034727871373476,0.07034727871373476,hf,1,gas,hf/6-31g*,6,CCOO,[H:5][C:1]([H:6])([H:7])[C:2]([H:8])([H:9])[O:3][O:4][H:10]
6,0.07196976357853496,0.07196976357853496,hf,1,gas,hf/6-31g*,7,CCOO,[H:5][C:1]([H:6])([H:7])[C:2]([H:8])([H:9])[O:3][O:4][H:10]
7,0.018635473815793488,0.018635473815793488,hf,1,gas,hf/6-31g*,8,CCOO,[H:5][C:1]([H:6])([H:7])[C:2]([H:8])([H:9])[O:3][O:4][H:10]
8,0.005901412401349074,0.005901412401349074,hf,1,gas,hf/6-31g*,9,CCOO,[H:5][C:1]([H:6])([H:7])[C:2]([H:8])([H:9])[O:3][O:4][H:10]
9,0.4295972363854681,0.4295972363854681,hf,1,gas,hf/6-31g*,10,CCOO,[H:5][C:1]([H:6])([H:7])[C:2]([H:8])([H:9])[O:3][O:4][H:10]
0,-0.27518879317920864,-0.27518879317920864,resp2,1,gas,hf/6-31g*,1,CCOO,[H:5][C:1]([H:6])([H:7])[C:2]([H:8])([H:9])[O:3][O:4][H:10]
1,0.31943407816551794,0.31943407816551794,resp2,1,gas,hf/6-31g*,2,CCOO,[H:5][C:1]([H:6])([H:7])[C:2]([H:8])([H:9])[O:3][O:4][H:10]
2,-0.28679705041609316,-0.28679705041609316,resp2,1,gas,hf/6-31g*,3,CCOO,[H:5][C:1]([H:6])([H:7])[C:2]([H:8])([H:9])[O:3][O:4][H:10]
3,-0.4386988374808148,-0.4386988374808148,resp2,1,gas,hf/6-31g*,4,CCOO,[H:5][C:1]([H:6])([H:7])[C:2]([H:8])([H:9])[O:3][O:4][H:10]
4,0.0725855295853542,0.0725855295853542,resp2,1,gas,hf/6-31g*,5,CCOO,[H:5][C:1]([H:6])([H:7])[C:2]([H:8])([H:9])[O:3][O:4][H:10]
5,0.073584494176013,0.073584494176013,resp2,1,gas,hf/6-31g*,6,CCOO,[H:5][C:1]([H:6])([H:7])[C:2]([H:8])([H:9])[O:3][O:4][H:10]
