,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.20682135305172922,RESP2,hf/6-31g*,1.0,0.0,C,hf,1,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[O:3][O:4][C:5]([H:12])([H:13])[C:6]([H:14])([H:15])[H:16],,
1,0.27463942945847825,RESP2,hf/6-31g*,1.0,0.0,C,hf,2,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[O:3][O:4][C:5]([H:12])([H:13])[C:6]([H:14])([H:15])[H:16],,
2,-0.2733873018375267,RESP2,hf/6-31g*,1.0,0.0,O,hf,3,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[O:3][O:4][C:5]([H:12])([H:13])[C:6]([H:14])([H:15])[H:16],,
3,-0.26148670997634704,RESP2,hf/6-31g*,1.0,0.0,O,hf,4,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[O:3][O:4][C:5]([H:12])([H:13])[C:6]([H:14])([H:15])[H:16],,
4,0.2925106490731536,RESP2,hf/6-31g*,1.0,0.0,C,hf,5,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[O:3][O:4][C:5]([H:12])([H:13])[C:6]([H:14])([H:15])[H:16],,
5,-0.23522554946750324,RESP2,hf/6-31g*,1.0,0.0,C,hf,6,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[O:3][O:4][C:5]([H:12])([H:13])[C:6]([H:14])([H:15])[H:16],,
6,0.057713878393642344,RESP2,hf/6-31g*,1.0,0.0,H,hf,7,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[O:3][O:4][C:5]([H:12])([H:13])[C:6]([H:14])([H:15])[H:16],,
7,0.06227355245483611,RESP2,hf/6-31g*,1.0,0.0,H,hf,8,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[O:3][O:4][C:5]([H:12])([H:13])[C:6]([H:14])([H:15])[H:16],,
8,0.057770422557509034,RESP2,hf/6-31g*,1.0,0.0,H,hf,9,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[O:3][O:4][C:5]([H:12])([H:13])[C:6]([H:14])([H:15])[H:16],,
9,0.018769211542311197,RESP2,hf/6-31g*,1.0,0.0,H,hf,10,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[O:3][O:4][C:5]([H:12])([H:13])[C:6]([H:14])([H:15])[H:16],,
10,0.0023857127344984455,RESP2,hf/6-31g*,1.0,0.0,H,hf,11,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[O:3][O:4][C:5]([H:12])([H:13])[C:6]([H:14])([H:15])[H:16],,
11,0.0037871362280965572,RESP2,hf/6-31g*,1.0,0.0,H,hf,12,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[O:3][O:4][C:5]([H:12])([H:13])[C:6]([H:14])([H:15])[H:16],,
12,0.008349550784872015,RESP2,hf/6-31g*,1.0,0.0,H,hf,13,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[O:3][O:4][C:5]([H:12])([H:13])[C:6]([H:14])([H:15])[H:16],,
13,0.06632278493140335,RESP2,hf/6-31g*,1.0,0.0,H,hf,14,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[O:3][O:4][C:5]([H:12])([H:13])[C:6]([H:14])([H:15])[H:16],,
14,0.06773244706211651,RESP2,hf/6-31g*,1.0,0.0,H,hf,15,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[O:3][O:4][C:5]([H:12])([H:13])[C:6]([H:14])([H:15])[H:16],,
15,0.06466613911218884,RESP2,hf/6-31g*,1.0,0.0,H,hf,16,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[O:3][O:4][C:5]([H:12])([H:13])[C:6]([H:14])([H:15])[H:16],,
0,-0.20803052347669632,RESP2,hf/6-31g*,1.0,0.05,C,hf,1,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[O:3][O:4][C:5]([H:12])([H:13])[C:6]([H:14])([H:15])[H:16],,
1,0.27707350346185433,RESP2,hf/6-31g*,1.0,0.05,C,hf,2,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[O:3][O:4][C:5]([H:12])([H:13])[C:6]([H:14])([H:15])[H:16],,
2,-0.27557149368488404,RESP2,hf/6-31g*,1.0,0.05,O,hf,3,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[O:3][O:4][C:5]([H:12])([H:13])[C:6]([H:14])([H:15])[H:16],,
3,-0.2639783091328366,RESP2,hf/6-31g*,1.0,0.05,O,hf,4,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[O:3][O:4][C:5]([H:12])([H:13])[C:6]([H:14])([H:15])[H:16],,
4,0.29516708643535244,RESP2,hf/6-31g*,1.0,0.05,C,hf,5,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[O:3][O:4][C:5]([H:12])([H:13])[C:6]([H:14])([H:15])[H:16],,
5,-0.23641395517500552,RESP2,hf/6-31g*,1.0,0.05,C,hf,6,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[O:3][O:4][C:5]([H:12])([H:13])[C:6]([H:14])([H:15])[H:16],,
6,0.05812725537422529,RESP2,hf/6-31g*,1.0,0.05,H,hf,7,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[O:3][O:4][C:5]([H:12])([H:13])[C:6]([H:14])([H:15])[H:16],,
7,0.06254609340757798,RESP2,hf/6-31g*,1.0,0.05,H,hf,8,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[O:3][O:4][C:5]([H:12])([H:13])[C:6]([H:14])([H:15])[H:16],,
8,0.05811256099629688,RESP2,hf/6-31g*,1.0,0.05,H,hf,9,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[O:3][O:4][C:5]([H:12])([H:13])[C:6]([H:14])([H:15])[H:16],,
9,0.01881835794845942,RESP2,hf/6-31g*,1.0,0.05,H,hf,10,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[O:3][O:4][C:5]([H:12])([H:13])[C:6]([H:14])([H:15])[H:16],,
10,0.002433209551699845,RESP2,hf/6-31g*,1.0,0.05,H,hf,11,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[O:3][O:4][C:5]([H:12])([H:13])[C:6]([H:14])([H:15])[H:16],,
11,0.003667866066306153,RESP2,hf/6-31g*,1.0,0.05,H,hf,12,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[O:3][O:4][C:5]([H:12])([H:13])[C:6]([H:14])([H:15])[H:16],,
12,0.008434621494296288,RESP2,hf/6-31g*,1.0,0.05,H,hf,13,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[O:3][O:4][C:5]([H:12])([H:13])[C:6]([H:14])([H:15])[H:16],,
13,0.06655310752866908,RESP2,hf/6-31g*,1.0,0.05,H,hf,14,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[O:3][O:4][C:5]([H:12])([H:13])[C:6]([H:14])([H:15])[H:16],,
14,0.06801008092920868,RESP2,hf/6-31g*,1.0,0.05,H,hf,15,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[O:3][O:4][C:5]([H:12])([H:13])[C:6]([H:14])([H:15])[H:16],,
15,0.06505053827547601,RESP2,hf/6-31g*,1.0,0.05,H,hf,16,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[O:3][O:4][C:5]([H:12])([H:13])[C:6]([H:14])([H:15])[H:16],,
0,-0.2092396939016634,RESP2,hf/6-31g*,1.0,0.1,C,hf,1,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[O:3][O:4][C:5]([H:12])([H:13])[C:6]([H:14])([H:15])[H:16],,
