,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.09519933813285841,RESP2,hf/6-31g*,1.0,0.0,C,hf,1,[H:14][c:4]1[c:5]([n:6][c:7]([c:8]([c:3]1[C:2]([H:12])([H:13])[C:1]([H:9])([H:10])[H:11])[H:17])[H:16])[H:15],,
1,0.013903124440792412,RESP2,hf/6-31g*,1.0,0.0,C,hf,2,[H:14][c:4]1[c:5]([n:6][c:7]([c:8]([c:3]1[C:2]([H:12])([H:13])[C:1]([H:9])([H:10])[H:11])[H:17])[H:16])[H:15],,
2,0.46721919130878964,RESP2,hf/6-31g*,1.0,0.0,C,hf,3,[H:14][c:4]1[c:5]([n:6][c:7]([c:8]([c:3]1[C:2]([H:12])([H:13])[C:1]([H:9])([H:10])[H:11])[H:17])[H:16])[H:15],,
3,-0.6608492648160377,RESP2,hf/6-31g*,1.0,0.0,C,hf,4,[H:14][c:4]1[c:5]([n:6][c:7]([c:8]([c:3]1[C:2]([H:12])([H:13])[C:1]([H:9])([H:10])[H:11])[H:17])[H:16])[H:15],,
4,0.5285121870212611,RESP2,hf/6-31g*,1.0,0.0,C,hf,5,[H:14][c:4]1[c:5]([n:6][c:7]([c:8]([c:3]1[C:2]([H:12])([H:13])[C:1]([H:9])([H:10])[H:11])[H:17])[H:16])[H:15],,
5,-0.720509407978583,RESP2,hf/6-31g*,1.0,0.0,N,hf,6,[H:14][c:4]1[c:5]([n:6][c:7]([c:8]([c:3]1[C:2]([H:12])([H:13])[C:1]([H:9])([H:10])[H:11])[H:17])[H:16])[H:15],,
6,0.5266836832903402,RESP2,hf/6-31g*,1.0,0.0,C,hf,7,[H:14][c:4]1[c:5]([n:6][c:7]([c:8]([c:3]1[C:2]([H:12])([H:13])[C:1]([H:9])([H:10])[H:11])[H:17])[H:16])[H:15],,
7,-0.6582970403120685,RESP2,hf/6-31g*,1.0,0.0,C,hf,8,[H:14][c:4]1[c:5]([n:6][c:7]([c:8]([c:3]1[C:2]([H:12])([H:13])[C:1]([H:9])([H:10])[H:11])[H:17])[H:16])[H:15],,
8,0.030903606846448047,RESP2,hf/6-31g*,1.0,0.0,H,hf,9,[H:14][c:4]1[c:5]([n:6][c:7]([c:8]([c:3]1[C:2]([H:12])([H:13])[C:1]([H:9])([H:10])[H:11])[H:17])[H:16])[H:15],,
9,0.02993894936846259,RESP2,hf/6-31g*,1.0,0.0,H,hf,10,[H:14][c:4]1[c:5]([n:6][c:7]([c:8]([c:3]1[C:2]([H:12])([H:13])[C:1]([H:9])([H:10])[H:11])[H:17])[H:16])[H:15],,
