,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,0.0004048487270309734,0.0004048487270309734,hf,1,gas,hf/6-31g*,1,CCc1cnccn1,[H:15][c:6]1[c:7]([n:8][c:3]([c:4]([n:5]1)[H:14])[C:2]([H:12])([H:13])[C:1]([H:9])([H:10])[H:11])[H:16]
1,-0.18016498717956847,-0.18016498717956847,hf,1,gas,hf/6-31g*,2,CCc1cnccn1,[H:15][c:6]1[c:7]([n:8][c:3]([c:4]([n:5]1)[H:14])[C:2]([H:12])([H:13])[C:1]([H:9])([H:10])[H:11])[H:16]
2,0.36260314695146967,0.36260314695146967,hf,1,gas,hf/6-31g*,3,CCc1cnccn1,[H:15][c:6]1[c:7]([n:8][c:3]([c:4]([n:5]1)[H:14])[C:2]([H:12])([H:13])[C:1]([H:9])([H:10])[H:11])[H:16]
3,0.11976997540424703,0.11976997540424703,hf,1,gas,hf/6-31g*,4,CCc1cnccn1,[H:15][c:6]1[c:7]([n:8][c:3]([c:4]([n:5]1)[H:14])[C:2]([H:12])([H:13])[C:1]([H:9])([H:10])[H:11])[H:16]
4,-0.4591307840748149,-0.4591307840748149,hf,1,gas,hf/6-31g*,5,CCc1cnccn1,[H:15][c:6]1[c:7]([n:8][c:3]([c:4]([n:5]1)[H:14])[C:2]([H:12])([H:13])[C:1]([H:9])([H:10])[H:11])[H:16]
5,0.14847802322722242,0.14847802322722242,hf,1,gas,hf/6-31g*,6,CCc1cnccn1,[H:15][c:6]1[c:7]([n:8][c:3]([c:4]([n:5]1)[H:14])[C:2]([H:12])([H:13])[C:1]([H:9])([H:10])[H:11])[H:16]
6,0.10853327426115517,0.10853327426115517,hf,1,gas,hf/6-31g*,7,CCc1cnccn1,[H:15][c:6]1[c:7]([n:8][c:3]([c:4]([n:5]1)[H:14])[C:2]([H:12])([H:13])[C:1]([H:9])([H:10])[H:11])[H:16]
7,-0.46573827255689193,-0.46573827255689193,hf,1,gas,hf/6-31g*,8,CCc1cnccn1,[H:15][c:6]1[c:7]([n:8][c:3]([c:4]([n:5]1)[H:14])[C:2]([H:12])([H:13])[C:1]([H:9])([H:10])[H:11])[H:16]
8,0.01784860859315801,0.01784860859315801,hf,1,gas,hf/6-31g*,9,CCc1cnccn1,[H:15][c:6]1[c:7]([n:8][c:3]([c:4]([n:5]1)[H:14])[C:2]([H:12])([H:13])[C:1]([H:9])([H:10])[H:11])[H:16]
9,0.01299296575489417,0.01299296575489417,hf,1,gas,hf/6-31g*,10,CCc1cnccn1,[H:15][c:6]1[c:7]([n:8][c:3]([c:4]([n:5]1)[H:14])[C:2]([H:12])([H:13])[C:1]([H:9])([H:10])[H:11])[H:16]
10,0.009194177786461604,0.009194177786461604,hf,1,gas,hf/6-31g*,11,CCc1cnccn1,[H:15][c:6]1[c:7]([n:8][c:3]([c:4]([n:5]1)[H:14])[C:2]([H:12])([H:13])[C:1]([H:9])([H:10])[H:11])[H:16]
11,0.0573125544620679,0.0573125544620679,hf,1,gas,hf/6-31g*,12,CCc1cnccn1,[H:15][c:6]1[c:7]([n:8][c:3]([c:4]([n:5]1)[H:14])[C:2]([H:12])([H:13])[C:1]([H:9])([H:10])[H:11])[H:16]
12,0.06020194768337171,0.06020194768337171,hf,1,gas,hf/6-31g*,13,CCc1cnccn1,[H:15][c:6]1[c:7]([n:8][c:3]([c:4]([n:5]1)[H:14])[C:2]([H:12])([H:13])[C:1]([H:9])([H:10])[H:11])[H:16]
