,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,0.0968019705560231,RESP2,hf/6-31g*,1.0,0.0,C,hf,1,[H:3][C:1]([H:4])([H:5])[F:2],,
1,-0.2617291218858654,RESP2,hf/6-31g*,1.0,0.0,F,hf,2,[H:3][C:1]([H:4])([H:5])[F:2],,
2,0.0550339421902311,RESP2,hf/6-31g*,1.0,0.0,H,hf,3,[H:3][C:1]([H:4])([H:5])[F:2],,
3,0.0549768851563074,RESP2,hf/6-31g*,1.0,0.0,H,hf,4,[H:3][C:1]([H:4])([H:5])[F:2],,
4,0.0549163239833036,RESP2,hf/6-31g*,1.0,0.0,H,hf,5,[H:3][C:1]([H:4])([H:5])[F:2],,
0,0.0964179339773824,RESP2,hf/6-31g*,1.0,0.05,C,hf,1,[H:3][C:1]([H:4])([H:5])[F:2],,
1,-0.2632415726762944,RESP2,hf/6-31g*,1.0,0.05,F,hf,2,[H:3][C:1]([H:4])([H:5])[F:2],,
2,0.0556650599054047,RESP2,hf/6-31g*,1.0,0.05,H,hf,3,[H:3][C:1]([H:4])([H:5])[F:2],,
3,0.0556090348279228,RESP2,hf/6-31g*,1.0,0.05,H,hf,4,[H:3][C:1]([H:4])([H:5])[F:2],,
4,0.0555495439655843,RESP2,hf/6-31g*,1.0,0.05,H,hf,5,[H:3][C:1]([H:4])([H:5])[F:2],,
0,0.0960338973987418,RESP2,hf/6-31g*,1.0,0.1,C,hf,1,[H:3][C:1]([H:4])([H:5])[F:2],,
1,-0.2647540234667234,RESP2,hf/6-31g*,1.0,0.1,F,hf,2,[H:3][C:1]([H:4])([H:5])[F:2],,
2,0.0562961776205784,RESP2,hf/6-31g*,1.0,0.1,H,hf,3,[H:3][C:1]([H:4])([H:5])[F:2],,
3,0.0562411844995381,RESP2,hf/6-31g*,1.0,0.1,H,hf,4,[H:3][C:1]([H:4])([H:5])[F:2],,
4,0.056182763947865,RESP2,hf/6-31g*,1.0,0.1,H,hf,5,[H:3][C:1]([H:4])([H:5])[F:2],,
0,0.0956498608201011,RESP2,hf/6-31g*,1.0,0.15,C,hf,1,[H:3][C:1]([H:4])([H:5])[F:2],,
1,-0.2662664742571524,RESP2,hf/6-31g*,1.0,0.15,F,hf,2,[H:3][C:1]([H:4])([H:5])[F:2],,
2,0.0569272953357521,RESP2,hf/6-31g*,1.0,0.15,H,hf,3,[H:3][C:1]([H:4])([H:5])[F:2],,
3,0.0568733341711534,RESP2,hf/6-31g*,1.0,0.15,H,hf,4,[H:3][C:1]([H:4])([H:5])[F:2],,
4,0.0568159839301456,RESP2,hf/6-31g*,1.0,0.15,H,hf,5,[H:3][C:1]([H:4])([H:5])[F:2],,
0,0.0952658242414605,RESP2,hf/6-31g*,1.0,0.2,C,hf,1,[H:3][C:1]([H:4])([H:5])[F:2],,
1,-0.2677789250475815,RESP2,hf/6-31g*,1.0,0.2,F,hf,2,[H:3][C:1]([H:4])([H:5])[F:2],,
2,0.0575584130509257,RESP2,hf/6-31g*,1.0,0.2,H,hf,3,[H:3][C:1]([H:4])([H:5])[F:2],,
3,0.0575054838427688,RESP2,hf/6-31g*,1.0,0.2,H,hf,4,[H:3][C:1]([H:4])([H:5])[F:2],,
4,0.0574492039124263,RESP2,hf/6-31g*,1.0,0.2,H,hf,5,[H:3][C:1]([H:4])([H:5])[F:2],,
0,0.0948817876628198,RESP2,hf/6-31g*,1.0,0.25,C,hf,1,[H:3][C:1]([H:4])([H:5])[F:2],,
1,-0.2692913758380105,RESP2,hf/6-31g*,1.0,0.25,F,hf,2,[H:3][C:1]([H:4])([H:5])[F:2],,
2,0.0581895307660994,RESP2,hf/6-31g*,1.0,0.25,H,hf,3,[H:3][C:1]([H:4])([H:5])[F:2],,
3,0.0581376335143841,RESP2,hf/6-31g*,1.0,0.25,H,hf,4,[H:3][C:1]([H:4])([H:5])[F:2],,
4,0.058082423894707,RESP2,hf/6-31g*,1.0,0.25,H,hf,5,[H:3][C:1]([H:4])([H:5])[F:2],,
0,0.0944977510841792,RESP2,hf/6-31g*,1.0,0.3,C,hf,1,[H:3][C:1]([H:4])([H:5])[F:2],,
1,-0.2708038266284395,RESP2,hf/6-31g*,1.0,0.3,F,hf,2,[H:3][C:1]([H:4])([H:5])[F:2],,
2,0.0588206484812731,RESP2,hf/6-31g*,1.0,0.3,H,hf,3,[H:3][C:1]([H:4])([H:5])[F:2],,
3,0.0587697831859994,RESP2,hf/6-31g*,1.0,0.3,H,hf,4,[H:3][C:1]([H:4])([H:5])[F:2],,
4,0.0587156438769877,RESP2,hf/6-31g*,1.0,0.3,H,hf,5,[H:3][C:1]([H:4])([H:5])[F:2],,
0,0.0941137145055385,RESP2,hf/6-31g*,1.0,0.35,C,hf,1,[H:3][C:1]([H:4])([H:5])[F:2],,
1,-0.2723162774188685,RESP2,hf/6-31g*,1.0,0.35,F,hf,2,[H:3][C:1]([H:4])([H:5])[F:2],,
2,0.0594517661964467,RESP2,hf/6-31g*,1.0,0.35,H,hf,3,[H:3][C:1]([H:4])([H:5])[F:2],,
3,0.0594019328576147,RESP2,hf/6-31g*,1.0,0.35,H,hf,4,[H:3][C:1]([H:4])([H:5])[F:2],,
4,0.0593488638592684,RESP2,hf/6-31g*,1.0,0.35,H,hf,5,[H:3][C:1]([H:4])([H:5])[F:2],,
0,0.0937296779268979,RESP2,hf/6-31g*,1.0,0.4,C,hf,1,[H:3][C:1]([H:4])([H:5])[F:2],,
1,-0.2738287282092976,RESP2,hf/6-31g*,1.0,0.4,F,hf,2,[H:3][C:1]([H:4])([H:5])[F:2],,
2,0.0600828839116204,RESP2,hf/6-31g*,1.0,0.4,H,hf,3,[H:3][C:1]([H:4])([H:5])[F:2],,
3,0.0600340825292301,RESP2,hf/6-31g*,1.0,0.4,H,hf,4,[H:3][C:1]([H:4])([H:5])[F:2],,
4,0.059982083841549,RESP2,hf/6-31g*,1.0,0.4,H,hf,5,[H:3][C:1]([H:4])([H:5])[F:2],,
0,0.0933456413482572,RESP2,hf/6-31g*,1.0,0.45,C,hf,1,[H:3][C:1]([H:4])([H:5])[F:2],,
1,-0.2753411789997265,RESP2,hf/6-31g*,1.0,0.45,F,hf,2,[H:3][C:1]([H:4])([H:5])[F:2],,
2,0.060714001626794,RESP2,hf/6-31g*,1.0,0.45,H,hf,3,[H:3][C:1]([H:4])([H:5])[F:2],,
3,0.0606662322008454,RESP2,hf/6-31g*,1.0,0.45,H,hf,4,[H:3][C:1]([H:4])([H:5])[F:2],,
4,0.0606153038238297,RESP2,hf/6-31g*,1.0,0.45,H,hf,5,[H:3][C:1]([H:4])([H:5])[F:2],,
