,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.3562133468510464,-0.3562133468510464,hf,1,gas,hf/6-31g*,1,CN(C)C,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[C:4]([H:11])([H:12])[H:13]
1,-0.158264451241017,-0.158264451241017,hf,1,gas,hf/6-31g*,2,CN(C)C,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[C:4]([H:11])([H:12])[H:13]
2,-0.3586031687384532,-0.3586031687384532,hf,1,gas,hf/6-31g*,3,CN(C)C,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[C:4]([H:11])([H:12])[H:13]
3,-0.38655048371872475,-0.38655048371872475,hf,1,gas,hf/6-31g*,4,CN(C)C,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[C:4]([H:11])([H:12])[H:13]
4,0.13250487626991658,0.13250487626991658,hf,1,gas,hf/6-31g*,5,CN(C)C,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[C:4]([H:11])([H:12])[H:13]
5,0.14538464024647865,0.14538464024647865,hf,1,gas,hf/6-31g*,6,CN(C)C,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[C:4]([H:11])([H:12])[H:13]
6,0.1354935336678808,0.1354935336678808,hf,1,gas,hf/6-31g*,7,CN(C)C,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[C:4]([H:11])([H:12])[H:13]
7,0.1303774368134536,0.1303774368134536,hf,1,gas,hf/6-31g*,8,CN(C)C,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[C:4]([H:11])([H:12])[H:13]
8,0.14047944499041953,0.14047944499041953,hf,1,gas,hf/6-31g*,9,CN(C)C,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[C:4]([H:11])([H:12])[H:13]
9,0.14457063435681355,0.14457063435681355,hf,1,gas,hf/6-31g*,10,CN(C)C,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[C:4]([H:11])([H:12])[H:13]
10,0.13875788095556268,0.13875788095556268,hf,1,gas,hf/6-31g*,11,CN(C)C,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[C:4]([H:11])([H:12])[H:13]
11,0.14842322885403011,0.14842322885403011,hf,1,gas,hf/6-31g*,12,CN(C)C,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[C:4]([H:11])([H:12])[H:13]
12,0.14767870297078517,0.14767870297078517,hf,1,gas,hf/6-31g*,13,CN(C)C,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[C:4]([H:11])([H:12])[H:13]
0,-0.35621334683875727,-0.35621334683875727,hf,,gas,hf/6-31g*,1,CN(C)C,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[C:4]([H:11])([H:12])[H:13]
1,-0.15826445124398353,-0.15826445124398353,hf,,gas,hf/6-31g*,2,CN(C)C,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[C:4]([H:11])([H:12])[H:13]
2,-0.3586031687294038,-0.3586031687294038,hf,,gas,hf/6-31g*,3,CN(C)C,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[C:4]([H:11])([H:12])[H:13]
3,-0.38655048373216755,-0.38655048373216755,hf,,gas,hf/6-31g*,4,CN(C)C,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[C:4]([H:11])([H:12])[H:13]
4,0.13250487626955332,0.13250487626955332,hf,,gas,hf/6-31g*,5,CN(C)C,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[C:4]([H:11])([H:12])[H:13]
5,0.1453846402427032,0.1453846402427032,hf,,gas,hf/6-31g*,6,CN(C)C,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[C:4]([H:11])([H:12])[H:13]
6,0.1354935336635918,0.1354935336635918,hf,,gas,hf/6-31g*,7,CN(C)C,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[C:4]([H:11])([H:12])[H:13]
7,0.13037743681318759,0.13037743681318759,hf,,gas,hf/6-31g*,8,CN(C)C,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[C:4]([H:11])([H:12])[H:13]
8,0.14047944498701093,0.14047944498701093,hf,,gas,hf/6-31g*,9,CN(C)C,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[C:4]([H:11])([H:12])[H:13]
9,0.1445706343540002,0.1445706343540002,hf,,gas,hf/6-31g*,10,CN(C)C,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[C:4]([H:11])([H:12])[H:13]
10,0.13875788095339267,0.13875788095339267,hf,,gas,hf/6-31g*,11,CN(C)C,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[C:4]([H:11])([H:12])[H:13]
11,0.14842322885892656,0.14842322885892656,hf,,gas,hf/6-31g*,12,CN(C)C,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[C:4]([H:11])([H:12])[H:13]
12,0.1476787029780642,0.1476787029780642,hf,,gas,hf/6-31g*,13,CN(C)C,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[C:4]([H:11])([H:12])[H:13]
0,-0.5155168732711017,-0.5155168732711017,resp2,1,gas,hf/6-31g*,1,CN(C)C,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[C:4]([H:11])([H:12])[H:13]
1,-0.05174202751900471,-0.05174202751900471,resp2,1,gas,hf/6-31g*,2,CN(C)C,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[C:4]([H:11])([H:12])[H:13]
2,-0.5101912339530973,-0.5101912339530973,resp2,1,gas,hf/6-31g*,3,CN(C)C,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[C:4]([H:11])([H:12])[H:13]
3,-0.5334292390151488,-0.5334292390151488,resp2,1,gas,hf/6-31g*,4,CN(C)C,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[C:4]([H:11])([H:12])[H:13]
4,0.17438159115501453,0.17438159115501453,resp2,1,gas,hf/6-31g*,5,CN(C)C,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[C:4]([H:11])([H:12])[H:13]
5,0.18434567575780322,0.18434567575780322,resp2,1,gas,hf/6-31g*,6,CN(C)C,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[C:4]([H:11])([H:12])[H:13]
6,0.17634467744922028,0.17634467744922028,resp2,1,gas,hf/6-31g*,7,CN(C)C,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[C:4]([H:11])([H:12])[H:13]
7,0.17078645180350072,0.17078645180350072,resp2,1,gas,hf/6-31g*,8,CN(C)C,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[C:4]([H:11])([H:12])[H:13]
8,0.17869249894507092,0.17869249894507092,resp2,1,gas,hf/6-31g*,9,CN(C)C,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[C:4]([H:11])([H:12])[H:13]
9,0.18192588756662353,0.18192588756662353,resp2,1,gas,hf/6-31g*,10,CN(C)C,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[C:4]([H:11])([H:12])[H:13]
10,0.17785420227090046,0.17785420227090046,resp2,1,gas,hf/6-31g*,11,CN(C)C,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[C:4]([H:11])([H:12])[H:13]
11,0.18501297814324041,0.18501297814324041,resp2,1,gas,hf/6-31g*,12,CN(C)C,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[C:4]([H:11])([H:12])[H:13]
12,0.18456212812959338,0.18456212812959338,resp2,1,gas,hf/6-31g*,13,CN(C)C,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[C:4]([H:11])([H:12])[H:13]
0,-0.5155168732602023,-0.5155168732602023,resp2,,gas,hf/6-31g*,1,CN(C)C,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[C:4]([H:11])([H:12])[H:13]
1,-0.05174202752183151,-0.05174202752183151,resp2,,gas,hf/6-31g*,2,CN(C)C,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[C:4]([H:11])([H:12])[H:13]
