,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.18255202233195542,RESP2,hf/6-31g*,1.0,0.0,C,hf,1,[H:12][C:4](=[O:5])[N:2]([C:1]([H:6])([H:7])[H:8])[C:3]([H:9])([H:10])[H:11],,
1,-0.05022906002258395,RESP2,hf/6-31g*,1.0,0.0,N,hf,2,[H:12][C:4](=[O:5])[N:2]([C:1]([H:6])([H:7])[H:8])[C:3]([H:9])([H:10])[H:11],,
2,-0.37618850402626214,RESP2,hf/6-31g*,1.0,0.0,C,hf,3,[H:12][C:4](=[O:5])[N:2]([C:1]([H:6])([H:7])[H:8])[C:3]([H:9])([H:10])[H:11],,
3,0.43602325493131805,RESP2,hf/6-31g*,1.0,0.0,C,hf,4,[H:12][C:4](=[O:5])[N:2]([C:1]([H:6])([H:7])[H:8])[C:3]([H:9])([H:10])[H:11],,
4,-0.5613605879532931,RESP2,hf/6-31g*,1.0,0.0,O,hf,5,[H:12][C:4](=[O:5])[N:2]([C:1]([H:6])([H:7])[H:8])[C:3]([H:9])([H:10])[H:11],,
5,0.12468888932902061,RESP2,hf/6-31g*,1.0,0.0,H,hf,6,[H:12][C:4](=[O:5])[N:2]([C:1]([H:6])([H:7])[H:8])[C:3]([H:9])([H:10])[H:11],,
6,0.08098422576649009,RESP2,hf/6-31g*,1.0,0.0,H,hf,7,[H:12][C:4](=[O:5])[N:2]([C:1]([H:6])([H:7])[H:8])[C:3]([H:9])([H:10])[H:11],,
7,0.08099716441045149,RESP2,hf/6-31g*,1.0,0.0,H,hf,8,[H:12][C:4](=[O:5])[N:2]([C:1]([H:6])([H:7])[H:8])[C:3]([H:9])([H:10])[H:11],,
8,0.13609327742617935,RESP2,hf/6-31g*,1.0,0.0,H,hf,9,[H:12][C:4](=[O:5])[N:2]([C:1]([H:6])([H:7])[H:8])[C:3]([H:9])([H:10])[H:11],,
9,0.1360834852426362,RESP2,hf/6-31g*,1.0,0.0,H,hf,10,[H:12][C:4](=[O:5])[N:2]([C:1]([H:6])([H:7])[H:8])[C:3]([H:9])([H:10])[H:11],,
10,0.13161424083008452,RESP2,hf/6-31g*,1.0,0.0,H,hf,11,[H:12][C:4](=[O:5])[N:2]([C:1]([H:6])([H:7])[H:8])[C:3]([H:9])([H:10])[H:11],,
11,0.04384563639791437,RESP2,hf/6-31g*,1.0,0.0,H,hf,12,[H:12][C:4](=[O:5])[N:2]([C:1]([H:6])([H:7])[H:8])[C:3]([H:9])([H:10])[H:11],,
0,-0.18234818936729744,RESP2,hf/6-31g*,1.0,0.05,C,hf,1,[H:12][C:4](=[O:5])[N:2]([C:1]([H:6])([H:7])[H:8])[C:3]([H:9])([H:10])[H:11],,
1,-0.05081860048263442,RESP2,hf/6-31g*,1.0,0.05,N,hf,2,[H:12][C:4](=[O:5])[N:2]([C:1]([H:6])([H:7])[H:8])[C:3]([H:9])([H:10])[H:11],,
2,-0.3758354397598689,RESP2,hf/6-31g*,1.0,0.05,C,hf,3,[H:12][C:4](=[O:5])[N:2]([C:1]([H:6])([H:7])[H:8])[C:3]([H:9])([H:10])[H:11],,
3,0.436390272378652,RESP2,hf/6-31g*,1.0,0.05,C,hf,4,[H:12][C:4](=[O:5])[N:2]([C:1]([H:6])([H:7])[H:8])[C:3]([H:9])([H:10])[H:11],,
4,-0.5621894542879835,RESP2,hf/6-31g*,1.0,0.05,O,hf,5,[H:12][C:4](=[O:5])[N:2]([C:1]([H:6])([H:7])[H:8])[C:3]([H:9])([H:10])[H:11],,
5,0.12431995123102942,RESP2,hf/6-31g*,1.0,0.05,H,hf,6,[H:12][C:4](=[O:5])[N:2]([C:1]([H:6])([H:7])[H:8])[C:3]([H:9])([H:10])[H:11],,
6,0.0812318509321342,RESP2,hf/6-31g*,1.0,0.05,H,hf,7,[H:12][C:4](=[O:5])[N:2]([C:1]([H:6])([H:7])[H:8])[C:3]([H:9])([H:10])[H:11],,
7,0.08123895865337546,RESP2,hf/6-31g*,1.0,0.05,H,hf,8,[H:12][C:4](=[O:5])[N:2]([C:1]([H:6])([H:7])[H:8])[C:3]([H:9])([H:10])[H:11],,
8,0.13625328544005583,RESP2,hf/6-31g*,1.0,0.05,H,hf,9,[H:12][C:4](=[O:5])[N:2]([C:1]([H:6])([H:7])[H:8])[C:3]([H:9])([H:10])[H:11],,
9,0.1361592652134725,RESP2,hf/6-31g*,1.0,0.05,H,hf,10,[H:12][C:4](=[O:5])[N:2]([C:1]([H:6])([H:7])[H:8])[C:3]([H:9])([H:10])[H:11],,
10,0.13158195762284827,RESP2,hf/6-31g*,1.0,0.05,H,hf,11,[H:12][C:4](=[O:5])[N:2]([C:1]([H:6])([H:7])[H:8])[C:3]([H:9])([H:10])[H:11],,
11,0.044016142426216515,RESP2,hf/6-31g*,1.0,0.05,H,hf,12,[H:12][C:4](=[O:5])[N:2]([C:1]([H:6])([H:7])[H:8])[C:3]([H:9])([H:10])[H:11],,
0,-0.18214435640263946,RESP2,hf/6-31g*,1.0,0.1,C,hf,1,[H:12][C:4](=[O:5])[N:2]([C:1]([H:6])([H:7])[H:8])[C:3]([H:9])([H:10])[H:11],,
1,-0.051408140942684866,RESP2,hf/6-31g*,1.0,0.1,N,hf,2,[H:12][C:4](=[O:5])[N:2]([C:1]([H:6])([H:7])[H:8])[C:3]([H:9])([H:10])[H:11],,
2,-0.3754823754934757,RESP2,hf/6-31g*,1.0,0.1,C,hf,3,[H:12][C:4](=[O:5])[N:2]([C:1]([H:6])([H:7])[H:8])[C:3]([H:9])([H:10])[H:11],,
3,0.43675728982598594,RESP2,hf/6-31g*,1.0,0.1,C,hf,4,[H:12][C:4](=[O:5])[N:2]([C:1]([H:6])([H:7])[H:8])[C:3]([H:9])([H:10])[H:11],,
4,-0.5630183206226739,RESP2,hf/6-31g*,1.0,0.1,O,hf,5,[H:12][C:4](=[O:5])[N:2]([C:1]([H:6])([H:7])[H:8])[C:3]([H:9])([H:10])[H:11],,
5,0.1239510131330382,RESP2,hf/6-31g*,1.0,0.1,H,hf,6,[H:12][C:4](=[O:5])[N:2]([C:1]([H:6])([H:7])[H:8])[C:3]([H:9])([H:10])[H:11],,
6,0.08147947609777832,RESP2,hf/6-31g*,1.0,0.1,H,hf,7,[H:12][C:4](=[O:5])[N:2]([C:1]([H:6])([H:7])[H:8])[C:3]([H:9])([H:10])[H:11],,
7,0.08148075289629947,RESP2,hf/6-31g*,1.0,0.1,H,hf,8,[H:12][C:4](=[O:5])[N:2]([C:1]([H:6])([H:7])[H:8])[C:3]([H:9])([H:10])[H:11],,
8,0.13641329345393235,RESP2,hf/6-31g*,1.0,0.1,H,hf,9,[H:12][C:4](=[O:5])[N:2]([C:1]([H:6])([H:7])[H:8])[C:3]([H:9])([H:10])[H:11],,
9,0.13623504518430885,RESP2,hf/6-31g*,1.0,0.1,H,hf,10,[H:12][C:4](=[O:5])[N:2]([C:1]([H:6])([H:7])[H:8])[C:3]([H:9])([H:10])[H:11],,
