,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.3505280998826778,RESP2,hf/6-31g*,1.0,0.0,C,hf,1,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[N:4]([H:11])[H:12],,
1,-0.0282753011516176,RESP2,hf/6-31g*,1.0,0.0,N,hf,2,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[N:4]([H:11])[H:12],,
2,-0.4309076559500109,RESP2,hf/6-31g*,1.0,0.0,C,hf,3,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[N:4]([H:11])[H:12],,
3,-0.8388850474703877,RESP2,hf/6-31g*,1.0,0.0,N,hf,4,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[N:4]([H:11])[H:12],,
4,0.1551707711900843,RESP2,hf/6-31g*,1.0,0.0,H,hf,5,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[N:4]([H:11])[H:12],,
5,0.1385519849020125,RESP2,hf/6-31g*,1.0,0.0,H,hf,6,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[N:4]([H:11])[H:12],,
6,0.1388427479564596,RESP2,hf/6-31g*,1.0,0.0,H,hf,7,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[N:4]([H:11])[H:12],,
7,0.1568384926407424,RESP2,hf/6-31g*,1.0,0.0,H,hf,8,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[N:4]([H:11])[H:12],,
8,0.1435867177734203,RESP2,hf/6-31g*,1.0,0.0,H,hf,9,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[N:4]([H:11])[H:12],,
9,0.1568884370834364,RESP2,hf/6-31g*,1.0,0.0,H,hf,10,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[N:4]([H:11])[H:12],,
10,0.3797548458378468,RESP2,hf/6-31g*,1.0,0.0,H,hf,11,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[N:4]([H:11])[H:12],,
11,0.3789621070706915,RESP2,hf/6-31g*,1.0,0.0,H,hf,12,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[N:4]([H:11])[H:12],,
0,-0.3525530818507864,RESP2,hf/6-31g*,1.0,0.05,C,hf,1,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[N:4]([H:11])[H:12],,
1,-0.0296842572296075,RESP2,hf/6-31g*,1.0,0.05,N,hf,2,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[N:4]([H:11])[H:12],,
2,-0.4311988060390014,RESP2,hf/6-31g*,1.0,0.05,C,hf,3,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[N:4]([H:11])[H:12],,
3,-0.8429908322752081,RESP2,hf/6-31g*,1.0,0.05,N,hf,4,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[N:4]([H:11])[H:12],,
4,0.1551572531229962,RESP2,hf/6-31g*,1.0,0.05,H,hf,5,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[N:4]([H:11])[H:12],,
5,0.139603803289599,RESP2,hf/6-31g*,1.0,0.05,H,hf,6,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[N:4]([H:11])[H:12],,
6,0.1398941991739059,RESP2,hf/6-31g*,1.0,0.05,H,hf,7,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[N:4]([H:11])[H:12],,
7,0.1571634536175906,RESP2,hf/6-31g*,1.0,0.05,H,hf,8,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[N:4]([H:11])[H:12],,
8,0.1446302013790907,RESP2,hf/6-31g*,1.0,0.05,H,hf,9,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[N:4]([H:11])[H:12],,
9,0.157213956461913,RESP2,hf/6-31g*,1.0,0.05,H,hf,10,[H:5][C:1]([H:6])([H:7])[N:2]([C:3]([H:8])([H:9])[H:10])[N:4]([H:11])[H:12],,
