,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,0.37808506290153066,0.37808506290153066,hf,1,gas,hf/6-31g*,1,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
1,-1.0249614505589157,-1.0249614505589157,hf,1,gas,hf/6-31g*,2,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
2,-0.07679205319231688,-0.07679205319231688,hf,1,gas,hf/6-31g*,3,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
3,-0.014124918476400844,-0.014124918476400844,hf,1,gas,hf/6-31g*,4,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
4,-0.014024783318451181,-0.014024783318451181,hf,1,gas,hf/6-31g*,5,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
5,0.3766527834926504,0.3766527834926504,hf,1,gas,hf/6-31g*,6,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
6,0.37702024822142377,0.37702024822142377,hf,1,gas,hf/6-31g*,7,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
0,0.37894249966185584,0.37894249966185584,resp2,1,gas,hf/6-31g*,1,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
1,-1.0338669731223655,-1.0338669731223655,resp2,1,gas,hf/6-31g*,2,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
2,-0.07654076932758945,-0.07654076932758945,resp2,1,gas,hf/6-31g*,3,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
3,-0.012541900037874379,-0.012541900037874379,resp2,1,gas,hf/6-31g*,4,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
4,-0.012611993562363675,-0.012611993562363675,resp2,1,gas,hf/6-31g*,5,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
5,0.37941979144887295,0.37941979144887295,resp2,1,gas,hf/6-31g*,6,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
6,0.37913495417088894,0.37913495417088894,resp2,1,gas,hf/6-31g*,7,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
0,0.37808506290194965,0.37808506290194965,hf,,gas,hf/6-31g*,1,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
1,-1.0249614505589983,-1.0249614505589983,hf,,gas,hf/6-31g*,2,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
2,-0.07679205319243056,-0.07679205319243056,hf,,gas,hf/6-31g*,3,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
3,-0.01412491847651109,-0.01412491847651109,hf,,gas,hf/6-31g*,4,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
4,-0.014024783318558845,-0.014024783318558845,hf,,gas,hf/6-31g*,5,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
5,0.3766527834926506,0.3766527834926506,hf,,gas,hf/6-31g*,6,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
6,0.3770202482214168,0.3770202482214168,hf,,gas,hf/6-31g*,7,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
0,0.3789424996617532,0.3789424996617532,resp2,,gas,hf/6-31g*,1,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
1,-1.033866973122346,-1.033866973122346,resp2,,gas,hf/6-31g*,2,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
2,-0.07654076932756088,-0.07654076932756088,resp2,,gas,hf/6-31g*,3,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
3,-0.01254190003785037,-0.01254190003785037,resp2,,gas,hf/6-31g*,4,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
4,-0.012611993562336317,-0.012611993562336317,resp2,,gas,hf/6-31g*,5,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
5,0.3794197914488775,0.3794197914488775,resp2,,gas,hf/6-31g*,6,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
6,0.3791349541708879,0.3791349541708879,resp2,,gas,hf/6-31g*,7,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
0,0.42020770370127536,0.42020770370127536,hf,1,water,hf/6-31g*,1,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
1,-1.1271327705295136,-1.1271327705295136,hf,1,water,hf/6-31g*,2,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
2,-0.06854579943718021,-0.06854579943718021,hf,1,water,hf/6-31g*,3,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
3,-0.024427038157185672,-0.024427038157185672,hf,1,water,hf/6-31g*,4,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
4,-0.024323231150205682,-0.024323231150205682,hf,1,water,hf/6-31g*,5,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
5,0.4128656396639071,0.4128656396639071,hf,1,water,hf/6-31g*,6,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
6,0.41326467205533074,0.41326467205533074,hf,1,water,hf/6-31g*,7,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
0,0.4245378175941681,0.4245378175941681,resp2,1,water,hf/6-31g*,1,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
1,-1.1368951959724745,-1.1368951959724745,resp2,1,water,hf/6-31g*,2,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
2,-0.06926990667909308,-0.06926990667909308,resp2,1,water,hf/6-31g*,3,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
3,-0.023571744644357004,-0.023571744644357004,resp2,1,water,hf/6-31g*,4,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
4,-0.023643210620269334,-0.023643210620269334,resp2,1,water,hf/6-31g*,5,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
5,0.4155712886696507,0.4155712886696507,resp2,1,water,hf/6-31g*,6,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
6,0.41527470404573713,0.41527470404573713,resp2,1,water,hf/6-31g*,7,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
0,0.42020770370103966,0.42020770370103966,hf,,water,hf/6-31g*,1,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
1,-1.127132770529438,-1.127132770529438,hf,,water,hf/6-31g*,2,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
2,-0.06854579943711227,-0.06854579943711227,hf,,water,hf/6-31g*,3,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
3,-0.024427038157128243,-0.024427038157128243,hf,,water,hf/6-31g*,4,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
4,-0.02432323115014781,-0.02432323115014781,hf,,water,hf/6-31g*,5,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
5,0.4128656396638963,0.4128656396638963,hf,,water,hf/6-31g*,6,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
6,0.41326467205531975,0.41326467205531975,hf,,water,hf/6-31g*,7,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
0,0.42453781759342946,0.42453781759342946,resp2,,water,hf/6-31g*,1,CN,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7]
