,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,0.377820078748742,RESP2,hf/6-31g*,1.0,0.0,C,hf,1,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7],,
1,-1.0252264347117044,RESP2,hf/6-31g*,1.0,0.0,N,hf,2,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7],,
2,-0.0770570373451055,RESP2,hf/6-31g*,1.0,0.0,H,hf,3,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7],,
3,-0.0143899026291894,RESP2,hf/6-31g*,1.0,0.0,H,hf,4,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7],,
4,-0.0142897674712397,RESP2,hf/6-31g*,1.0,0.0,H,hf,5,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7],,
5,0.3763877993398618,RESP2,hf/6-31g*,1.0,0.0,H,hf,6,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7],,
6,0.3767552640686352,RESP2,hf/6-31g*,1.0,0.0,H,hf,7,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7],,
0,0.3799258230238942,RESP2,hf/6-31g*,1.0,0.05,C,hf,1,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7],,
1,-1.0303353884750692,RESP2,hf/6-31g*,1.0,0.05,N,hf,2,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7],,
2,-0.0766451124221836,RESP2,hf/6-31g*,1.0,0.05,H,hf,3,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7],,
3,-0.0149053963780637,RESP2,hf/6-31g*,1.0,0.05,H,hf,4,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7],,
4,-0.0148050776276625,RESP2,hf/6-31g*,1.0,0.05,H,hf,5,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7],,
5,0.3781980543835896,RESP2,hf/6-31g*,1.0,0.05,H,hf,6,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7],,
6,0.3785670974954954,RESP2,hf/6-31g*,1.0,0.05,H,hf,7,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7],,
0,0.3820315672990464,RESP2,hf/6-31g*,1.0,0.1,C,hf,1,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7],,
1,-1.0354443422384343,RESP2,hf/6-31g*,1.0,0.1,N,hf,2,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7],,
2,-0.0762331874992619,RESP2,hf/6-31g*,1.0,0.1,H,hf,3,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7],,
3,-0.015420890126938,RESP2,hf/6-31g*,1.0,0.1,H,hf,4,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7],,
4,-0.0153203877840853,RESP2,hf/6-31g*,1.0,0.1,H,hf,5,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7],,
5,0.3800083094273174,RESP2,hf/6-31g*,1.0,0.1,H,hf,6,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7],,
6,0.3803789309223558,RESP2,hf/6-31g*,1.0,0.1,H,hf,7,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7],,
0,0.3841373115741985,RESP2,hf/6-31g*,1.0,0.15,C,hf,1,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7],,
1,-1.0405532960017991,RESP2,hf/6-31g*,1.0,0.15,N,hf,2,[H:3][C:1]([H:4])([H:5])[N:2]([H:6])[H:7],,
