,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.10824788703559005,RESP2,hf/6-31g*,1.0,0.0,C,hf,1,[H:9][C:3](=[O:4])[N:2]([H:8])[C:1]([H:5])([H:6])[H:7],,
1,-0.4976577081441986,RESP2,hf/6-31g*,1.0,0.0,N,hf,2,[H:9][C:3](=[O:4])[N:2]([H:8])[C:1]([H:5])([H:6])[H:7],,
2,0.568915024498928,RESP2,hf/6-31g*,1.0,0.0,C,hf,3,[H:9][C:3](=[O:4])[N:2]([H:8])[C:1]([H:5])([H:6])[H:7],,
3,-0.5536320101700295,RESP2,hf/6-31g*,1.0,0.0,O,hf,4,[H:9][C:3](=[O:4])[N:2]([H:8])[C:1]([H:5])([H:6])[H:7],,
4,0.11208590019833306,RESP2,hf/6-31g*,1.0,0.0,H,hf,5,[H:9][C:3](=[O:4])[N:2]([H:8])[C:1]([H:5])([H:6])[H:7],,
5,0.09075076160807831,RESP2,hf/6-31g*,1.0,0.0,H,hf,6,[H:9][C:3](=[O:4])[N:2]([H:8])[C:1]([H:5])([H:6])[H:7],,
6,0.07787563903129617,RESP2,hf/6-31g*,1.0,0.0,H,hf,7,[H:9][C:3](=[O:4])[N:2]([H:8])[C:1]([H:5])([H:6])[H:7],,
7,0.3138345814031291,RESP2,hf/6-31g*,1.0,0.0,H,hf,8,[H:9][C:3](=[O:4])[N:2]([H:8])[C:1]([H:5])([H:6])[H:7],,
8,-0.003924301389946535,RESP2,hf/6-31g*,1.0,0.0,H,hf,9,[H:9][C:3](=[O:4])[N:2]([H:8])[C:1]([H:5])([H:6])[H:7],,
0,-0.10782896328087196,RESP2,hf/6-31g*,1.0,0.05,C,hf,1,[H:9][C:3](=[O:4])[N:2]([H:8])[C:1]([H:5])([H:6])[H:7],,
1,-0.49808389143930043,RESP2,hf/6-31g*,1.0,0.05,N,hf,2,[H:9][C:3](=[O:4])[N:2]([H:8])[C:1]([H:5])([H:6])[H:7],,
2,0.5707691965461682,RESP2,hf/6-31g*,1.0,0.05,C,hf,3,[H:9][C:3](=[O:4])[N:2]([H:8])[C:1]([H:5])([H:6])[H:7],,
