,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,0.24369056656011023,0.24369056656011023,hf,1,gas,hf/6-31g*,1,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
1,-0.6828250596613767,-0.6828250596613767,hf,1,gas,hf/6-31g*,2,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
2,-0.017992319598508527,-0.017992319598508527,hf,1,gas,hf/6-31g*,3,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
3,0.04721733192837835,0.04721733192837835,hf,1,gas,hf/6-31g*,4,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
4,-0.01759792365183708,-0.01759792365183708,hf,1,gas,hf/6-31g*,5,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
5,0.428563139379259,0.428563139379259,hf,1,gas,hf/6-31g*,6,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
0,0.20373232452792972,0.20373232452792972,resp2,1,gas,hf/6-31g*,1,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
1,-0.6776073674262848,-0.6776073674262848,resp2,1,gas,hf/6-31g*,2,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
2,-0.00650304811395699,-0.00650304811395699,resp2,1,gas,hf/6-31g*,3,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
3,0.057794339481099834,0.057794339481099834,resp2,1,gas,hf/6-31g*,4,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
4,-0.006516459663573199,-0.006516459663573199,resp2,1,gas,hf/6-31g*,5,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
5,0.43019758395241453,0.43019758395241453,resp2,1,gas,hf/6-31g*,6,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
0,0.24369056656000965,0.24369056656000965,hf,,gas,hf/6-31g*,1,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
1,-0.6828250596613485,-0.6828250596613485,hf,,gas,hf/6-31g*,2,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
2,-0.01799231959848086,-0.01799231959848086,hf,,gas,hf/6-31g*,3,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
3,0.047217331928402384,0.047217331928402384,hf,,gas,hf/6-31g*,4,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
4,-0.017597923651810326,-0.017597923651810326,hf,,gas,hf/6-31g*,5,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
5,0.4285631393792533,0.4285631393792533,hf,,gas,hf/6-31g*,6,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
0,0.2037323245278826,0.2037323245278826,resp2,,gas,hf/6-31g*,1,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
1,-0.6776073674262952,-0.6776073674262952,resp2,,gas,hf/6-31g*,2,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
2,-0.006503048113946956,-0.006503048113946956,resp2,,gas,hf/6-31g*,3,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
3,0.057794339481121094,0.057794339481121094,resp2,,gas,hf/6-31g*,4,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
4,-0.006516459663563595,-0.006516459663563595,resp2,,gas,hf/6-31g*,5,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
5,0.43019758395243135,0.43019758395243135,resp2,,gas,hf/6-31g*,6,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
0,0.2597485026607465,0.2597485026607465,hf,1,water,hf/6-31g*,1,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
1,-0.7488335961403384,-0.7488335961403384,hf,1,water,hf/6-31g*,2,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
2,-0.007424035019386523,-0.007424035019386523,hf,1,water,hf/6-31g*,3,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
3,0.03804499922531446,0.03804499922531446,hf,1,water,hf/6-31g*,4,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
4,-0.007006507226988573,-0.007006507226988573,hf,1,water,hf/6-31g*,5,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
5,0.46651923276059837,0.46651923276059837,hf,1,water,hf/6-31g*,6,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
0,0.2226219696995742,0.2226219696995742,resp2,1,water,hf/6-31g*,1,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
1,-0.7443184920858084,-0.7443184920858084,resp2,1,water,hf/6-31g*,2,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
2,0.0033693720264697117,0.0033693720264697117,resp2,1,water,hf/6-31g*,3,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
3,0.048047857882000035,0.048047857882000035,resp2,1,water,hf/6-31g*,4,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
4,0.0033579591536782027,0.0033579591536782027,resp2,1,water,hf/6-31g*,5,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
5,0.4680243934977645,0.4680243934977645,resp2,1,water,hf/6-31g*,6,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
0,0.25974850266086563,0.25974850266086563,hf,,water,hf/6-31g*,1,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
1,-0.7488335961403585,-0.7488335961403585,hf,,water,hf/6-31g*,2,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
2,-0.0074240350194175134,-0.0074240350194175134,hf,,water,hf/6-31g*,3,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
3,0.0380449992252796,0.0380449992252796,hf,,water,hf/6-31g*,4,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
4,-0.007006507227017604,-0.007006507227017604,hf,,water,hf/6-31g*,5,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
5,0.4665192327605935,0.4665192327605935,hf,,water,hf/6-31g*,6,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
0,0.2226219697001625,0.2226219697001625,resp2,,water,hf/6-31g*,1,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
1,-0.7443184920859357,-0.7443184920859357,resp2,,water,hf/6-31g*,2,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
2,0.0033693720263119494,0.0033693720263119494,resp2,,water,hf/6-31g*,3,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
3,0.04804785788184916,0.04804785788184916,resp2,,water,hf/6-31g*,4,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
4,0.0033579591535257414,0.0033579591535257414,resp2,,water,hf/6-31g*,5,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
5,0.46802439349776326,0.46802439349776326,resp2,,water,hf/6-31g*,6,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
0,0.15722085099528316,0.15722085099528316,hf,1,gas,b3lyp-d3bj/dzvp,1,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
1,-0.6443713371320433,-0.6443713371320433,hf,1,gas,b3lyp-d3bj/dzvp,2,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
2,0.0015659139042432794,0.0015659139042432794,hf,1,gas,b3lyp-d3bj/dzvp,3,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
3,0.06802589111793894,0.06802589111793894,hf,1,gas,b3lyp-d3bj/dzvp,4,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
4,0.0018063748043127483,0.0018063748043127483,hf,1,gas,b3lyp-d3bj/dzvp,5,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
5,0.4176777485224854,0.4176777485224854,hf,1,gas,b3lyp-d3bj/dzvp,6,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
0,0.10171782468121666,0.10171782468121666,resp2,1,gas,b3lyp-d3bj/dzvp,1,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
1,-0.6377663250057329,-0.6377663250057329,resp2,1,gas,b3lyp-d3bj/dzvp,2,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
2,0.0170615434654109,0.0170615434654109,resp2,1,gas,b3lyp-d3bj/dzvp,3,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
3,0.08311103375158663,0.08311103375158663,resp2,1,gas,b3lyp-d3bj/dzvp,4,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
4,0.01699203988359191,0.01699203988359191,resp2,1,gas,b3lyp-d3bj/dzvp,5,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
5,0.42058418550120025,0.42058418550120025,resp2,1,gas,b3lyp-d3bj/dzvp,6,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
0,0.1572208509955316,0.1572208509955316,hf,,gas,b3lyp-d3bj/dzvp,1,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
1,-0.6443713371320995,-0.6443713371320995,hf,,gas,b3lyp-d3bj/dzvp,2,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
2,0.0015659139041769032,0.0015659139041769032,hf,,gas,b3lyp-d3bj/dzvp,3,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
3,0.0680258911178784,0.0680258911178784,hf,,gas,b3lyp-d3bj/dzvp,4,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
4,0.0018063748042449236,0.0018063748042449236,hf,,gas,b3lyp-d3bj/dzvp,5,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
5,0.41767774852248674,0.41767774852248674,hf,,gas,b3lyp-d3bj/dzvp,6,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
0,0.10171782468096814,0.10171782468096814,resp2,,gas,b3lyp-d3bj/dzvp,1,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
1,-0.6377663250056842,-0.6377663250056842,resp2,,gas,b3lyp-d3bj/dzvp,2,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
2,0.017061543465475233,0.017061543465475233,resp2,,gas,b3lyp-d3bj/dzvp,3,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
3,0.08311103375165411,0.08311103375165411,resp2,,gas,b3lyp-d3bj/dzvp,4,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
4,0.01699203988365665,0.01699203988365665,resp2,,gas,b3lyp-d3bj/dzvp,5,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
5,0.42058418550120424,0.42058418550120424,resp2,,gas,b3lyp-d3bj/dzvp,6,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
0,0.18558158051235846,0.18558158051235846,hf,1,water,b3lyp-d3bj/dzvp,1,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
1,-0.7233853358087552,-0.7233853358087552,hf,1,water,b3lyp-d3bj/dzvp,2,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
2,0.010061317136926522,0.010061317136926522,hf,1,water,b3lyp-d3bj/dzvp,3,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
3,0.05659006476561895,0.05659006476561895,hf,1,water,b3lyp-d3bj/dzvp,4,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
4,0.010339405872907874,0.010339405872907874,hf,1,water,b3lyp-d3bj/dzvp,5,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
5,0.4627543634234132,0.4627543634234132,hf,1,water,b3lyp-d3bj/dzvp,6,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
0,0.13276694420248206,0.13276694420248206,resp2,1,water,b3lyp-d3bj/dzvp,1,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
1,-0.7176857514582404,-0.7176857514582404,resp2,1,water,b3lyp-d3bj/dzvp,2,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
2,0.024886035258356528,0.024886035258356528,resp2,1,water,b3lyp-d3bj/dzvp,3,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
3,0.07123174325385809,0.07123174325385809,resp2,1,water,b3lyp-d3bj/dzvp,4,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
4,0.02484006931570512,0.02484006931570512,resp2,1,water,b3lyp-d3bj/dzvp,5,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
5,0.46567833876866743,0.46567833876866743,resp2,1,water,b3lyp-d3bj/dzvp,6,CO,[H:3][C:1]([H:4])([H:5])[O:2][H:6]
