,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,0.243514610734106,RESP2,hf/6-31g*,1.0,0.0,C,hf,1,[H:3][C:1]([H:4])([H:5])[O:2][H:6],,
1,-0.6830010154873809,RESP2,hf/6-31g*,1.0,0.0,O,hf,2,[H:3][C:1]([H:4])([H:5])[O:2][H:6],,
2,-0.0181682754245127,RESP2,hf/6-31g*,1.0,0.0,H,hf,3,[H:3][C:1]([H:4])([H:5])[O:2][H:6],,
3,0.0470413761023741,RESP2,hf/6-31g*,1.0,0.0,H,hf,4,[H:3][C:1]([H:4])([H:5])[O:2][H:6],,
4,-0.0177738794778412,RESP2,hf/6-31g*,1.0,0.0,H,hf,5,[H:3][C:1]([H:4])([H:5])[O:2][H:6],,
5,0.4283871835532548,RESP2,hf/6-31g*,1.0,0.0,H,hf,6,[H:3][C:1]([H:4])([H:5])[O:2][H:6],,
0,0.2443175670282718,RESP2,hf/6-31g*,1.0,0.05,C,hf,1,[H:3][C:1]([H:4])([H:5])[O:2][H:6],,
1,-0.686301382822195,RESP2,hf/6-31g*,1.0,0.05,O,hf,2,[H:3][C:1]([H:4])([H:5])[O:2][H:6],,
2,-0.0176398017064226,RESP2,hf/6-31g*,1.0,0.05,H,hf,3,[H:3][C:1]([H:4])([H:5])[O:2][H:6],,
3,0.0465828189563549,RESP2,hf/6-31g*,1.0,0.05,H,hf,4,[H:3][C:1]([H:4])([H:5])[O:2][H:6],,
4,-0.0172442491674648,RESP2,hf/6-31g*,1.0,0.05,H,hf,5,[H:3][C:1]([H:4])([H:5])[O:2][H:6],,
5,0.4302850477114557,RESP2,hf/6-31g*,1.0,0.05,H,hf,6,[H:3][C:1]([H:4])([H:5])[O:2][H:6],,
0,0.2451205233224376,RESP2,hf/6-31g*,1.0,0.1,C,hf,1,[H:3][C:1]([H:4])([H:5])[O:2][H:6],,
1,-0.6896017501570092,RESP2,hf/6-31g*,1.0,0.1,O,hf,2,[H:3][C:1]([H:4])([H:5])[O:2][H:6],,
