,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,0.013833428856493177,0.013833428856493177,hf,1,gas,hf/6-31g*,1,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
1,-0.23141166856183676,-0.23141166856183676,hf,1,gas,hf/6-31g*,2,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
2,-0.44324766476344873,-0.44324766476344873,hf,1,gas,hf/6-31g*,3,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
3,0.051952985362172105,0.051952985362172105,hf,1,gas,hf/6-31g*,4,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
4,0.07940057649845808,0.07940057649845808,hf,1,gas,hf/6-31g*,5,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
5,0.09583737270907872,0.09583737270907872,hf,1,gas,hf/6-31g*,6,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
6,0.43554514028646624,0.43554514028646624,hf,1,gas,hf/6-31g*,7,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
0,-0.03259313259212924,-0.03259313259212924,resp2,1,gas,hf/6-31g*,1,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
1,-0.22433807604759398,-0.22433807604759398,resp2,1,gas,hf/6-31g*,2,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
2,-0.4429460348667345,-0.4429460348667345,resp2,1,gas,hf/6-31g*,3,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
3,0.0645199320831651,0.0645199320831651,resp2,1,gas,hf/6-31g*,4,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
4,0.09246669378698373,0.09246669378698373,resp2,1,gas,hf/6-31g*,5,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
5,0.1081947666000661,0.1081947666000661,resp2,1,gas,hf/6-31g*,6,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
6,0.4363561705187172,0.4363561705187172,resp2,1,gas,hf/6-31g*,7,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
0,0.013833428856493963,0.013833428856493963,hf,,gas,hf/6-31g*,1,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
1,-0.23141166856183942,-0.23141166856183942,hf,,gas,hf/6-31g*,2,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
2,-0.44324766476345956,-0.44324766476345956,hf,,gas,hf/6-31g*,3,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
3,0.05195298536217103,0.05195298536217103,hf,,gas,hf/6-31g*,4,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
4,0.07940057649845897,0.07940057649845897,hf,,gas,hf/6-31g*,5,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
5,0.09583737270908127,0.09583737270908127,hf,,gas,hf/6-31g*,6,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
6,0.43554514028647656,0.43554514028647656,hf,,gas,hf/6-31g*,7,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
0,-0.032593132592255054,-0.032593132592255054,resp2,,gas,hf/6-31g*,1,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
1,-0.2243380760475719,-0.2243380760475719,resp2,,gas,hf/6-31g*,2,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
2,-0.44294603486672474,-0.44294603486672474,resp2,,gas,hf/6-31g*,3,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
3,0.06451993208319926,0.06451993208319926,resp2,,gas,hf/6-31g*,4,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
4,0.09246669378702035,0.09246669378702035,resp2,,gas,hf/6-31g*,5,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
5,0.10819476660009457,0.10819476660009457,resp2,,gas,hf/6-31g*,6,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
6,0.4363561705187121,0.4363561705187121,resp2,,gas,hf/6-31g*,7,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
0,0.02424256381042213,0.02424256381042213,hf,1,water,hf/6-31g*,1,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
1,-0.26101703204305643,-0.26101703204305643,hf,1,water,hf/6-31g*,2,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
2,-0.48467089658958173,-0.48467089658958173,hf,1,water,hf/6-31g*,3,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
3,0.06792982840924808,0.06792982840924808,hf,1,water,hf/6-31g*,4,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
4,0.08634116163737647,0.08634116163737647,hf,1,water,hf/6-31g*,5,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
5,0.09307649513174326,0.09307649513174326,hf,1,water,hf/6-31g*,6,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
6,0.4760378145491508,0.4760378145491508,hf,1,water,hf/6-31g*,7,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
0,-0.01816027055991037,-0.01816027055991037,resp2,1,water,hf/6-31g*,1,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
1,-0.2549176088320444,-0.2549176088320444,resp2,1,water,hf/6-31g*,2,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
2,-0.4844860460731717,-0.4844860460731717,resp2,1,water,hf/6-31g*,3,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
3,0.07932105723998632,0.07932105723998632,resp2,1,water,hf/6-31g*,4,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
4,0.09851991870640814,0.09851991870640814,resp2,1,water,hf/6-31g*,5,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
5,0.1045474128065915,0.1045474128065915,resp2,1,water,hf/6-31g*,6,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
6,0.47686528116094495,0.47686528116094495,resp2,1,water,hf/6-31g*,7,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
0,0.024242563809854855,0.024242563809854855,hf,,water,hf/6-31g*,1,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
1,-0.261017032042943,-0.261017032042943,hf,,water,hf/6-31g*,2,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
2,-0.48467089658958323,-0.48467089658958323,hf,,water,hf/6-31g*,3,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
3,0.0679298284094043,0.0679298284094043,hf,,water,hf/6-31g*,4,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
4,0.08634116163752435,0.08634116163752435,hf,,water,hf/6-31g*,5,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
5,0.09307649513189559,0.09307649513189559,hf,,water,hf/6-31g*,6,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
6,0.4760378145491517,0.4760378145491517,hf,,water,hf/6-31g*,7,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
0,-0.018160270559525758,-0.018160270559525758,resp2,,water,hf/6-31g*,1,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
1,-0.2549176088321205,-0.2549176088321205,resp2,,water,hf/6-31g*,2,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
2,-0.4844860460731838,-0.4844860460731838,resp2,,water,hf/6-31g*,3,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
3,0.07932105723988252,0.07932105723988252,resp2,,water,hf/6-31g*,4,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
4,0.09851991870630691,0.09851991870630691,resp2,,water,hf/6-31g*,5,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
5,0.10454741280649092,0.10454741280649092,resp2,,water,hf/6-31g*,6,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
6,0.4768652811609536,0.4768652811609536,resp2,,water,hf/6-31g*,7,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
0,-0.03159578760279707,-0.03159578760279707,hf,1,gas,b3lyp-d3bj/dzvp,1,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
1,-0.2133317503506886,-0.2133317503506886,hf,1,gas,b3lyp-d3bj/dzvp,2,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
2,-0.42499829682176044,-0.42499829682176044,hf,1,gas,b3lyp-d3bj/dzvp,3,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
3,0.05814162968376144,0.05814162968376144,hf,1,gas,b3lyp-d3bj/dzvp,4,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
4,0.09399715927279281,0.09399715927279281,hf,1,gas,b3lyp-d3bj/dzvp,5,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
5,0.10474417928897431,0.10474417928897431,hf,1,gas,b3lyp-d3bj/dzvp,6,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
6,0.41586029916686407,0.41586029916686407,hf,1,gas,b3lyp-d3bj/dzvp,7,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
0,-0.08807897456312365,-0.08807897456312365,resp2,1,gas,b3lyp-d3bj/dzvp,1,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
1,-0.20563515890165357,-0.20563515890165357,resp2,1,gas,b3lyp-d3bj/dzvp,2,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
2,-0.42664317148983677,-0.42664317148983677,resp2,1,gas,b3lyp-d3bj/dzvp,3,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
3,0.07396839329652011,0.07396839329652011,resp2,1,gas,b3lyp-d3bj/dzvp,4,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
4,0.10957487827740717,0.10957487827740717,resp2,1,gas,b3lyp-d3bj/dzvp,5,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
5,0.12031646465489873,0.12031646465489873,resp2,1,gas,b3lyp-d3bj/dzvp,6,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
6,0.4186799683531083,0.4186799683531083,resp2,1,gas,b3lyp-d3bj/dzvp,7,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
0,-0.03159578760243568,-0.03159578760243568,hf,,gas,b3lyp-d3bj/dzvp,1,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
1,-0.21333175035076182,-0.21333175035076182,hf,,gas,b3lyp-d3bj/dzvp,2,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
2,-0.4249982968217607,-0.4249982968217607,hf,,gas,b3lyp-d3bj/dzvp,3,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
3,0.05814162968366441,0.05814162968366441,hf,,gas,b3lyp-d3bj/dzvp,4,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
4,0.09399715927269911,0.09399715927269911,hf,,gas,b3lyp-d3bj/dzvp,5,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
5,0.10474417928887539,0.10474417928887539,hf,,gas,b3lyp-d3bj/dzvp,6,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
6,0.41586029916686434,0.41586029916686434,hf,,gas,b3lyp-d3bj/dzvp,7,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
0,-0.088078974562565,-0.088078974562565,resp2,,gas,b3lyp-d3bj/dzvp,1,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
1,-0.20563515890177392,-0.20563515890177392,resp2,,gas,b3lyp-d3bj/dzvp,2,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
2,-0.4266431714898285,-0.4266431714898285,resp2,,gas,b3lyp-d3bj/dzvp,3,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
3,0.0739683932963701,0.0739683932963701,resp2,,gas,b3lyp-d3bj/dzvp,4,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
4,0.1095748782772662,0.1095748782772662,resp2,,gas,b3lyp-d3bj/dzvp,5,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
5,0.12031646465474659,0.12031646465474659,resp2,,gas,b3lyp-d3bj/dzvp,6,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
6,0.41867996835310406,0.41867996835310406,resp2,,gas,b3lyp-d3bj/dzvp,7,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
0,-0.005293511875819261,-0.005293511875819261,hf,1,water,b3lyp-d3bj/dzvp,1,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
1,-0.24232525813714334,-0.24232525813714334,hf,1,water,b3lyp-d3bj/dzvp,2,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
2,-0.46232064651071825,-0.46232064651071825,hf,1,water,b3lyp-d3bj/dzvp,3,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
3,0.07366551101613181,0.07366551101613181,hf,1,water,b3lyp-d3bj/dzvp,4,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
4,0.09636255979260042,0.09636255979260042,hf,1,water,b3lyp-d3bj/dzvp,5,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
5,0.09745186975433606,0.09745186975433606,hf,1,water,b3lyp-d3bj/dzvp,6,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
6,0.4453241433957359,0.4453241433957359,hf,1,water,b3lyp-d3bj/dzvp,7,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
0,-0.05792261928343396,-0.05792261928343396,resp2,1,water,b3lyp-d3bj/dzvp,1,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
1,-0.23550922587637563,-0.23550922587637563,resp2,1,water,b3lyp-d3bj/dzvp,2,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
2,-0.4642448969030085,-0.4642448969030085,resp2,1,water,b3lyp-d3bj/dzvp,3,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
3,0.08838164151664377,0.08838164151664377,resp2,1,water,b3lyp-d3bj/dzvp,4,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
4,0.11103600701107509,0.11103600701107509,resp2,1,water,b3lyp-d3bj/dzvp,5,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
5,0.1122188142266363,0.1122188142266363,resp2,1,water,b3lyp-d3bj/dzvp,6,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
6,0.4482543618770238,0.4482543618770238,resp2,1,water,b3lyp-d3bj/dzvp,7,COO,[H:4][C:1]([H:5])([H:6])[O:2][O:3][H:7]
