,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,0.0566494293550205,0.0566494293550205,hf,1,gas,hf/6-31g*,1,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
1,-0.42297319820415485,-0.42297319820415485,hf,1,gas,hf/6-31g*,2,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
2,0.4802268195488611,0.4802268195488611,hf,1,gas,hf/6-31g*,3,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
3,-0.29810539430773947,-0.29810539430773947,hf,1,gas,hf/6-31g*,4,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
4,-0.31682028726251843,-0.31682028726251843,hf,1,gas,hf/6-31g*,5,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
5,0.38540948699660615,0.38540948699660615,hf,1,gas,hf/6-31g*,6,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
6,-0.9140507659751183,-0.9140507659751183,hf,1,gas,hf/6-31g*,7,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
7,-0.218293175799462,-0.218293175799462,hf,1,gas,hf/6-31g*,8,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
8,-0.37278608141882813,-0.37278608141882813,hf,1,gas,hf/6-31g*,9,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
9,0.03195210025948193,0.03195210025948193,hf,1,gas,hf/6-31g*,10,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
10,0.08101618495507858,0.08101618495507858,hf,1,gas,hf/6-31g*,11,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
11,0.04530312672330288,0.04530312672330288,hf,1,gas,hf/6-31g*,12,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
12,0.16882097093990361,0.16882097093990361,hf,1,gas,hf/6-31g*,13,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
13,0.1930052786768631,0.1930052786768631,hf,1,gas,hf/6-31g*,14,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
14,0.36119273926213613,0.36119273926213613,hf,1,gas,hf/6-31g*,15,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
15,0.3696904826213114,0.3696904826213114,hf,1,gas,hf/6-31g*,16,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
16,0.1799767828609159,0.1799767828609159,hf,1,gas,hf/6-31g*,17,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
17,0.19261070919138756,0.19261070919138756,hf,1,gas,hf/6-31g*,18,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
0,0.056649429354815456,0.056649429354815456,hf,,gas,hf/6-31g*,1,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
1,-0.4229731982039328,-0.4229731982039328,hf,,gas,hf/6-31g*,2,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
2,0.4802268195485464,0.4802268195485464,hf,,gas,hf/6-31g*,3,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
3,-0.2981053943080504,-0.2981053943080504,hf,,gas,hf/6-31g*,4,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
4,-0.3168202872615272,-0.3168202872615272,hf,,gas,hf/6-31g*,5,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
5,0.38540948699597166,0.38540948699597166,hf,,gas,hf/6-31g*,6,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
6,-0.9140507659749738,-0.9140507659749738,hf,,gas,hf/6-31g*,7,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
7,-0.2182931757993897,-0.2182931757993897,hf,,gas,hf/6-31g*,8,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
8,-0.37278608141860803,-0.37278608141860803,hf,,gas,hf/6-31g*,9,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
9,0.03195210025956093,0.03195210025956093,hf,,gas,hf/6-31g*,10,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
10,0.08101618495508925,0.08101618495508925,hf,,gas,hf/6-31g*,11,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
11,0.04530312672337345,0.04530312672337345,hf,,gas,hf/6-31g*,12,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
12,0.16882097093994416,0.16882097093994416,hf,,gas,hf/6-31g*,13,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
13,0.19300527867654868,0.19300527867654868,hf,,gas,hf/6-31g*,14,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
14,0.36119273926212914,0.36119273926212914,hf,,gas,hf/6-31g*,15,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
15,0.36969048262130666,0.36969048262130666,hf,,gas,hf/6-31g*,16,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
16,0.17997678286094687,0.17997678286094687,hf,,gas,hf/6-31g*,17,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
17,0.19261070919129808,0.19261070919129808,hf,,gas,hf/6-31g*,18,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
0,-0.07220047856636702,-0.07220047856636702,resp2,1,gas,hf/6-31g*,1,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
1,-0.39187258018907073,-0.39187258018907073,resp2,1,gas,hf/6-31g*,2,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
2,0.5000328872943978,0.5000328872943978,resp2,1,gas,hf/6-31g*,3,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
3,-0.3114766969112131,-0.3114766969112131,resp2,1,gas,hf/6-31g*,4,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
4,-0.30983374909043854,-0.30983374909043854,resp2,1,gas,hf/6-31g*,5,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
5,0.35535435715044345,0.35535435715044345,resp2,1,gas,hf/6-31g*,6,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
6,-0.9153275933421183,-0.9153275933421183,resp2,1,gas,hf/6-31g*,7,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
7,-0.18398489786591704,-0.18398489786591704,resp2,1,gas,hf/6-31g*,8,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
8,-0.4156169206878238,-0.4156169206878238,resp2,1,gas,hf/6-31g*,9,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
9,0.06557372227513535,0.06557372227513535,resp2,1,gas,hf/6-31g*,10,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
10,0.11319804776360781,0.11319804776360781,resp2,1,gas,hf/6-31g*,11,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
11,0.07936977733164141,0.07936977733164141,resp2,1,gas,hf/6-31g*,12,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
12,0.1731310154906646,0.1731310154906646,resp2,1,gas,hf/6-31g*,13,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
13,0.1960155995072206,0.1960155995072206,resp2,1,gas,hf/6-31g*,14,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
14,0.3651725792784832,0.3651725792784832,resp2,1,gas,hf/6-31g*,15,COc1ccc(N)cc1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:8]([c:6]1[N:7]([H:15])[H:16])[H:17])[H:18])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
