,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.08087192139164723,-0.08087192139164723,hf,1,gas,hf/6-31g*,1,COc1cccc(F)c1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:7]([c:6]1[H:15])[F:8])[H:16])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
1,-0.3280934848574292,-0.3280934848574292,hf,1,gas,hf/6-31g*,2,COc1cccc(F)c1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:7]([c:6]1[H:15])[F:8])[H:16])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
2,0.5267897257088274,0.5267897257088274,hf,1,gas,hf/6-31g*,3,COc1cccc(F)c1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:7]([c:6]1[H:15])[F:8])[H:16])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
3,-0.44548945651231486,-0.44548945651231486,hf,1,gas,hf/6-31g*,4,COc1cccc(F)c1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:7]([c:6]1[H:15])[F:8])[H:16])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
4,0.052714685604072775,0.052714685604072775,hf,1,gas,hf/6-31g*,5,COc1cccc(F)c1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:7]([c:6]1[H:15])[F:8])[H:16])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
5,-0.5077159032863416,-0.5077159032863416,hf,1,gas,hf/6-31g*,6,COc1cccc(F)c1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:7]([c:6]1[H:15])[F:8])[H:16])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
6,0.5618390346870209,0.5618390346870209,hf,1,gas,hf/6-31g*,7,COc1cccc(F)c1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:7]([c:6]1[H:15])[F:8])[H:16])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
7,-0.23641860831738779,-0.23641860831738779,hf,1,gas,hf/6-31g*,8,COc1cccc(F)c1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:7]([c:6]1[H:15])[F:8])[H:16])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
8,-0.5556032855845201,-0.5556032855845201,hf,1,gas,hf/6-31g*,9,COc1cccc(F)c1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:7]([c:6]1[H:15])[F:8])[H:16])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
9,0.08507605759231417,0.08507605759231417,hf,1,gas,hf/6-31g*,10,COc1cccc(F)c1,[H:14][c:5]1[c:4]([c:3]([c:9]([c:7]([c:6]1[H:15])[F:8])[H:16])[O:2][C:1]([H:10])([H:11])[H:12])[H:13]
