,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.05702336905857233,RESP2,hf/6-31g*,1.0,0.0,C,hf,1,[H:14][c:5]1[c:6]([c:7]([c:9]([c:3]([c:4]1[H:13])[O:2][C:1]([H:10])([H:11])[H:12])[H:18])[N:8]([H:16])[H:17])[H:15],,
1,-0.329089134431862,RESP2,hf/6-31g*,1.0,0.0,O,hf,2,[H:14][c:5]1[c:6]([c:7]([c:9]([c:3]([c:4]1[H:13])[O:2][C:1]([H:10])([H:11])[H:12])[H:18])[N:8]([H:16])[H:17])[H:15],,
2,0.4958066453914608,RESP2,hf/6-31g*,1.0,0.0,C,hf,3,[H:14][c:5]1[c:6]([c:7]([c:9]([c:3]([c:4]1[H:13])[O:2][C:1]([H:10])([H:11])[H:12])[H:18])[N:8]([H:16])[H:17])[H:15],,
3,-0.4382614469290292,RESP2,hf/6-31g*,1.0,0.0,C,hf,4,[H:14][c:5]1[c:6]([c:7]([c:9]([c:3]([c:4]1[H:13])[O:2][C:1]([H:10])([H:11])[H:12])[H:18])[N:8]([H:16])[H:17])[H:15],,
4,0.04209315858687907,RESP2,hf/6-31g*,1.0,0.0,C,hf,5,[H:14][c:5]1[c:6]([c:7]([c:9]([c:3]([c:4]1[H:13])[O:2][C:1]([H:10])([H:11])[H:12])[H:18])[N:8]([H:16])[H:17])[H:15],,
5,-0.5346571722561003,RESP2,hf/6-31g*,1.0,0.0,C,hf,6,[H:14][c:5]1[c:6]([c:7]([c:9]([c:3]([c:4]1[H:13])[O:2][C:1]([H:10])([H:11])[H:12])[H:18])[N:8]([H:16])[H:17])[H:15],,
6,0.6166648779840543,RESP2,hf/6-31g*,1.0,0.0,C,hf,7,[H:14][c:5]1[c:6]([c:7]([c:9]([c:3]([c:4]1[H:13])[O:2][C:1]([H:10])([H:11])[H:12])[H:18])[N:8]([H:16])[H:17])[H:15],,
7,-0.9339842454840463,RESP2,hf/6-31g*,1.0,0.0,N,hf,8,[H:14][c:5]1[c:6]([c:7]([c:9]([c:3]([c:4]1[H:13])[O:2][C:1]([H:10])([H:11])[H:12])[H:18])[N:8]([H:16])[H:17])[H:15],,
8,-0.5644488817080734,RESP2,hf/6-31g*,1.0,0.0,C,hf,9,[H:14][c:5]1[c:6]([c:7]([c:9]([c:3]([c:4]1[H:13])[O:2][C:1]([H:10])([H:11])[H:12])[H:18])[N:8]([H:16])[H:17])[H:15],,
9,0.08738834475861748,RESP2,hf/6-31g*,1.0,0.0,H,hf,10,[H:14][c:5]1[c:6]([c:7]([c:9]([c:3]([c:4]1[H:13])[O:2][C:1]([H:10])([H:11])[H:12])[H:18])[N:8]([H:16])[H:17])[H:15],,
10,0.0784569511172716,RESP2,hf/6-31g*,1.0,0.0,H,hf,11,[H:14][c:5]1[c:6]([c:7]([c:9]([c:3]([c:4]1[H:13])[O:2][C:1]([H:10])([H:11])[H:12])[H:18])[N:8]([H:16])[H:17])[H:15],,
11,0.08073083872591783,RESP2,hf/6-31g*,1.0,0.0,H,hf,12,[H:14][c:5]1[c:6]([c:7]([c:9]([c:3]([c:4]1[H:13])[O:2][C:1]([H:10])([H:11])[H:12])[H:18])[N:8]([H:16])[H:17])[H:15],,
12,0.16446233847893865,RESP2,hf/6-31g*,1.0,0.0,H,hf,13,[H:14][c:5]1[c:6]([c:7]([c:9]([c:3]([c:4]1[H:13])[O:2][C:1]([H:10])([H:11])[H:12])[H:18])[N:8]([H:16])[H:17])[H:15],,
13,0.1355332404458397,RESP2,hf/6-31g*,1.0,0.0,H,hf,14,[H:14][c:5]1[c:6]([c:7]([c:9]([c:3]([c:4]1[H:13])[O:2][C:1]([H:10])([H:11])[H:12])[H:18])[N:8]([H:16])[H:17])[H:15],,
14,0.21016067579341113,RESP2,hf/6-31g*,1.0,0.0,H,hf,15,[H:14][c:5]1[c:6]([c:7]([c:9]([c:3]([c:4]1[H:13])[O:2][C:1]([H:10])([H:11])[H:12])[H:18])[N:8]([H:16])[H:17])[H:15],,
15,0.37450860226666255,RESP2,hf/6-31g*,1.0,0.0,H,hf,16,[H:14][c:5]1[c:6]([c:7]([c:9]([c:3]([c:4]1[H:13])[O:2][C:1]([H:10])([H:11])[H:12])[H:18])[N:8]([H:16])[H:17])[H:15],,
16,0.3741776180702708,RESP2,hf/6-31g*,1.0,0.0,H,hf,17,[H:14][c:5]1[c:6]([c:7]([c:9]([c:3]([c:4]1[H:13])[O:2][C:1]([H:10])([H:11])[H:12])[H:18])[N:8]([H:16])[H:17])[H:15],,
17,0.19748095824836,RESP2,hf/6-31g*,1.0,0.0,H,hf,18,[H:14][c:5]1[c:6]([c:7]([c:9]([c:3]([c:4]1[H:13])[O:2][C:1]([H:10])([H:11])[H:12])[H:18])[N:8]([H:16])[H:17])[H:15],,
0,-0.05137854267308648,RESP2,hf/6-31g*,1.0,0.05,C,hf,1,[H:14][c:5]1[c:6]([c:7]([c:9]([c:3]([c:4]1[H:13])[O:2][C:1]([H:10])([H:11])[H:12])[H:18])[N:8]([H:16])[H:17])[H:15],,
1,-0.3343969922367971,RESP2,hf/6-31g*,1.0,0.05,O,hf,2,[H:14][c:5]1[c:6]([c:7]([c:9]([c:3]([c:4]1[H:13])[O:2][C:1]([H:10])([H:11])[H:12])[H:18])[N:8]([H:16])[H:17])[H:15],,
2,0.4999337535940056,RESP2,hf/6-31g*,1.0,0.05,C,hf,3,[H:14][c:5]1[c:6]([c:7]([c:9]([c:3]([c:4]1[H:13])[O:2][C:1]([H:10])([H:11])[H:12])[H:18])[N:8]([H:16])[H:17])[H:15],,
3,-0.4416174065053405,RESP2,hf/6-31g*,1.0,0.05,C,hf,4,[H:14][c:5]1[c:6]([c:7]([c:9]([c:3]([c:4]1[H:13])[O:2][C:1]([H:10])([H:11])[H:12])[H:18])[N:8]([H:16])[H:17])[H:15],,
