,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.6501200588683895,RESP2,hf/6-31g*,1.0,0.0,C,hf,1,[H:16][c:8]1[c:7]([c:6]([c:5]([c:10]([c:9]1[H:17])[H:18])[S:2](=[O:3])(=[O:4])[C:1]([H:11])([H:12])[H:13])[H:14])[H:15],,
1,1.191579778693772,RESP2,hf/6-31g*,1.0,0.0,S,hf,2,[H:16][c:8]1[c:7]([c:6]([c:5]([c:10]([c:9]1[H:17])[H:18])[S:2](=[O:3])(=[O:4])[C:1]([H:11])([H:12])[H:13])[H:14])[H:15],,
2,-0.5989629058857193,RESP2,hf/6-31g*,1.0,0.0,O,hf,3,[H:16][c:8]1[c:7]([c:6]([c:5]([c:10]([c:9]1[H:17])[H:18])[S:2](=[O:3])(=[O:4])[C:1]([H:11])([H:12])[H:13])[H:14])[H:15],,
3,-0.597464334145507,RESP2,hf/6-31g*,1.0,0.0,O,hf,4,[H:16][c:8]1[c:7]([c:6]([c:5]([c:10]([c:9]1[H:17])[H:18])[S:2](=[O:3])(=[O:4])[C:1]([H:11])([H:12])[H:13])[H:14])[H:15],,
4,-0.16818353973800557,RESP2,hf/6-31g*,1.0,0.0,C,hf,5,[H:16][c:8]1[c:7]([c:6]([c:5]([c:10]([c:9]1[H:17])[H:18])[S:2](=[O:3])(=[O:4])[C:1]([H:11])([H:12])[H:13])[H:14])[H:15],,
5,-0.05596745671843839,RESP2,hf/6-31g*,1.0,0.0,C,hf,6,[H:16][c:8]1[c:7]([c:6]([c:5]([c:10]([c:9]1[H:17])[H:18])[S:2](=[O:3])(=[O:4])[C:1]([H:11])([H:12])[H:13])[H:14])[H:15],,
6,-0.16686025687322462,RESP2,hf/6-31g*,1.0,0.0,C,hf,7,[H:16][c:8]1[c:7]([c:6]([c:5]([c:10]([c:9]1[H:17])[H:18])[S:2](=[O:3])(=[O:4])[C:1]([H:11])([H:12])[H:13])[H:14])[H:15],,
7,-0.07866481829610758,RESP2,hf/6-31g*,1.0,0.0,C,hf,8,[H:16][c:8]1[c:7]([c:6]([c:5]([c:10]([c:9]1[H:17])[H:18])[S:2](=[O:3])(=[O:4])[C:1]([H:11])([H:12])[H:13])[H:14])[H:15],,
8,-0.1614069445165009,RESP2,hf/6-31g*,1.0,0.0,C,hf,9,[H:16][c:8]1[c:7]([c:6]([c:5]([c:10]([c:9]1[H:17])[H:18])[S:2](=[O:3])(=[O:4])[C:1]([H:11])([H:12])[H:13])[H:14])[H:15],,
9,-0.06672492590150535,RESP2,hf/6-31g*,1.0,0.0,C,hf,10,[H:16][c:8]1[c:7]([c:6]([c:5]([c:10]([c:9]1[H:17])[H:18])[S:2](=[O:3])(=[O:4])[C:1]([H:11])([H:12])[H:13])[H:14])[H:15],,
