,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.5628320056959869,-0.5628320056959869,hf,1,gas,hf/6-31g*,1,CS(C)=O,[H:5][C:1]([H:6])([H:7])[S:2](=[O:4])[C:3]([H:8])([H:9])[H:10]
1,0.3654698282955019,0.3654698282955019,hf,1,gas,hf/6-31g*,2,CS(C)=O,[H:5][C:1]([H:6])([H:7])[S:2](=[O:4])[C:3]([H:8])([H:9])[H:10]
2,-0.5553168997115807,-0.5553168997115807,hf,1,gas,hf/6-31g*,3,CS(C)=O,[H:5][C:1]([H:6])([H:7])[S:2](=[O:4])[C:3]([H:8])([H:9])[H:10]
3,-0.4776564061273064,-0.4776564061273064,hf,1,gas,hf/6-31g*,4,CS(C)=O,[H:5][C:1]([H:6])([H:7])[S:2](=[O:4])[C:3]([H:8])([H:9])[H:10]
4,0.21126955165238645,0.21126955165238645,hf,1,gas,hf/6-31g*,5,CS(C)=O,[H:5][C:1]([H:6])([H:7])[S:2](=[O:4])[C:3]([H:8])([H:9])[H:10]
5,0.20811941295314282,0.20811941295314282,hf,1,gas,hf/6-31g*,6,CS(C)=O,[H:5][C:1]([H:6])([H:7])[S:2](=[O:4])[C:3]([H:8])([H:9])[H:10]
6,0.20157304522354028,0.20157304522354028,hf,1,gas,hf/6-31g*,7,CS(C)=O,[H:5][C:1]([H:6])([H:7])[S:2](=[O:4])[C:3]([H:8])([H:9])[H:10]
7,0.2079325443811405,0.2079325443811405,hf,1,gas,hf/6-31g*,8,CS(C)=O,[H:5][C:1]([H:6])([H:7])[S:2](=[O:4])[C:3]([H:8])([H:9])[H:10]
8,0.20770112313665792,0.20770112313665792,hf,1,gas,hf/6-31g*,9,CS(C)=O,[H:5][C:1]([H:6])([H:7])[S:2](=[O:4])[C:3]([H:8])([H:9])[H:10]
9,0.20014064134875212,0.20014064134875212,hf,1,gas,hf/6-31g*,10,CS(C)=O,[H:5][C:1]([H:6])([H:7])[S:2](=[O:4])[C:3]([H:8])([H:9])[H:10]
0,-0.5628320057011954,-0.5628320057011954,hf,,gas,hf/6-31g*,1,CS(C)=O,[H:5][C:1]([H:6])([H:7])[S:2](=[O:4])[C:3]([H:8])([H:9])[H:10]
1,0.3654698282867217,0.3654698282867217,hf,,gas,hf/6-31g*,2,CS(C)=O,[H:5][C:1]([H:6])([H:7])[S:2](=[O:4])[C:3]([H:8])([H:9])[H:10]
2,-0.5553168996814505,-0.5553168996814505,hf,,gas,hf/6-31g*,3,CS(C)=O,[H:5][C:1]([H:6])([H:7])[S:2](=[O:4])[C:3]([H:8])([H:9])[H:10]
3,-0.4776564061263936,-0.4776564061263936,hf,,gas,hf/6-31g*,4,CS(C)=O,[H:5][C:1]([H:6])([H:7])[S:2](=[O:4])[C:3]([H:8])([H:9])[H:10]
4,0.21126955166289765,0.21126955166289765,hf,,gas,hf/6-31g*,5,CS(C)=O,[H:5][C:1]([H:6])([H:7])[S:2](=[O:4])[C:3]([H:8])([H:9])[H:10]
5,0.20811941295324027,0.20811941295324027,hf,,gas,hf/6-31g*,6,CS(C)=O,[H:5][C:1]([H:6])([H:7])[S:2](=[O:4])[C:3]([H:8])([H:9])[H:10]
6,0.20157304521711875,0.20157304521711875,hf,,gas,hf/6-31g*,7,CS(C)=O,[H:5][C:1]([H:6])([H:7])[S:2](=[O:4])[C:3]([H:8])([H:9])[H:10]
7,0.20793254437089273,0.20793254437089273,hf,,gas,hf/6-31g*,8,CS(C)=O,[H:5][C:1]([H:6])([H:7])[S:2](=[O:4])[C:3]([H:8])([H:9])[H:10]
