,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.5210813694529356,-0.5210813694529356,hf,1,gas,hf/6-31g*,1,CS(N)(=O)=O,[H:6][C:1]([H:7])([H:8])[S:2](=[O:4])(=[O:5])[N:3]([H:9])[H:10]
1,0.5807607428474506,0.5807607428474506,hf,1,gas,hf/6-31g*,2,CS(N)(=O)=O,[H:6][C:1]([H:7])([H:8])[S:2](=[O:4])(=[O:5])[N:3]([H:9])[H:10]
2,-0.8343409841913153,-0.8343409841913153,hf,1,gas,hf/6-31g*,3,CS(N)(=O)=O,[H:6][C:1]([H:7])([H:8])[S:2](=[O:4])(=[O:5])[N:3]([H:9])[H:10]
3,-0.35756486996111736,-0.35756486996111736,hf,1,gas,hf/6-31g*,4,CS(N)(=O)=O,[H:6][C:1]([H:7])([H:8])[S:2](=[O:4])(=[O:5])[N:3]([H:9])[H:10]
4,-0.3805047590686517,-0.3805047590686517,hf,1,gas,hf/6-31g*,5,CS(N)(=O)=O,[H:6][C:1]([H:7])([H:8])[S:2](=[O:4])(=[O:5])[N:3]([H:9])[H:10]
5,0.21009635323776185,0.21009635323776185,hf,1,gas,hf/6-31g*,6,CS(N)(=O)=O,[H:6][C:1]([H:7])([H:8])[S:2](=[O:4])(=[O:5])[N:3]([H:9])[H:10]
6,0.22628603582902665,0.22628603582902665,hf,1,gas,hf/6-31g*,7,CS(N)(=O)=O,[H:6][C:1]([H:7])([H:8])[S:2](=[O:4])(=[O:5])[N:3]([H:9])[H:10]
7,0.22756207335736667,0.22756207335736667,hf,1,gas,hf/6-31g*,8,CS(N)(=O)=O,[H:6][C:1]([H:7])([H:8])[S:2](=[O:4])(=[O:5])[N:3]([H:9])[H:10]
8,0.43645940966289126,0.43645940966289126,hf,1,gas,hf/6-31g*,9,CS(N)(=O)=O,[H:6][C:1]([H:7])([H:8])[S:2](=[O:4])(=[O:5])[N:3]([H:9])[H:10]
9,0.41779631625835245,0.41779631625835245,hf,1,gas,hf/6-31g*,10,CS(N)(=O)=O,[H:6][C:1]([H:7])([H:8])[S:2](=[O:4])(=[O:5])[N:3]([H:9])[H:10]
0,-0.5210879223301047,-0.5210879223301047,hf,,gas,hf/6-31g*,1,CS(N)(=O)=O,[H:6][C:1]([H:7])([H:8])[S:2](=[O:4])(=[O:5])[N:3]([H:9])[H:10]
1,0.5807715881930504,0.5807715881930504,hf,,gas,hf/6-31g*,2,CS(N)(=O)=O,[H:6][C:1]([H:7])([H:8])[S:2](=[O:4])(=[O:5])[N:3]([H:9])[H:10]
2,-0.8343389540027322,-0.8343389540027322,hf,,gas,hf/6-31g*,3,CS(N)(=O)=O,[H:6][C:1]([H:7])([H:8])[S:2](=[O:4])(=[O:5])[N:3]([H:9])[H:10]
3,-0.35757692484362735,-0.35757692484362735,hf,,gas,hf/6-31g*,4,CS(N)(=O)=O,[H:6][C:1]([H:7])([H:8])[S:2](=[O:4])(=[O:5])[N:3]([H:9])[H:10]
4,-0.3805048757640583,-0.3805048757640583,hf,,gas,hf/6-31g*,5,CS(N)(=O)=O,[H:6][C:1]([H:7])([H:8])[S:2](=[O:4])(=[O:5])[N:3]([H:9])[H:10]
5,0.21009766417013148,0.21009766417013148,hf,,gas,hf/6-31g*,6,CS(N)(=O)=O,[H:6][C:1]([H:7])([H:8])[S:2](=[O:4])(=[O:5])[N:3]([H:9])[H:10]
6,0.22628823120501693,0.22628823120501693,hf,,gas,hf/6-31g*,7,CS(N)(=O)=O,[H:6][C:1]([H:7])([H:8])[S:2](=[O:4])(=[O:5])[N:3]([H:9])[H:10]
7,0.22756432097472312,0.22756432097472312,hf,,gas,hf/6-31g*,8,CS(N)(=O)=O,[H:6][C:1]([H:7])([H:8])[S:2](=[O:4])(=[O:5])[N:3]([H:9])[H:10]
8,0.4364569121212597,0.4364569121212597,hf,,gas,hf/6-31g*,9,CS(N)(=O)=O,[H:6][C:1]([H:7])([H:8])[S:2](=[O:4])(=[O:5])[N:3]([H:9])[H:10]
9,0.41779908093649126,0.41779908093649126,hf,,gas,hf/6-31g*,10,CS(N)(=O)=O,[H:6][C:1]([H:7])([H:8])[S:2](=[O:4])(=[O:5])[N:3]([H:9])[H:10]
0,-0.6572801900296005,-0.6572801900296005,resp2,1,gas,hf/6-31g*,1,CS(N)(=O)=O,[H:6][C:1]([H:7])([H:8])[S:2](=[O:4])(=[O:5])[N:3]([H:9])[H:10]
1,0.5940805314128057,0.5940805314128057,resp2,1,gas,hf/6-31g*,2,CS(N)(=O)=O,[H:6][C:1]([H:7])([H:8])[S:2](=[O:4])(=[O:5])[N:3]([H:9])[H:10]
2,-0.8290058986606599,-0.8290058986606599,resp2,1,gas,hf/6-31g*,3,CS(N)(=O)=O,[H:6][C:1]([H:7])([H:8])[S:2](=[O:4])(=[O:5])[N:3]([H:9])[H:10]
3,-0.3551238149802693,-0.3551238149802693,resp2,1,gas,hf/6-31g*,4,CS(N)(=O)=O,[H:6][C:1]([H:7])([H:8])[S:2](=[O:4])(=[O:5])[N:3]([H:9])[H:10]
4,-0.3787819453085023,-0.3787819453085023,resp2,1,gas,hf/6-31g*,5,CS(N)(=O)=O,[H:6][C:1]([H:7])([H:8])[S:2](=[O:4])(=[O:5])[N:3]([H:9])[H:10]
5,0.24818392237153372,0.24818392237153372,resp2,1,gas,hf/6-31g*,6,CS(N)(=O)=O,[H:6][C:1]([H:7])([H:8])[S:2](=[O:4])(=[O:5])[N:3]([H:9])[H:10]
6,0.2654080902051618,0.2654080902051618,resp2,1,gas,hf/6-31g*,7,CS(N)(=O)=O,[H:6][C:1]([H:7])([H:8])[S:2](=[O:4])(=[O:5])[N:3]([H:9])[H:10]
7,0.2643018399977359,0.2643018399977359,resp2,1,gas,hf/6-31g*,8,CS(N)(=O)=O,[H:6][C:1]([H:7])([H:8])[S:2](=[O:4])(=[O:5])[N:3]([H:9])[H:10]
8,0.43573899367068863,0.43573899367068863,resp2,1,gas,hf/6-31g*,9,CS(N)(=O)=O,[H:6][C:1]([H:7])([H:8])[S:2](=[O:4])(=[O:5])[N:3]([H:9])[H:10]
9,0.4172536169664739,0.4172536169664739,resp2,1,gas,hf/6-31g*,10,CS(N)(=O)=O,[H:6][C:1]([H:7])([H:8])[S:2](=[O:4])(=[O:5])[N:3]([H:9])[H:10]
0,-0.6572942106514346,-0.6572942106514346,resp2,,gas,hf/6-31g*,1,CS(N)(=O)=O,[H:6][C:1]([H:7])([H:8])[S:2](=[O:4])(=[O:5])[N:3]([H:9])[H:10]
1,0.5940913488925256,0.5940913488925256,resp2,,gas,hf/6-31g*,2,CS(N)(=O)=O,[H:6][C:1]([H:7])([H:8])[S:2](=[O:4])(=[O:5])[N:3]([H:9])[H:10]
2,-0.8290027294910232,-0.8290027294910232,resp2,,gas,hf/6-31g*,3,CS(N)(=O)=O,[H:6][C:1]([H:7])([H:8])[S:2](=[O:4])(=[O:5])[N:3]([H:9])[H:10]
3,-0.35513520428166007,-0.35513520428166007,resp2,,gas,hf/6-31g*,4,CS(N)(=O)=O,[H:6][C:1]([H:7])([H:8])[S:2](=[O:4])(=[O:5])[N:3]([H:9])[H:10]
4,-0.3787817437698688,-0.3787817437698688,resp2,,gas,hf/6-31g*,5,CS(N)(=O)=O,[H:6][C:1]([H:7])([H:8])[S:2](=[O:4])(=[O:5])[N:3]([H:9])[H:10]
