,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.1885816822177187,-0.1885816822177187,hf,1,gas,hf/6-31g*,1,Cc1cc(=O)ss1,[H:11][C:3]1=[C:2]([S:7][S:6][C:4]1=[O:5])[C:1]([H:8])([H:9])[H:10]
1,0.008826366267144725,0.008826366267144725,hf,1,gas,hf/6-31g*,2,Cc1cc(=O)ss1,[H:11][C:3]1=[C:2]([S:7][S:6][C:4]1=[O:5])[C:1]([H:8])([H:9])[H:10]
2,-0.26069523257312943,-0.26069523257312943,hf,1,gas,hf/6-31g*,3,Cc1cc(=O)ss1,[H:11][C:3]1=[C:2]([S:7][S:6][C:4]1=[O:5])[C:1]([H:8])([H:9])[H:10]
3,0.46470275364301283,0.46470275364301283,hf,1,gas,hf/6-31g*,4,Cc1cc(=O)ss1,[H:11][C:3]1=[C:2]([S:7][S:6][C:4]1=[O:5])[C:1]([H:8])([H:9])[H:10]
4,-0.43495943487263994,-0.43495943487263994,hf,1,gas,hf/6-31g*,5,Cc1cc(=O)ss1,[H:11][C:3]1=[C:2]([S:7][S:6][C:4]1=[O:5])[C:1]([H:8])([H:9])[H:10]
5,-0.06718913964575249,-0.06718913964575249,hf,1,gas,hf/6-31g*,6,Cc1cc(=O)ss1,[H:11][C:3]1=[C:2]([S:7][S:6][C:4]1=[O:5])[C:1]([H:8])([H:9])[H:10]
6,-0.02436432292983207,-0.02436432292983207,hf,1,gas,hf/6-31g*,7,Cc1cc(=O)ss1,[H:11][C:3]1=[C:2]([S:7][S:6][C:4]1=[O:5])[C:1]([H:8])([H:9])[H:10]
7,0.09389754762758673,0.09389754762758673,hf,1,gas,hf/6-31g*,8,Cc1cc(=O)ss1,[H:11][C:3]1=[C:2]([S:7][S:6][C:4]1=[O:5])[C:1]([H:8])([H:9])[H:10]
8,0.11111275468709164,0.11111275468709164,hf,1,gas,hf/6-31g*,9,Cc1cc(=O)ss1,[H:11][C:3]1=[C:2]([S:7][S:6][C:4]1=[O:5])[C:1]([H:8])([H:9])[H:10]
9,0.11112978758835111,0.11112978758835111,hf,1,gas,hf/6-31g*,10,Cc1cc(=O)ss1,[H:11][C:3]1=[C:2]([S:7][S:6][C:4]1=[O:5])[C:1]([H:8])([H:9])[H:10]
10,0.18984525535025726,0.18984525535025726,hf,1,gas,hf/6-31g*,11,Cc1cc(=O)ss1,[H:11][C:3]1=[C:2]([S:7][S:6][C:4]1=[O:5])[C:1]([H:8])([H:9])[H:10]
