,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.1889202870290252,RESP2,hf/6-31g*,1.0,0.0,C,hf,1,[H:11][C:3]1=[C:2]([S:7][S:6][C:4]1=[O:5])[C:1]([H:8])([H:9])[H:10],,
1,0.0084877614558382,RESP2,hf/6-31g*,1.0,0.0,C,hf,2,[H:11][C:3]1=[C:2]([S:7][S:6][C:4]1=[O:5])[C:1]([H:8])([H:9])[H:10],,
2,-0.261033837384436,RESP2,hf/6-31g*,1.0,0.0,C,hf,3,[H:11][C:3]1=[C:2]([S:7][S:6][C:4]1=[O:5])[C:1]([H:8])([H:9])[H:10],,
3,0.4643641488317063,RESP2,hf/6-31g*,1.0,0.0,C,hf,4,[H:11][C:3]1=[C:2]([S:7][S:6][C:4]1=[O:5])[C:1]([H:8])([H:9])[H:10],,
4,-0.4352980396839465,RESP2,hf/6-31g*,1.0,0.0,O,hf,5,[H:11][C:3]1=[C:2]([S:7][S:6][C:4]1=[O:5])[C:1]([H:8])([H:9])[H:10],,
5,-0.067527744457059,RESP2,hf/6-31g*,1.0,0.0,S,hf,6,[H:11][C:3]1=[C:2]([S:7][S:6][C:4]1=[O:5])[C:1]([H:8])([H:9])[H:10],,
6,-0.0247029277411385,RESP2,hf/6-31g*,1.0,0.0,S,hf,7,[H:11][C:3]1=[C:2]([S:7][S:6][C:4]1=[O:5])[C:1]([H:8])([H:9])[H:10],,
7,0.0935589428162802,RESP2,hf/6-31g*,1.0,0.0,H,hf,8,[H:11][C:3]1=[C:2]([S:7][S:6][C:4]1=[O:5])[C:1]([H:8])([H:9])[H:10],,
8,0.1107741498757851,RESP2,hf/6-31g*,1.0,0.0,H,hf,9,[H:11][C:3]1=[C:2]([S:7][S:6][C:4]1=[O:5])[C:1]([H:8])([H:9])[H:10],,
9,0.1107911827770445,RESP2,hf/6-31g*,1.0,0.0,H,hf,10,[H:11][C:3]1=[C:2]([S:7][S:6][C:4]1=[O:5])[C:1]([H:8])([H:9])[H:10],,
