,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.3615798782141594,-0.3615798782141594,hf,1,gas,hf/6-31g*,1,Cc1cc(=S)ss1,[H:11][C:3]1=[C:2]([S:7][S:6][C:4]1=[S:5])[C:1]([H:8])([H:9])[H:10]
1,0.03221660393997866,0.03221660393997866,hf,1,gas,hf/6-31g*,2,Cc1cc(=S)ss1,[H:11][C:3]1=[C:2]([S:7][S:6][C:4]1=[S:5])[C:1]([H:8])([H:9])[H:10]
2,0.02150365226891869,0.02150365226891869,hf,1,gas,hf/6-31g*,3,Cc1cc(=S)ss1,[H:11][C:3]1=[C:2]([S:7][S:6][C:4]1=[S:5])[C:1]([H:8])([H:9])[H:10]
3,-0.017256173762577383,-0.017256173762577383,hf,1,gas,hf/6-31g*,4,Cc1cc(=S)ss1,[H:11][C:3]1=[C:2]([S:7][S:6][C:4]1=[S:5])[C:1]([H:8])([H:9])[H:10]
4,-0.26625656240329243,-0.26625656240329243,hf,1,gas,hf/6-31g*,5,Cc1cc(=S)ss1,[H:11][C:3]1=[C:2]([S:7][S:6][C:4]1=[S:5])[C:1]([H:8])([H:9])[H:10]
5,0.050198794434860944,0.050198794434860944,hf,1,gas,hf/6-31g*,6,Cc1cc(=S)ss1,[H:11][C:3]1=[C:2]([S:7][S:6][C:4]1=[S:5])[C:1]([H:8])([H:9])[H:10]
6,0.0003571293942231411,0.0003571293942231411,hf,1,gas,hf/6-31g*,7,Cc1cc(=S)ss1,[H:11][C:3]1=[C:2]([S:7][S:6][C:4]1=[S:5])[C:1]([H:8])([H:9])[H:10]
7,0.14307912353877972,0.14307912353877972,hf,1,gas,hf/6-31g*,8,Cc1cc(=S)ss1,[H:11][C:3]1=[C:2]([S:7][S:6][C:4]1=[S:5])[C:1]([H:8])([H:9])[H:10]
8,0.1509653515150024,0.1509653515150024,hf,1,gas,hf/6-31g*,9,Cc1cc(=S)ss1,[H:11][C:3]1=[C:2]([S:7][S:6][C:4]1=[S:5])[C:1]([H:8])([H:9])[H:10]
9,0.15095767483464517,0.15095767483464517,hf,1,gas,hf/6-31g*,10,Cc1cc(=S)ss1,[H:11][C:3]1=[C:2]([S:7][S:6][C:4]1=[S:5])[C:1]([H:8])([H:9])[H:10]
10,0.0991987666872011,0.0991987666872011,hf,1,gas,hf/6-31g*,11,Cc1cc(=S)ss1,[H:11][C:3]1=[C:2]([S:7][S:6][C:4]1=[S:5])[C:1]([H:8])([H:9])[H:10]
0,-0.3615798782146007,-0.3615798782146007,hf,,gas,hf/6-31g*,1,Cc1cc(=S)ss1,[H:11][C:3]1=[C:2]([S:7][S:6][C:4]1=[S:5])[C:1]([H:8])([H:9])[H:10]
