,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.379667535968044,RESP2,hf/6-31g*,1.0,0.0,C,hf,1,[H:13][c:3]1[c:4]([c:6]([c:7]([c:9]([c:2]1[C:1]([H:10])([H:11])[H:12])[H:21])[C:8]([H:18])([H:19])[H:20])[H:17])[C:5]([H:14])([H:15])[H:16],,
1,0.4545518877915515,RESP2,hf/6-31g*,1.0,0.0,C,hf,2,[H:13][c:3]1[c:4]([c:6]([c:7]([c:9]([c:2]1[C:1]([H:10])([H:11])[H:12])[H:21])[C:8]([H:18])([H:19])[H:20])[H:17])[C:5]([H:14])([H:15])[H:16],,
2,-0.6061056863503325,RESP2,hf/6-31g*,1.0,0.0,C,hf,3,[H:13][c:3]1[c:4]([c:6]([c:7]([c:9]([c:2]1[C:1]([H:10])([H:11])[H:12])[H:21])[C:8]([H:18])([H:19])[H:20])[H:17])[C:5]([H:14])([H:15])[H:16],,
3,0.4549673592053024,RESP2,hf/6-31g*,1.0,0.0,C,hf,4,[H:13][c:3]1[c:4]([c:6]([c:7]([c:9]([c:2]1[C:1]([H:10])([H:11])[H:12])[H:21])[C:8]([H:18])([H:19])[H:20])[H:17])[C:5]([H:14])([H:15])[H:16],,
4,-0.3849184617623189,RESP2,hf/6-31g*,1.0,0.0,C,hf,5,[H:13][c:3]1[c:4]([c:6]([c:7]([c:9]([c:2]1[C:1]([H:10])([H:11])[H:12])[H:21])[C:8]([H:18])([H:19])[H:20])[H:17])[C:5]([H:14])([H:15])[H:16],,
5,-0.5908098270246813,RESP2,hf/6-31g*,1.0,0.0,C,hf,6,[H:13][c:3]1[c:4]([c:6]([c:7]([c:9]([c:2]1[C:1]([H:10])([H:11])[H:12])[H:21])[C:8]([H:18])([H:19])[H:20])[H:17])[C:5]([H:14])([H:15])[H:16],,
6,0.4410018943929308,RESP2,hf/6-31g*,1.0,0.0,C,hf,7,[H:13][c:3]1[c:4]([c:6]([c:7]([c:9]([c:2]1[C:1]([H:10])([H:11])[H:12])[H:21])[C:8]([H:18])([H:19])[H:20])[H:17])[C:5]([H:14])([H:15])[H:16],,
7,-0.3683309969718407,RESP2,hf/6-31g*,1.0,0.0,C,hf,8,[H:13][c:3]1[c:4]([c:6]([c:7]([c:9]([c:2]1[C:1]([H:10])([H:11])[H:12])[H:21])[C:8]([H:18])([H:19])[H:20])[H:17])[C:5]([H:14])([H:15])[H:16],,
8,-0.5863256206016829,RESP2,hf/6-31g*,1.0,0.0,C,hf,9,[H:13][c:3]1[c:4]([c:6]([c:7]([c:9]([c:2]1[C:1]([H:10])([H:11])[H:12])[H:21])[C:8]([H:18])([H:19])[H:20])[H:17])[C:5]([H:14])([H:15])[H:16],,
9,0.1023694897365827,RESP2,hf/6-31g*,1.0,0.0,H,hf,10,[H:13][c:3]1[c:4]([c:6]([c:7]([c:9]([c:2]1[C:1]([H:10])([H:11])[H:12])[H:21])[C:8]([H:18])([H:19])[H:20])[H:17])[C:5]([H:14])([H:15])[H:16],,
10,0.102380239497952,RESP2,hf/6-31g*,1.0,0.0,H,hf,11,[H:13][c:3]1[c:4]([c:6]([c:7]([c:9]([c:2]1[C:1]([H:10])([H:11])[H:12])[H:21])[C:8]([H:18])([H:19])[H:20])[H:17])[C:5]([H:14])([H:15])[H:16],,
11,0.1043323464243647,RESP2,hf/6-31g*,1.0,0.0,H,hf,12,[H:13][c:3]1[c:4]([c:6]([c:7]([c:9]([c:2]1[C:1]([H:10])([H:11])[H:12])[H:21])[C:8]([H:18])([H:19])[H:20])[H:17])[C:5]([H:14])([H:15])[H:16],,
12,0.2162366986565269,RESP2,hf/6-31g*,1.0,0.0,H,hf,13,[H:13][c:3]1[c:4]([c:6]([c:7]([c:9]([c:2]1[C:1]([H:10])([H:11])[H:12])[H:21])[C:8]([H:18])([H:19])[H:20])[H:17])[C:5]([H:14])([H:15])[H:16],,
13,0.1059897392470033,RESP2,hf/6-31g*,1.0,0.0,H,hf,14,[H:13][c:3]1[c:4]([c:6]([c:7]([c:9]([c:2]1[C:1]([H:10])([H:11])[H:12])[H:21])[C:8]([H:18])([H:19])[H:20])[H:17])[C:5]([H:14])([H:15])[H:16],,
14,0.1030794096459079,RESP2,hf/6-31g*,1.0,0.0,H,hf,15,[H:13][c:3]1[c:4]([c:6]([c:7]([c:9]([c:2]1[C:1]([H:10])([H:11])[H:12])[H:21])[C:8]([H:18])([H:19])[H:20])[H:17])[C:5]([H:14])([H:15])[H:16],,
15,0.1038777278490546,RESP2,hf/6-31g*,1.0,0.0,H,hf,16,[H:13][c:3]1[c:4]([c:6]([c:7]([c:9]([c:2]1[C:1]([H:10])([H:11])[H:12])[H:21])[C:8]([H:18])([H:19])[H:20])[H:17])[C:5]([H:14])([H:15])[H:16],,
16,0.2140126270886006,RESP2,hf/6-31g*,1.0,0.0,H,hf,17,[H:13][c:3]1[c:4]([c:6]([c:7]([c:9]([c:2]1[C:1]([H:10])([H:11])[H:12])[H:21])[C:8]([H:18])([H:19])[H:20])[H:17])[C:5]([H:14])([H:15])[H:16],,
17,0.1009455532423177,RESP2,hf/6-31g*,1.0,0.0,H,hf,18,[H:13][c:3]1[c:4]([c:6]([c:7]([c:9]([c:2]1[C:1]([H:10])([H:11])[H:12])[H:21])[C:8]([H:18])([H:19])[H:20])[H:17])[C:5]([H:14])([H:15])[H:16],,
18,0.1022963769996191,RESP2,hf/6-31g*,1.0,0.0,H,hf,19,[H:13][c:3]1[c:4]([c:6]([c:7]([c:9]([c:2]1[C:1]([H:10])([H:11])[H:12])[H:21])[C:8]([H:18])([H:19])[H:20])[H:17])[C:5]([H:14])([H:15])[H:16],,
19,0.0984726362069863,RESP2,hf/6-31g*,1.0,0.0,H,hf,20,[H:13][c:3]1[c:4]([c:6]([c:7]([c:9]([c:2]1[C:1]([H:10])([H:11])[H:12])[H:21])[C:8]([H:18])([H:19])[H:20])[H:17])[C:5]([H:14])([H:15])[H:16],,
20,0.2116441426941994,RESP2,hf/6-31g*,1.0,0.0,H,hf,21,[H:13][c:3]1[c:4]([c:6]([c:7]([c:9]([c:2]1[C:1]([H:10])([H:11])[H:12])[H:21])[C:8]([H:18])([H:19])[H:20])[H:17])[C:5]([H:14])([H:15])[H:16],,
0,-0.3805741645569477,RESP2,hf/6-31g*,1.0,0.05,C,hf,1,[H:13][c:3]1[c:4]([c:6]([c:7]([c:9]([c:2]1[C:1]([H:10])([H:11])[H:12])[H:21])[C:8]([H:18])([H:19])[H:20])[H:17])[C:5]([H:14])([H:15])[H:16],,
1,0.4541217395570756,RESP2,hf/6-31g*,1.0,0.05,C,hf,2,[H:13][c:3]1[c:4]([c:6]([c:7]([c:9]([c:2]1[C:1]([H:10])([H:11])[H:12])[H:21])[C:8]([H:18])([H:19])[H:20])[H:17])[C:5]([H:14])([H:15])[H:16],,
2,-0.6067082248211311,RESP2,hf/6-31g*,1.0,0.05,C,hf,3,[H:13][c:3]1[c:4]([c:6]([c:7]([c:9]([c:2]1[C:1]([H:10])([H:11])[H:12])[H:21])[C:8]([H:18])([H:19])[H:20])[H:17])[C:5]([H:14])([H:15])[H:16],,
3,0.4543498375753231,RESP2,hf/6-31g*,1.0,0.05,C,hf,4,[H:13][c:3]1[c:4]([c:6]([c:7]([c:9]([c:2]1[C:1]([H:10])([H:11])[H:12])[H:21])[C:8]([H:18])([H:19])[H:20])[H:17])[C:5]([H:14])([H:15])[H:16],,
4,-0.3852187319517714,RESP2,hf/6-31g*,1.0,0.05,C,hf,5,[H:13][c:3]1[c:4]([c:6]([c:7]([c:9]([c:2]1[C:1]([H:10])([H:11])[H:12])[H:21])[C:8]([H:18])([H:19])[H:20])[H:17])[C:5]([H:14])([H:15])[H:16],,
5,-0.5912089802042885,RESP2,hf/6-31g*,1.0,0.05,C,hf,6,[H:13][c:3]1[c:4]([c:6]([c:7]([c:9]([c:2]1[C:1]([H:10])([H:11])[H:12])[H:21])[C:8]([H:18])([H:19])[H:20])[H:17])[C:5]([H:14])([H:15])[H:16],,
6,0.4402623840131406,RESP2,hf/6-31g*,1.0,0.05,C,hf,7,[H:13][c:3]1[c:4]([c:6]([c:7]([c:9]([c:2]1[C:1]([H:10])([H:11])[H:12])[H:21])[C:8]([H:18])([H:19])[H:20])[H:17])[C:5]([H:14])([H:15])[H:16],,
