,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.38371373695360633,-0.38371373695360633,hf,1,gas,hf/6-31g*,1,Cc1ccc(C)[nH]1,[H:11][C:3]1=[C:2]([N:7]([C:5](=[C:4]1[H:12])[C:6]([H:13])([H:14])[H:15])[H:16])[C:1]([H:8])([H:9])[H:10]
1,0.22457182008614215,0.22457182008614215,hf,1,gas,hf/6-31g*,2,Cc1ccc(C)[nH]1,[H:11][C:3]1=[C:2]([N:7]([C:5](=[C:4]1[H:12])[C:6]([H:13])([H:14])[H:15])[H:16])[C:1]([H:8])([H:9])[H:10]
2,-0.3449503239243443,-0.3449503239243443,hf,1,gas,hf/6-31g*,3,Cc1ccc(C)[nH]1,[H:11][C:3]1=[C:2]([N:7]([C:5](=[C:4]1[H:12])[C:6]([H:13])([H:14])[H:15])[H:16])[C:1]([H:8])([H:9])[H:10]
3,-0.3396929462388209,-0.3396929462388209,hf,1,gas,hf/6-31g*,4,Cc1ccc(C)[nH]1,[H:11][C:3]1=[C:2]([N:7]([C:5](=[C:4]1[H:12])[C:6]([H:13])([H:14])[H:15])[H:16])[C:1]([H:8])([H:9])[H:10]
4,0.2169098036030438,0.2169098036030438,hf,1,gas,hf/6-31g*,5,Cc1ccc(C)[nH]1,[H:11][C:3]1=[C:2]([N:7]([C:5](=[C:4]1[H:12])[C:6]([H:13])([H:14])[H:15])[H:16])[C:1]([H:8])([H:9])[H:10]
5,-0.3804052121927355,-0.3804052121927355,hf,1,gas,hf/6-31g*,6,Cc1ccc(C)[nH]1,[H:11][C:3]1=[C:2]([N:7]([C:5](=[C:4]1[H:12])[C:6]([H:13])([H:14])[H:15])[H:16])[C:1]([H:8])([H:9])[H:10]
6,-0.44222774614548804,-0.44222774614548804,hf,1,gas,hf/6-31g*,7,Cc1ccc(C)[nH]1,[H:11][C:3]1=[C:2]([N:7]([C:5](=[C:4]1[H:12])[C:6]([H:13])([H:14])[H:15])[H:16])[C:1]([H:8])([H:9])[H:10]
7,0.12309332018047708,0.12309332018047708,hf,1,gas,hf/6-31g*,8,Cc1ccc(C)[nH]1,[H:11][C:3]1=[C:2]([N:7]([C:5](=[C:4]1[H:12])[C:6]([H:13])([H:14])[H:15])[H:16])[C:1]([H:8])([H:9])[H:10]
8,0.112129841297686,0.112129841297686,hf,1,gas,hf/6-31g*,9,Cc1ccc(C)[nH]1,[H:11][C:3]1=[C:2]([N:7]([C:5](=[C:4]1[H:12])[C:6]([H:13])([H:14])[H:15])[H:16])[C:1]([H:8])([H:9])[H:10]
9,0.11217611804784636,0.11217611804784636,hf,1,gas,hf/6-31g*,10,Cc1ccc(C)[nH]1,[H:11][C:3]1=[C:2]([N:7]([C:5](=[C:4]1[H:12])[C:6]([H:13])([H:14])[H:15])[H:16])[C:1]([H:8])([H:9])[H:10]
10,0.19460045023397296,0.19460045023397296,hf,1,gas,hf/6-31g*,11,Cc1ccc(C)[nH]1,[H:11][C:3]1=[C:2]([N:7]([C:5](=[C:4]1[H:12])[C:6]([H:13])([H:14])[H:15])[H:16])[C:1]([H:8])([H:9])[H:10]
11,0.19297077628763215,0.19297077628763215,hf,1,gas,hf/6-31g*,12,Cc1ccc(C)[nH]1,[H:11][C:3]1=[C:2]([N:7]([C:5](=[C:4]1[H:12])[C:6]([H:13])([H:14])[H:15])[H:16])[C:1]([H:8])([H:9])[H:10]
12,0.11182575810999598,0.11182575810999598,hf,1,gas,hf/6-31g*,13,Cc1ccc(C)[nH]1,[H:11][C:3]1=[C:2]([N:7]([C:5](=[C:4]1[H:12])[C:6]([H:13])([H:14])[H:15])[H:16])[C:1]([H:8])([H:9])[H:10]
13,0.1118250617339292,0.1118250617339292,hf,1,gas,hf/6-31g*,14,Cc1ccc(C)[nH]1,[H:11][C:3]1=[C:2]([N:7]([C:5](=[C:4]1[H:12])[C:6]([H:13])([H:14])[H:15])[H:16])[C:1]([H:8])([H:9])[H:10]
14,0.12304844954490128,0.12304844954490128,hf,1,gas,hf/6-31g*,15,Cc1ccc(C)[nH]1,[H:11][C:3]1=[C:2]([N:7]([C:5](=[C:4]1[H:12])[C:6]([H:13])([H:14])[H:15])[H:16])[C:1]([H:8])([H:9])[H:10]
15,0.37061509985987606,0.37061509985987606,hf,1,gas,hf/6-31g*,16,Cc1ccc(C)[nH]1,[H:11][C:3]1=[C:2]([N:7]([C:5](=[C:4]1[H:12])[C:6]([H:13])([H:14])[H:15])[H:16])[C:1]([H:8])([H:9])[H:10]
0,-0.38371373695391325,-0.38371373695391325,hf,,gas,hf/6-31g*,1,Cc1ccc(C)[nH]1,[H:11][C:3]1=[C:2]([N:7]([C:5](=[C:4]1[H:12])[C:6]([H:13])([H:14])[H:15])[H:16])[C:1]([H:8])([H:9])[H:10]
1,0.22457182008641105,0.22457182008641105,hf,,gas,hf/6-31g*,2,Cc1ccc(C)[nH]1,[H:11][C:3]1=[C:2]([N:7]([C:5](=[C:4]1[H:12])[C:6]([H:13])([H:14])[H:15])[H:16])[C:1]([H:8])([H:9])[H:10]
2,-0.34495032392442526,-0.34495032392442526,hf,,gas,hf/6-31g*,3,Cc1ccc(C)[nH]1,[H:11][C:3]1=[C:2]([N:7]([C:5](=[C:4]1[H:12])[C:6]([H:13])([H:14])[H:15])[H:16])[C:1]([H:8])([H:9])[H:10]
3,-0.33969294623885854,-0.33969294623885854,hf,,gas,hf/6-31g*,4,Cc1ccc(C)[nH]1,[H:11][C:3]1=[C:2]([N:7]([C:5](=[C:4]1[H:12])[C:6]([H:13])([H:14])[H:15])[H:16])[C:1]([H:8])([H:9])[H:10]
4,0.21690980360330797,0.21690980360330797,hf,,gas,hf/6-31g*,5,Cc1ccc(C)[nH]1,[H:11][C:3]1=[C:2]([N:7]([C:5](=[C:4]1[H:12])[C:6]([H:13])([H:14])[H:15])[H:16])[C:1]([H:8])([H:9])[H:10]
5,-0.38040521219313894,-0.38040521219313894,hf,,gas,hf/6-31g*,6,Cc1ccc(C)[nH]1,[H:11][C:3]1=[C:2]([N:7]([C:5](=[C:4]1[H:12])[C:6]([H:13])([H:14])[H:15])[H:16])[C:1]([H:8])([H:9])[H:10]
