,stage_1_charge,stage_2_charge,grid,weight,state,method,atom_number,smiles,mapped_smiles
0,-0.45418610384792313,-0.45418610384792313,hf,1,gas,hf/6-31g*,1,Cc1ccc(C)nc1,[H:12][c:3]1[c:4]([c:5]([n:7][c:8]([c:2]1[C:1]([H:9])([H:10])[H:11])[H:17])[C:6]([H:14])([H:15])[H:16])[H:13]
1,-0.02867885772154537,-0.02867885772154537,hf,1,gas,hf/6-31g*,2,Cc1ccc(C)nc1,[H:12][c:3]1[c:4]([c:5]([n:7][c:8]([c:2]1[C:1]([H:9])([H:10])[H:11])[H:17])[C:6]([H:14])([H:15])[H:16])[H:13]
2,0.030384047466497904,0.030384047466497904,hf,1,gas,hf/6-31g*,3,Cc1ccc(C)nc1,[H:12][c:3]1[c:4]([c:5]([n:7][c:8]([c:2]1[C:1]([H:9])([H:10])[H:11])[H:17])[C:6]([H:14])([H:15])[H:16])[H:13]
3,-0.5745026670506179,-0.5745026670506179,hf,1,gas,hf/6-31g*,4,Cc1ccc(C)nc1,[H:12][c:3]1[c:4]([c:5]([n:7][c:8]([c:2]1[C:1]([H:9])([H:10])[H:11])[H:17])[C:6]([H:14])([H:15])[H:16])[H:13]
4,0.7740681605959515,0.7740681605959515,hf,1,gas,hf/6-31g*,5,Cc1ccc(C)nc1,[H:12][c:3]1[c:4]([c:5]([n:7][c:8]([c:2]1[C:1]([H:9])([H:10])[H:11])[H:17])[C:6]([H:14])([H:15])[H:16])[H:13]
5,-0.6450040276595589,-0.6450040276595589,hf,1,gas,hf/6-31g*,6,Cc1ccc(C)nc1,[H:12][c:3]1[c:4]([c:5]([n:7][c:8]([c:2]1[C:1]([H:9])([H:10])[H:11])[H:17])[C:6]([H:14])([H:15])[H:16])[H:13]
6,-0.6931178445363527,-0.6931178445363527,hf,1,gas,hf/6-31g*,7,Cc1ccc(C)nc1,[H:12][c:3]1[c:4]([c:5]([n:7][c:8]([c:2]1[C:1]([H:9])([H:10])[H:11])[H:17])[C:6]([H:14])([H:15])[H:16])[H:13]
7,0.2675861110250324,0.2675861110250324,hf,1,gas,hf/6-31g*,8,Cc1ccc(C)nc1,[H:12][c:3]1[c:4]([c:5]([n:7][c:8]([c:2]1[C:1]([H:9])([H:10])[H:11])[H:17])[C:6]([H:14])([H:15])[H:16])[H:13]
8,0.1309623959346124,0.1309623959346124,hf,1,gas,hf/6-31g*,9,Cc1ccc(C)nc1,[H:12][c:3]1[c:4]([c:5]([n:7][c:8]([c:2]1[C:1]([H:9])([H:10])[H:11])[H:17])[C:6]([H:14])([H:15])[H:16])[H:13]
9,0.13622285973035386,0.13622285973035386,hf,1,gas,hf/6-31g*,10,Cc1ccc(C)nc1,[H:12][c:3]1[c:4]([c:5]([n:7][c:8]([c:2]1[C:1]([H:9])([H:10])[H:11])[H:17])[C:6]([H:14])([H:15])[H:16])[H:13]
10,0.13624006646293654,0.13624006646293654,hf,1,gas,hf/6-31g*,11,Cc1ccc(C)nc1,[H:12][c:3]1[c:4]([c:5]([n:7][c:8]([c:2]1[C:1]([H:9])([H:10])[H:11])[H:17])[C:6]([H:14])([H:15])[H:16])[H:13]
11,0.13733420055402412,0.13733420055402412,hf,1,gas,hf/6-31g*,12,Cc1ccc(C)nc1,[H:12][c:3]1[c:4]([c:5]([n:7][c:8]([c:2]1[C:1]([H:9])([H:10])[H:11])[H:17])[C:6]([H:14])([H:15])[H:16])[H:13]
